query3: 23, r = Nan
query3: 47, r = Nan
query3: 88, r = Nan
query3: 91, r = Nan
query4: 20, r = Nan
query4: 44, r = Nan
query9: 3, r = Nan
query9: 41, r = Nan
query9: 58, r = Nan
query9: 88, r = Nan
query9: 95, r = Nan
query10: 58, r = Nan
query10: 88, r = Nan
query10: 95, r = Nan
query11: 0, r = Nan
query11: 3, r = Nan
query12: 3, r = Nan
query13: 44, r = Nan
query13: 48, r = Nan
query13: 49, r = Nan
query13: 74, r = Nan
query14: 49, r = Nan
query15: 71, r = Nan
query15: 76, r = Nan
query15: 88, r = Nan
query15: 92, r = Nan
query16: 76, r = Nan
query17: 48, r = Nan
query17: 49, r = Nan
query18: 58, r = Nan
query18: 98, r = Nan
query20: 49, r = Nan
query23: 4, r = Nan
query23: 47, r = Nan
query24: 88, r = Nan
query26: 14, r = Nan
query26: 47, r = Nan
query26: 49, r = Nan
query26: 59, r = Nan
query26: 87, r = Nan
query27: 91, r = Nan
query32: 11, r = Nan
query35: 49, r = Nan
query35: 88, r = Nan
query36: 49, r = Nan
query37: 84, r = Nan
query37: 88, r = Nan
query40: 48, r = Nan
query40: 91, r = Nan
query42: 84, r = Nan
query44: 91, r = Nan
query50: 4, r = Nan
query54: 4, r = Nan
query54: 47, r = Nan
query54: 48, r = Nan
query54: 95, r = Nan
query55: 48, r = Nan
query56: 48, r = Nan
query57: 58, r = Nan
query58: 4, r = Nan
query58: 20, r = Nan
query58: 48, r = Nan
query58: 51, r = Nan
query58: 87, r = Nan
query58: 95, r = Nan
query59: 20, r = Nan
query61: 47, r = Nan
query65: 40, r = Nan
query67: 6, r = Nan
query67: 11, r = Nan
query67: 47, r = Nan
query68: 49, r = Nan
query70: 48, r = Nan
query70: 92, r = Nan
query71: 43, r = Nan
query71: 49, r = Nan
query71: 65, r = Nan
query73: 84, r = Nan
query73: 87, r = Nan
query74: 88, r = Nan
query77: 49, r = Nan
query78: 49, r = Nan
query80: 14, r = Nan
query80: 30, r = Nan
query80: 47, r = Nan
query80: 49, r = Nan
