# 大きい
白鳥,1,ペンギン,2,ふくろう,3,にわとり,4,すずめ,5
# 可愛い
ペンギン,1,すずめ,2,ふくろう,3,白鳥,4,にわとり,5
# ヘルシーだ
もやし,1,きゅうり,2,ほうれん草,3,白菜,4,玉ねぎ,5,ナス,6,かぼちゃ,7
# 美味しい
ほうれん草,1,かぼちゃ,2,白菜,3,ナス,4,玉ねぎ,5,きゅうり,6,もやし,7
# 甘い
メロン,1,イチゴ,2,ぶどう,3,さくらんぼ,4,柿,5,りんご,6,みかん,7
# 大きい
メロン,1,りんご,2,柿,3,みかん,4,ぶどう,5,イチゴ,6,さくらんぼ,7
# かしこい
犬,1,クジラ,2,熊,3,ライオン,4,ネズミ,5
# 大きい
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ
パール,1,サファイア,2,オパール,3,ガーネット,4,ターコイズ,5
# 珍しい
サファイア,1,オパール,2,ガーネット,3,パール,4,ターコイズ,5
# 優雅だ
ハープ,1,ヴァイオリン,2,チェロ,3,フルート,4,クラリネット,5
# 心地よい
ハープ,1,ヴァイオリン,2,フルート,3,チェロ,4,クラリネット,5
# 綺麗だ
サクラ,1,すずらん,2,桔梗,3,ひまわり,4,たんぽぽ,5
# 好きだ
サクラ,1,ひまわり,2,すずらん,3,桔梗,4,たんぽぽ,5
# 美味しい
コメダ,1,タリーズ,2,ドトール,3,サンマルク,4,ルノアール,5
# 高い
ルノアール,1,コメダ,2,タリーズ,3,サンマルク,4,ドトール,5
# 好調だ
パナソニック,1,ソニー,2,キャノン,3,日立製作所,4,エプソン,5,富士通,6,東芝,7
# 新しい
エプソン,1,キャノン,2,ソニー,3,パナソニック,4,富士通,5,東芝,6,日立製作所,7
# 裕福だ
アメリカ,1,イギリス,2,スペイン,3,ロシア,4,中国,5,インド,6,タイ,7
# 広大だ
ロシア,1,中国,2,アメリカ,3,インド,4,スペイン,5,イギリス,6,タイ,7
# 暖かい
インド,1,タイ,2,スペイン,3,アメリカ,4,中国,5,イギリス,6,ロシア,7
# 好調だ
トヨタ,1,ホンダ,2,マツダ,3,ダイハツ,4,ヤマハ,5
# 有名だ
トヨタ,1,ホンダ,2,ヤマハ,3,マツダ,4,ダイハツ,5
# 美味しい
チューハイ,1,ビール,2,日本酒,3,ハイボール,4,ウイスキー,5
# 高価だ
ウイスキー,1,日本酒,2,ビール,3,ハイボール,4,チューハイ,5
# 好きだ
ラーメン,1,カレー,2,ピザ,3,ハンバーガー,4,チャーハン,5
# 脂っこい
ピザ,1,ラーメン,2,ハンバーガー,3,チャーハン,4,カレー,5
# 高価だ
エアコン,1,洗濯機,2,カメラ,3,カーナビ,4,プリンタ,5
# うるさい
洗濯機,1,プリンタ,2,エアコン,3,カーナビ,4,カメラ,5
# 好きだ
晴天,1,雪,2,霧,3,霜,4,雨,5,強風,6,雷,7
# 珍しい
雪,1,霧,2,霜,3,雷,4,強風,5,雨,6,晴天,7
# 好きだ
牛肉,1,豚肉,2,鶏肉,3,ラム肉,4,馬肉,5
# 高価だ
牛肉,1,馬肉,2,ラム肉,3,豚肉,4,鶏肉,5
# 有名だ
銀閣寺,1,中尊寺,2,薬師寺,3,善光寺,4,東寺,5,増上寺,6
# 立派だ
銀閣寺,1,中尊寺,2,善光寺,3,薬師寺,4,東寺,5,増上寺,6
# メジャーだ
サッカー,1,野球,2,テニス,3,バスケ,4,バレー,5,相撲,6,卓球,7
# 得意だ
サッカー,1,卓球,2,テニス,3,バスケ,4,野球,5,バレー,6,相撲,7
# 快適だ
新幹線,1,飛行機,2,タクシー,3,電車,4,バス,5
# 速い
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,5
# 安全だ
新幹線,1,電車,2,飛行機,3,バス,4,タクシー,5
# 可愛い
北乃きい,1,優香,2,吹石一恵,3,南明奈,4,釈由美子,5,梨花,6,友近,7
# 面白い
友近,1,優香,2,梨花,3,南明奈,4,北乃きい,5,釈由美子,6,吹石一恵,7
# 甘い
チョコレートケーキ,1,ショートケーキ,2,ロールケーキ,3,シフォンケーキ,4,チーズケーキ,5
# 好きだ
チーズケーキ,1,ショートケーキ,2,チョコレートケーキ,3,ロールケーキ,4,シフォンケーキ,5
# 美味しい
カステラ,1,マフィン,2,スコーン,3,ベーグル,4,マカロン,5
# おしゃれだ
マカロン,1,マフィン,2,スコーン,3,ベーグル,4,カステラ,5
# 美味しい
紅茶,1,緑茶,2,ココア,3,オレンジジュース,4,抹茶,5
# 好きだ
カツカレー,1,お好み焼き,2,牛タン,3,讃岐うどん,4,串かつ,5
# 高価だ
牛タン,1,カツカレー,2,お好み焼き,3,串かつ,4,讃岐うどん,5
# 暖かい
沖縄,1,福岡,2,大阪,3,神戸,4,名古屋,5,東京,6,札幌,7
# 遠い
沖縄,1,札幌,2,福岡,3,神戸,4,大阪,5,名古屋,6,東京,7
# ヘルシーだ
タイ料理,1,インド料理,2,韓国料理,3,スペイン料理,4,中華料理,5
# 辛い
タイ料理,1,韓国料理,2,インド料理,3,中華料理,4,スペイン料理,5
# 優秀だ
宇宙飛行士,1,科学者,2,医師,3,作曲者,4,警察官,5
# 過酷だ
宇宙飛行士,1,医師,2,警察官,3,科学者,4,作曲者,5
# 面白い
となりのトトロ,1,風の谷のナウシカ,2,スター・ウォーズ,3,不思議の国のアリス,4,美女と野獣,5
# 新しい
スター・ウォーズ,1,となりのトトロ,2,風の谷のナウシカ,3,美女と野獣,4,不思議の国のアリス,5
# 必須だ
国語,1,英語,2,数学,3,体育,4,世界史,5
# 簡単だ
国語,1,体育,2,世界史,3,英語,4,数学,5
# 楽しい
読書,1,ドライブ,2,ＢＢＱ,3,ジョギング,4,釣り,5,サーフィン,6
# 有意義だ
読書,1,ジョギング,2,ＢＢＱ,3,ドライブ,4,釣り,5,サーフィン,6
# 手軽だ
読書,1,ジョギング,2,ドライブ,3,ＢＢＱ,4,釣り,5,サーフィン,6
# 面白い
Ｙｏｕｔｕｂｅ,1,Ｔｗｉｔｔｅｒ,2,ニコ動,3,インスタグラム,4,Ｆａｃｅｂｏｏｋ,5
# 便利だ
Ｙｏｕｔｕｂｅ,1,Ｔｗｉｔｔｅｒ,2,Ｆａｃｅｂｏｏｋ,3,ニコ動,4,インスタグラム,5
# 面白い
ドラゴンボール,1,ジョジョ,2,エヴァ,3,ＧＴＯ,4,セーラームーン,5,プリキュア,6
# 若い
安倍晋三,1,鳩山由紀夫,2,麻生太郎,3,小泉純一郎,4,田中角栄,5
# 好きだ
小泉純一郎,1,安倍晋三,2,麻生太郎,3,田中角栄,4,鳩山由紀夫,5
# 好調だ
グーグル,1,アップル,2,マイクロソフト,3,ヤフー,4,サムスン,5
# 不可欠だ
グーグル,1,マイクロソフト,2,アップル,3,ヤフー,4,サムスン,5
# 偉大だ
エジソン,1,ニュートン,2,坂本龍馬,3,聖徳太子,4,宮沢賢治,5
# 好きだ
宮沢賢治,1,坂本龍馬,2,エジソン,3,ニュートン,4,聖徳太子,5
# 面白い
明石家さんま,1,タモリ,2,ビートたけし,3,所ジョージ,4,島田紳助,5
# 若い
島田紳助,1,所ジョージ,2,明石家さんま,3,タモリ,4,ビートたけし,5
# 貴重だ
出雲大社,1,皇居,2,琵琶湖,3,大阪城,4,通天閣,5
# 印象的だ
出雲大社,1,皇居,2,大阪城,3,琵琶湖,4,通天閣,5
# 新しい
江戸時代,1,鎌倉時代,2,平安時代,3,奈良時代,4,弥生時代,5
# 長い
江戸時代,1,弥生時代,2,平安時代,3,鎌倉時代,4,奈良時代,5
# 重要だ
優しさ,1,話し方,2,ルックス,3,服装,4,髪型,5
# 若い
羽生結弦,1,錦織圭,2,内村航平,3,ダルビッシュ,4,イチロー,5
# 素晴らしい
イチロー,1,錦織圭,2,内村航平,3,羽生結弦,4,ダルビッシュ,5
