query3: 38, r = Nan
query3: 41, r = Nan
query9: 8, r = Nan
query9: 38, r = Nan
query9: 45, r = Nan
query10: 8, r = Nan
query10: 38, r = Nan
query10: 45, r = Nan
query13: 24, r = Nan
query15: 21, r = Nan
query15: 26, r = Nan
query15: 38, r = Nan
query15: 42, r = Nan
query16: 26, r = Nan
query18: 8, r = Nan
query18: 48, r = Nan
query24: 38, r = Nan
query26: 9, r = Nan
query26: 37, r = Nan
query27: 41, r = Nan
query35: 38, r = Nan
query37: 34, r = Nan
query37: 38, r = Nan
query40: 41, r = Nan
query42: 34, r = Nan
query44: 41, r = Nan
query54: 45, r = Nan
query57: 8, r = Nan
query58: 1, r = Nan
query58: 37, r = Nan
query58: 45, r = Nan
query70: 42, r = Nan
query71: 15, r = Nan
query73: 34, r = Nan
query73: 37, r = Nan
query74: 38, r = Nan
