# 大きい,小さい
# ペンギン > 白鳥 > にわとり > ふくろう > すずめ
ペンギン,1,白鳥,2,にわとり,3,ふくろう,4,すずめ,5
# 可愛い,可愛くない
# すずめ = ふくろう = ペンギン > 白鳥 > にわとり
すずめ,1,ふくろう,1,ペンギン,1,白鳥,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# もやし = 玉ねぎ = ほうれん草 > 白菜 = ナス = かぼちゃ > きゅうり
もやし,1,玉ねぎ,1,ほうれん草,1,白菜,4,ナス,4,かぼちゃ,4,きゅうり,7
# 美味しい,不味い
# もやし > ナス > かぼちゃ > 玉ねぎ > 白菜 > ほうれん草 > きゅうり
もやし,1,ナス,2,かぼちゃ,3,玉ねぎ,4,白菜,5,ほうれん草,6,きゅうり,7
# 甘い,甘くない
# みかん > 柿 = りんご > ぶどう > さくらんぼ > イチゴ > メロン
みかん,1,柿,2,りんご,2,ぶどう,4,さくらんぼ,5,イチゴ,6,メロン,7
# 大きい,小さい
# メロン > りんご > 柿 > みかん > イチゴ > ぶどう = さくらんぼ
メロン,1,りんご,2,柿,3,みかん,4,イチゴ,5,ぶどう,6,さくらんぼ,6
# かしこい,ばかだ
# 犬 > ライオン > クジラ > 熊 > ネズミ
犬,1,ライオン,2,クジラ,3,熊,4,ネズミ,5
# 大きい,小さい
# クジラ >> 熊 > ライオン > 犬 >> ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# パール > オパール > サファイア > ガーネット > ターコイズ
パール,1,オパール,2,サファイア,3,ガーネット,4,ターコイズ,5
# 珍しい,珍しくない
# オパール > パール > サファイア > ガーネット > ターコイズ
オパール,1,パール,2,サファイア,3,ガーネット,4,ターコイズ,5
# 優雅だ,優雅でない
# ヴァイオリン = フルート > クラリネット = チェロ = ハープ
ヴァイオリン,1,フルート,1,クラリネット,3,チェロ,3,ハープ,3
# 心地よい,不快だ
# ハープ = フルート = ヴァイオリン > チェロ = クラリネット
ハープ,1,フルート,1,ヴァイオリン,1,チェロ,4,クラリネット,4
# 綺麗だ,醜い
# サクラ > すずらん > 桔梗 > たんぽぽ > ひまわり
サクラ,1,すずらん,2,桔梗,3,たんぽぽ,4,ひまわり,5
# 好きだ,嫌いだ
# すずらん = たんぽぽ > サクラ > ひまわり = 桔梗
すずらん,1,たんぽぽ,1,サクラ,3,ひまわり,4,桔梗,4
# 美味しい,不味い
# ルノアール > コメダ > ドトール > タリーズ > サンマルク
ルノアール,1,コメダ,2,ドトール,3,タリーズ,4,サンマルク,5
# 高い,安い
# サンマルク > ルノアール > コメダ > タリーズ > ドトール
サンマルク,1,ルノアール,2,コメダ,3,タリーズ,4,ドトール,5
# 好調だ,不調だ
# パナソニック > 日立製作所 > キャノン > エプソン > ソニー > 東芝 = 富士通
パナソニック,1,日立製作所,2,キャノン,3,エプソン,4,ソニー,5,東芝,6,富士通,6
# 新しい,古い
# キャノン = エプソン > ソニー > パナソニック > 東芝 > 日立製作所 > 富士通
キャノン,1,エプソン,1,ソニー,3,パナソニック,4,東芝,5,日立製作所,6,富士通,7
# 裕福だ,貧乏だ
# アメリカ > ロシア > イギリス > スペイン > 中国 > タイ > インド
アメリカ,1,ロシア,2,イギリス,3,スペイン,4,中国,5,タイ,6,インド,7
# 広大だ,せまい
# 中国 > アメリカ > ロシア > インド > イギリス > スペイン > タイ
中国,1,アメリカ,2,ロシア,3,インド,4,イギリス,5,スペイン,6,タイ,7
# 暖かい,寒い
# タイ = インド > スペイン > アメリカ > イギリス > 中国 > ロシア
タイ,1,インド,1,スペイン,3,アメリカ,4,イギリス,5,中国,6,ロシア,7
# 好調だ,不調だ
# トヨタ > ヤマハ > ホンダ > マツダ = ダイハツ
トヨタ,1,ヤマハ,2,ホンダ,3,マツダ,4,ダイハツ,4
# 有名だ,無名だ
# トヨタ > ホンダ > ヤマハ > ダイハツ = マツダ
トヨタ,1,ホンダ,2,ヤマハ,3,ダイハツ,4,マツダ,4
# 美味しい,不味い
# 日本酒 >> チューハイ = ハイボール > ビール = ウイスキー
日本酒,1,チューハイ,2,ハイボール,2,ビール,4,ウイスキー,4
# 高価だ,安価だ
# 日本酒 = ウイスキー > ビール > チューハイ = ハイボール
日本酒,1,ウイスキー,1,ビール,3,チューハイ,4,ハイボール,4
# 好きだ,嫌いだ
# チャーハン > ハンバーガー > ラーメン > カレー > ピザ
チャーハン,1,ハンバーガー,2,ラーメン,3,カレー,4,ピザ,5
# 脂っこい,脂っこくない
# ラーメン > チャーハン > ピザ > ハンバーガー > カレー
ラーメン,1,チャーハン,2,ピザ,3,ハンバーガー,4,カレー,5
# 高価だ,安価だ
# エアコン > 洗濯機 > カーナビ > カメラ > プリンタ
エアコン,1,洗濯機,2,カーナビ,3,カメラ,4,プリンタ,5
# うるさい,静かだ
# プリンタ > 洗濯機 > エアコン = カーナビ > カメラ
プリンタ,1,洗濯機,2,エアコン,3,カーナビ,3,カメラ,5
# 好きだ,嫌いだ
# 晴天 > 雪 > 霜 = 霧 > 強風 > 雷 > 雨
晴天,1,雪,2,霜,3,霧,3,強風,5,雷,6,雨,7
# 珍しい,珍しくない
# 雪 > 霜 > 霧 > 雷 > 強風 > 雨 > 晴天
雪,1,霜,2,霧,3,雷,4,強風,5,雨,6,晴天,7
# 好きだ,嫌いだ
# 豚肉 > 鶏肉 > 牛肉 > ラム肉 = 馬肉
豚肉,1,鶏肉,2,牛肉,3,ラム肉,4,馬肉,4
# 高価だ,安価だ
# ラム肉 > 馬肉 > 牛肉 > 豚肉 > 鶏肉
ラム肉,1,馬肉,2,牛肉,3,豚肉,4,鶏肉,5
# 有名だ,無名だ
# 銀閣寺 > 東寺 > 薬師寺 > 善光寺 > 中尊寺 > 増上寺
銀閣寺,1,東寺,2,薬師寺,3,善光寺,4,中尊寺,5,増上寺,6
# 立派だ,立派でない
# 銀閣寺 > 善光寺 > 薬師寺 = 中尊寺 = 増上寺 > 東寺
銀閣寺,1,善光寺,2,薬師寺,3,中尊寺,3,増上寺,3,東寺,6
# メジャーだ,マイナーだ
# 野球 = サッカー > バスケ = テニス = バレー > 相撲 > 卓球
野球,1,サッカー,1,バスケ,3,テニス,3,バレー,3,相撲,6,卓球,7
# 得意だ,苦手だ
# 卓球 > バレー > バスケ > サッカー > テニス = 野球 = 相撲
卓球,1,バレー,2,バスケ,3,サッカー,4,テニス,5,野球,5,相撲,5
# 快適だ,不快だ
# 新幹線 > 電車 > タクシー > バス > 飛行機
新幹線,1,電車,2,タクシー,3,バス,4,飛行機,5
# 速い,遅い
# 新幹線 > 電車 > 飛行機 > タクシー > バス
新幹線,1,電車,2,飛行機,3,タクシー,4,バス,5
