# 大きい,小さい
# 白鳥 > ペンギン > ふくろう > にわとり > すずめ
白鳥,1,ペンギン,2,ふくろう,3,にわとり,4,すずめ,5
# 可愛い,可愛くない
# ペンギン > ふくろう > すずめ > にわとり > 白鳥
ペンギン,1,ふくろう,2,すずめ,3,にわとり,4,白鳥,5
# ヘルシーだ,ヘルシーでない
# きゅうり = もやし > 白菜 > 玉ねぎ > ほうれん草 > ナス > かぼちゃ
きゅうり,1,もやし,1,白菜,3,玉ねぎ,4,ほうれん草,5,ナス,6,かぼちゃ,7
# 美味しい,不味い
# 玉ねぎ > ほうれん草 > 白菜 > きゅうり = もやし > かぼちゃ > ナス
玉ねぎ,1,ほうれん草,2,白菜,3,きゅうり,4,もやし,4,かぼちゃ,6,ナス,7
# 甘い,甘くない
# メロン > さくらんぼ > イチゴ > ぶどう > りんご > みかん > 柿
メロン,1,さくらんぼ,2,イチゴ,3,ぶどう,4,りんご,5,みかん,6,柿,7
# 大きい,小さい
# メロン > りんご > 柿 > ぶどう > みかん > イチゴ > さくらんぼ
メロン,1,りんご,2,柿,3,ぶどう,4,みかん,5,イチゴ,6,さくらんぼ,7
# かしこい,ばかだ
# 犬 > 熊 > ライオン > ネズミ > クジラ
犬,1,熊,2,ライオン,3,ネズミ,4,クジラ,5
# 大きい,小さい
# クジラ >> ライオン > 熊 > 犬 > ネズミ
クジラ,1,ライオン,2,熊,3,犬,4,ネズミ,5
# 上品だ,下品だ
# パール > サファイア > ガーネット > オパール > ターコイズ
パール,1,サファイア,2,ガーネット,3,オパール,4,ターコイズ,5
# 珍しい,珍しくない
# サファイア > オパール > ガーネット > ターコイズ > パール
サファイア,1,オパール,2,ガーネット,3,ターコイズ,4,パール,5
# 優雅だ,優雅でない
# ハープ > ヴァイオリン > チェロ > フルート > クラリネット
ハープ,1,ヴァイオリン,2,チェロ,3,フルート,4,クラリネット,5
# 心地よい,不快だ
# ヴァイオリン > チェロ > フルート > ハープ > クラリネット
ヴァイオリン,1,チェロ,2,フルート,3,ハープ,4,クラリネット,5
# 綺麗だ,醜い
# サクラ > ひまわり > すずらん > 桔梗 > たんぽぽ
サクラ,1,ひまわり,2,すずらん,3,桔梗,4,たんぽぽ,5
# 好きだ,嫌いだ
# ひまわり > サクラ > すずらん > たんぽぽ > 桔梗
ひまわり,1,サクラ,2,すずらん,3,たんぽぽ,4,桔梗,5
# 美味しい,不味い
# サンマルク > ドトール = タリーズ > ルノアール > コメダ
サンマルク,1,ドトール,2,タリーズ,2,ルノアール,4,コメダ,5
# 高い,安い
# ルノアール > サンマルク > コメダ > タリーズ > ドトール
ルノアール,1,サンマルク,2,コメダ,3,タリーズ,4,ドトール,5
# 好調だ,不調だ
# ソニー > パナソニック > 東芝 = 富士通 > キャノン > 日立製作所 > エプソン
ソニー,1,パナソニック,2,東芝,3,富士通,3,キャノン,5,日立製作所,6,エプソン,7
# 新しい,古い
# ソニー > キャノン = エプソン > パナソニック > 日立製作所 > 東芝 > 富士通
ソニー,1,キャノン,2,エプソン,2,パナソニック,4,日立製作所,5,東芝,6,富士通,7
# 裕福だ,貧乏だ
# ロシア > スペイン > アメリカ > イギリス > タイ > 中国 > インド
ロシア,1,スペイン,2,アメリカ,3,イギリス,4,タイ,5,中国,6,インド,7
# 広大だ,せまい
# 中国 > ロシア > インド > アメリカ > タイ > スペイン > イギリス
中国,1,ロシア,2,インド,3,アメリカ,4,タイ,5,スペイン,6,イギリス,7
# 暖かい,寒い
# タイ > インド > スペイン > アメリカ > イギリス > 中国 > ロシア
タイ,1,インド,2,スペイン,3,アメリカ,4,イギリス,5,中国,6,ロシア,7
# 好調だ,不調だ
# トヨタ > マツダ > ホンダ > ダイハツ > ヤマハ
トヨタ,1,マツダ,2,ホンダ,3,ダイハツ,4,ヤマハ,5
# 有名だ,無名だ
# トヨタ > マツダ = ホンダ > ダイハツ > ヤマハ
トヨタ,1,マツダ,2,ホンダ,2,ダイハツ,4,ヤマハ,5
# 美味しい,不味い
# チューハイ > 日本酒 > ハイボール > ウイスキー > ビール
チューハイ,1,日本酒,2,ハイボール,3,ウイスキー,4,ビール,5
# 高価だ,安価だ
# ウイスキー > 日本酒 > ビール > ハイボール > チューハイ
ウイスキー,1,日本酒,2,ビール,3,ハイボール,4,チューハイ,5
# 好きだ,嫌いだ
# ラーメン > カレー > ピザ > チャーハン > ハンバーガー
ラーメン,1,カレー,2,ピザ,3,チャーハン,4,ハンバーガー,5
# 脂っこい,脂っこくない
# ラーメン > チャーハン > ピザ > ハンバーガー > カレー
ラーメン,1,チャーハン,2,ピザ,3,ハンバーガー,4,カレー,5
# 高価だ,安価だ
# プリンタ > エアコン > カーナビ > 洗濯機 > カメラ
プリンタ,1,エアコン,2,カーナビ,3,洗濯機,4,カメラ,5
# うるさい,静かだ
# プリンタ > 洗濯機 > カーナビ > エアコン > カメラ
プリンタ,1,洗濯機,2,カーナビ,3,エアコン,4,カメラ,5
# 好きだ,嫌いだ
# 晴天 > 霜 > 雪 > 霧 > 雷 > 雨 > 強風
晴天,1,霜,2,雪,3,霧,4,雷,5,雨,6,強風,7
# 珍しい,珍しくない
# 雷 > 霧 > 雪 > 霜 > 強風 > 雨 > 晴天
雷,1,霧,2,雪,3,霜,4,強風,5,雨,6,晴天,7
# 好きだ,嫌いだ
# 鶏肉 > 牛肉 > 豚肉 > ラム肉 > 馬肉
鶏肉,1,牛肉,2,豚肉,3,ラム肉,4,馬肉,5
# 高価だ,安価だ
# 牛肉 > 馬肉 > ラム肉 > 豚肉 > 鶏肉
牛肉,1,馬肉,2,ラム肉,3,豚肉,4,鶏肉,5
# 有名だ,無名だ
# 銀閣寺 > 中尊寺 > 東寺 > 薬師寺 > 増上寺 > 善光寺
銀閣寺,1,中尊寺,2,東寺,3,薬師寺,4,増上寺,5,善光寺,6
# 立派だ,立派でない
# 銀閣寺 > 中尊寺 > 増上寺 > 東寺 > 薬師寺 > 善光寺
銀閣寺,1,中尊寺,2,増上寺,3,東寺,4,薬師寺,5,善光寺,6
# メジャーだ,マイナーだ
# 野球 > テニス > 相撲 > サッカー > バレー = バスケ > 卓球
野球,1,テニス,2,相撲,3,サッカー,4,バレー,5,バスケ,5,卓球,7
# 得意だ,苦手だ
# テニス > 野球 > 卓球 > サッカー > バスケ > バレー > 相撲
テニス,1,野球,2,卓球,3,サッカー,4,バスケ,5,バレー,6,相撲,7
# 快適だ,不快だ
# 新幹線 > 飛行機 > タクシー > バス > 電車
新幹線,1,飛行機,2,タクシー,3,バス,4,電車,5
# 速い,遅い
# 飛行機 > 新幹線 > 電車 > タクシー > バス
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,5
# 安全だ,危険だ
# タクシー > バス > 新幹線 > 電車 > 飛行機
タクシー,1,バス,2,新幹線,3,電車,4,飛行機,5
# 可愛い,可愛くない
# 北乃きい > 南明奈 > 釈由美子 = 吹石一恵 > 優香 > 梨花 > 友近
北乃きい,1,南明奈,2,釈由美子,3,吹石一恵,3,優香,5,梨花,6,友近,7
# 面白い,つまらない
# 友近 > 梨花 > 優香 > 南明奈 > 釈由美子 > 北乃きい > 吹石一恵
友近,1,梨花,2,優香,3,南明奈,4,釈由美子,5,北乃きい,6,吹石一恵,7
# 甘い,甘くない
# ショートケーキ = チョコレートケーキ > ロールケーキ > シフォンケーキ > チーズケーキ
ショートケーキ,1,チョコレートケーキ,1,ロールケーキ,3,シフォンケーキ,4,チーズケーキ,5
# 好きだ,嫌いだ
# チョコレートケーキ > シフォンケーキ > ロールケーキ > ショートケーキ > チーズケーキ
チョコレートケーキ,1,シフォンケーキ,2,ロールケーキ,3,ショートケーキ,4,チーズケーキ,5
# 美味しい,不味い
# カステラ > スコーン > マフィン > マカロン > ベーグル
カステラ,1,スコーン,2,マフィン,3,マカロン,4,ベーグル,5
# おしゃれだ,おしゃれでない
# マカロン > スコーン > ベーグル > マフィン > カステラ
マカロン,1,スコーン,2,ベーグル,3,マフィン,4,カステラ,5
# 美味しい,不味い
# 紅茶 = 緑茶 > 抹茶 = ココア > オレンジジュース
紅茶,1,緑茶,1,抹茶,3,ココア,3,オレンジジュース,5
# 好きだ,嫌いだ
# 讃岐うどん > お好み焼き > 串かつ > 牛タン > カツカレー
讃岐うどん,1,お好み焼き,2,串かつ,3,牛タン,4,カツカレー,5
# 高価だ,安価だ
# 牛タン > 串かつ > カツカレー > お好み焼き > 讃岐うどん
牛タン,1,串かつ,2,カツカレー,3,お好み焼き,4,讃岐うどん,5
# 暖かい,寒い
# 沖縄 > 福岡 > 神戸 > 大阪 > 名古屋 > 東京 > 札幌
沖縄,1,福岡,2,神戸,3,大阪,4,名古屋,5,東京,6,札幌,7
# 遠い,近い
# 沖縄 > 札幌 > 福岡 > 神戸 > 大阪 > 名古屋 > 東京
沖縄,1,札幌,2,福岡,3,神戸,4,大阪,5,名古屋,6,東京,7
# ヘルシーだ,ヘルシーでない
# タイ料理 > インド料理 > スペイン料理 > 韓国料理 > 中華料理
タイ料理,1,インド料理,2,スペイン料理,3,韓国料理,4,中華料理,5
# 辛い,辛くない
# タイ料理 > 中華料理 > インド料理 > 韓国料理 > スペイン料理
タイ料理,1,中華料理,2,インド料理,3,韓国料理,4,スペイン料理,5
# 優秀だ,優秀でない
# 医師 > 宇宙飛行士 > 科学者 > 警察官 > 作曲者
医師,1,宇宙飛行士,2,科学者,3,警察官,4,作曲者,5
# 過酷だ,過酷でない
# 医師 > 宇宙飛行士 > 警察官 > 科学者 > 作曲者
医師,1,宇宙飛行士,2,警察官,3,科学者,4,作曲者,5
# 面白い,つまらない
# となりのトトロ > 美女と野獣 > 風の谷のナウシカ > 不思議の国のアリス > スター・ウォーズ
となりのトトロ,1,美女と野獣,2,風の谷のナウシカ,3,不思議の国のアリス,4,スター・ウォーズ,5
# 新しい,古い
# 美女と野獣 > となりのトトロ > 風の谷のナウシカ > 不思議の国のアリス > スター・ウォーズ
美女と野獣,1,となりのトトロ,2,風の谷のナウシカ,3,不思議の国のアリス,4,スター・ウォーズ,5
# 必須だ,無駄だ
# 国語 > 英語 > 数学 > 体育 > 世界史
国語,1,英語,2,数学,3,体育,4,世界史,5
# 簡単だ,難しい
# 国語 > 体育 > 英語 > 世界史 > 数学
国語,1,体育,2,英語,3,世界史,4,数学,5
# 楽しい,楽しくない
# 読書 > ＢＢＱ > ドライブ > ジョギング > 釣り > サーフィン
読書,1,ＢＢＱ,2,ドライブ,3,ジョギング,4,釣り,5,サーフィン,6
# 有意義だ,有意義でない
# 読書 > ジョギング > ＢＢＱ > ドライブ > サーフィン > 釣り
読書,1,ジョギング,2,ＢＢＱ,3,ドライブ,4,サーフィン,5,釣り,6
# 手軽だ,手軽でない
# 読書 > ドライブ >> ジョギング > ＢＢＱ > 釣り > サーフィン
読書,1,ドライブ,2,ジョギング,3,ＢＢＱ,4,釣り,5,サーフィン,6
# 面白い,つまらない
# Ｔｗｉｔｔｅｒ > ニコ動 > インスタグラム > Ｙｏｕｔｕｂｅ > Ｆａｃｅｂｏｏｋ
Ｔｗｉｔｔｅｒ,1,ニコ動,2,インスタグラム,3,Ｙｏｕｔｕｂｅ,4,Ｆａｃｅｂｏｏｋ,5
# 便利だ,便利でない
# Ｔｗｉｔｔｅｒ > インスタグラム > ニコ動 > Ｙｏｕｔｕｂｅ > Ｆａｃｅｂｏｏｋ
Ｔｗｉｔｔｅｒ,1,インスタグラム,2,ニコ動,3,Ｙｏｕｔｕｂｅ,4,Ｆａｃｅｂｏｏｋ,5
# 面白い,つまらない
# セーラームーン > ジョジョ > ドラゴンボール = プリキュア > エヴァ > ＧＴＯ
セーラームーン,1,ジョジョ,2,ドラゴンボール,3,プリキュア,3,エヴァ,5,ＧＴＯ,6
# 若い,若くない
# 小泉純一郎 > 安倍晋三 > 鳩山由紀夫 > 麻生太郎 > 田中角栄
小泉純一郎,1,安倍晋三,2,鳩山由紀夫,3,麻生太郎,4,田中角栄,5
# 好きだ,嫌いだ
# 小泉純一郎 > 安倍晋三 > 麻生太郎 > 鳩山由紀夫 > 田中角栄
小泉純一郎,1,安倍晋三,2,麻生太郎,3,鳩山由紀夫,4,田中角栄,5
# 好調だ,不調だ
# アップル > グーグル > マイクロソフト > ヤフー > サムスン
アップル,1,グーグル,2,マイクロソフト,3,ヤフー,4,サムスン,5
# 不可欠だ,不要だ
# マイクロソフト > アップル > グーグル > ヤフー > サムスン
マイクロソフト,1,アップル,2,グーグル,3,ヤフー,4,サムスン,5
# 偉大だ,偉大でない
# ニュートン > 坂本龍馬 > エジソン > 宮沢賢治 > 聖徳太子
ニュートン,1,坂本龍馬,2,エジソン,3,宮沢賢治,4,聖徳太子,5
# 好きだ,嫌いだ
# 宮沢賢治 > 坂本龍馬 > ニュートン = エジソン > 聖徳太子
宮沢賢治,1,坂本龍馬,2,ニュートン,3,エジソン,3,聖徳太子,5
# 面白い,つまらない
# 明石家さんま > タモリ > ビートたけし > 島田紳助 > 所ジョージ
明石家さんま,1,タモリ,2,ビートたけし,3,島田紳助,4,所ジョージ,5
# 若い,若くない
# 島田紳助 > 所ジョージ > 明石家さんま > ビートたけし > タモリ
島田紳助,1,所ジョージ,2,明石家さんま,3,ビートたけし,4,タモリ,5
# 貴重だ,貴重でない
# 出雲大社 > 大阪城 > 皇居 > 通天閣 > 琵琶湖
出雲大社,1,大阪城,2,皇居,3,通天閣,4,琵琶湖,5
# 印象的だ,印象的でない
# 出雲大社 > 大阪城 > 皇居 > 通天閣 > 琵琶湖
出雲大社,1,大阪城,2,皇居,3,通天閣,4,琵琶湖,5
# 新しい,古い
# 江戸時代 > 鎌倉時代 > 奈良時代 > 平安時代 > 弥生時代
江戸時代,1,鎌倉時代,2,奈良時代,3,平安時代,4,弥生時代,5
# 長い,短い
# 江戸時代 > 弥生時代 > 鎌倉時代 > 平安時代 > 奈良時代
江戸時代,1,弥生時代,2,鎌倉時代,3,平安時代,4,奈良時代,5
# 重要だ,重要でない
# ルックス > 優しさ > 服装 = 髪型 > 話し方
ルックス,1,優しさ,2,服装,3,髪型,3,話し方,5
# 若い,若くない
# 羽生結弦 > 錦織圭 > 内村航平 > ダルビッシュ > イチロー
羽生結弦,1,錦織圭,2,内村航平,3,ダルビッシュ,4,イチロー,5
# 素晴らしい,素晴らしくない
# 羽生結弦 = 錦織圭 = イチロー > 内村航平 > ダルビッシュ
羽生結弦,1,錦織圭,1,イチロー,1,内村航平,4,ダルビッシュ,5
