# 大きい,小さい
# 白鳥 > ふくろう > ペンギン > にわとり > すずめ
白鳥,1,ふくろう,2,ペンギン,3,にわとり,4,すずめ,5
# 可愛い,可愛くない
# ふくろう = すずめ > ペンギン > 白鳥 > にわとり
ふくろう,1,すずめ,1,ペンギン,3,白鳥,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# ほうれん草 = きゅうり = もやし = 玉ねぎ = 白菜 = ナス > かぼちゃ
ほうれん草,1,きゅうり,1,もやし,1,玉ねぎ,1,白菜,1,ナス,1,かぼちゃ,7
# 美味しい,不味い
# かぼちゃ > 玉ねぎ > 白菜 > ナス = もやし > ほうれん草 > きゅうり
かぼちゃ,1,玉ねぎ,2,白菜,3,ナス,4,もやし,4,ほうれん草,6,きゅうり,7
# 甘い,甘くない
# ぶどう > メロン > 柿 > りんご > イチゴ = みかん > さくらんぼ
ぶどう,1,メロン,2,柿,3,りんご,4,イチゴ,5,みかん,5,さくらんぼ,7
# 大きい,小さい
# メロン > りんご > 柿 > みかん > イチゴ > ぶどう > さくらんぼ
メロン,1,りんご,2,柿,3,みかん,4,イチゴ,5,ぶどう,6,さくらんぼ,7
# かしこい,ばかだ
# クジラ > 犬 > 熊 > ネズミ = ライオン
クジラ,1,犬,2,熊,3,ネズミ,4,ライオン,4
# 大きい,小さい
# クジラ > 熊 > ライオン > 犬 > ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# パール > サファイア = ガーネット = オパール > ターコイズ
パール,1,サファイア,2,ガーネット,2,オパール,2,ターコイズ,5
# 珍しい,珍しくない
# サファイア > オパール = ガーネット = ターコイズ = パール
サファイア,1,オパール,2,ガーネット,2,ターコイズ,2,パール,2
# 優雅だ,優雅でない
# チェロ > クラリネット > ヴァイオリン > フルート > ハープ
チェロ,1,クラリネット,2,ヴァイオリン,3,フルート,4,ハープ,5
# 心地よい,不快だ
# チェロ = フルート = ヴァイオリン = クラリネット > ハープ
チェロ,1,フルート,1,ヴァイオリン,1,クラリネット,1,ハープ,5
# 綺麗だ,醜い
# サクラ = ひまわり = 桔梗 = すずらん = たんぽぽ
サクラ,1,ひまわり,1,桔梗,1,すずらん,1,たんぽぽ,1
# 好きだ,嫌いだ
# サクラ > たんぽぽ > ひまわり > すずらん > 桔梗
サクラ,1,たんぽぽ,2,ひまわり,3,すずらん,4,桔梗,5
# 美味しい,不味い
# サンマルク = タリーズ = コメダ = ルノアール > ドトール
サンマルク,1,タリーズ,1,コメダ,1,ルノアール,1,ドトール,5
# 高い,安い
