# 大きい,小さい
# ペンギン >> にわとり > 白鳥 >> ふくろう >> すずめ
ペンギン,1,にわとり,2,白鳥,3,ふくろう,4,すずめ,5
# 可愛い,可愛くない
# すずめ > 白鳥 >> ペンギン >> ふくろう >> にわとり
すずめ,1,白鳥,2,ペンギン,3,ふくろう,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# 白菜 > ほうれん草 > もやし >> 玉ねぎ > ナス > きゅうり >> かぼちゃ
白菜,1,ほうれん草,2,もやし,3,玉ねぎ,4,ナス,5,きゅうり,6,かぼちゃ,7
# 美味しい,不味い
# ナス >> 玉ねぎ >> ほうれん草 = もやし >> きゅうり >> かぼちゃ >> 白菜
ナス,1,玉ねぎ,2,ほうれん草,3,もやし,3,きゅうり,5,かぼちゃ,6,白菜,7
# 甘い,甘くない
# イチゴ > みかん >> りんご = ぶどう >> メロン >> さくらんぼ >> 柿
イチゴ,1,みかん,2,りんご,3,ぶどう,3,メロン,5,さくらんぼ,6,柿,7
# 大きい,小さい
# メロン >> みかん = りんご > 柿 > イチゴ > ぶどう >> さくらんぼ
メロン,1,みかん,2,りんご,2,柿,4,イチゴ,5,ぶどう,6,さくらんぼ,7
# かしこい,ばかだ
# クジラ > ライオン >> 犬 >> 熊 > ネズミ
クジラ,1,ライオン,2,犬,3,熊,4,ネズミ,5
# 大きい,小さい
# クジラ >> 熊 >> ライオン > 犬 >> ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# パール > オパール >> サファイア >> ガーネット >> ターコイズ
パール,1,オパール,2,サファイア,3,ガーネット,4,ターコイズ,5
# 珍しい,珍しくない
# パール >> サファイア > オパール >> ターコイズ >> ガーネット
パール,1,サファイア,2,オパール,3,ターコイズ,4,ガーネット,5
# 優雅だ,優雅でない
# チェロ > ハープ >> ヴァイオリン >> クラリネット > フルート
チェロ,1,ハープ,2,ヴァイオリン,3,クラリネット,4,フルート,5
# 心地よい,不快だ
# ハープ > フルート >> ヴァイオリン > チェロ >> クラリネット
ハープ,1,フルート,2,ヴァイオリン,3,チェロ,4,クラリネット,5
# 綺麗だ,醜い
# すずらん > サクラ >> 桔梗 >> ひまわり = たんぽぽ
すずらん,1,サクラ,2,桔梗,3,ひまわり,4,たんぽぽ,4
# 好きだ,嫌いだ
# すずらん > ひまわり = たんぽぽ >> 桔梗 >> サクラ
すずらん,1,ひまわり,2,たんぽぽ,2,桔梗,4,サクラ,5
# 美味しい,不味い
# コメダ > ドトール > サンマルク > ルノアール = タリーズ
コメダ,1,ドトール,2,サンマルク,3,ルノアール,4,タリーズ,4
# 高い,安い
# ルノアール = ドトール >> サンマルク >> タリーズ = コメダ
ルノアール,1,ドトール,1,サンマルク,3,タリーズ,4,コメダ,4
# 好調だ,不調だ
# 日立製作所 >> エプソン = キャノン >> 富士通 = ソニー = パナソニック = 東芝
日立製作所,1,エプソン,2,キャノン,2,富士通,4,ソニー,4,パナソニック,4,東芝,4
# 新しい,古い
# キャノン > 富士通 >> エプソン >> ソニー >> パナソニック = 東芝 > 日立製作所
キャノン,1,富士通,2,エプソン,3,ソニー,4,パナソニック,5,東芝,5,日立製作所,7
# 裕福だ,貧乏だ
# イギリス = アメリカ >> スペイン = ロシア >> インド > 中国 >> タイ
イギリス,1,アメリカ,1,スペイン,3,ロシア,3,インド,5,中国,6,タイ,7
# 広大だ,せまい
# ロシア > 中国 >> アメリカ >> インド >> スペイン >> イギリス = タイ
ロシア,1,中国,2,アメリカ,3,インド,4,スペイン,5,イギリス,6,タイ,6
# 暖かい,寒い
# インド > タイ >> スペイン > 中国 >> アメリカ = イギリス >> ロシア
