# 大きい,小さい
# 白鳥 > ペンギン > にわとり > ふくろう > すずめ
白鳥,1,ペンギン,2,にわとり,3,ふくろう,4,すずめ,5
# 可愛い,可愛くない
# すずめ > ふくろう > 白鳥 > ペンギン > にわとり
すずめ,1,ふくろう,2,白鳥,3,ペンギン,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# 白菜 > もやし > きゅうり > 玉ねぎ > ナス > かぼちゃ > ほうれん草
白菜,1,もやし,2,きゅうり,3,玉ねぎ,4,ナス,5,かぼちゃ,6,ほうれん草,7
# 美味しい,不味い
# 玉ねぎ > きゅうり > ナス > 白菜 > もやし > かぼちゃ > ほうれん草
玉ねぎ,1,きゅうり,2,ナス,3,白菜,4,もやし,5,かぼちゃ,6,ほうれん草,7
# 甘い,甘くない
# イチゴ > メロン > さくらんぼ > ぶどう > みかん > 柿 > りんご
イチゴ,1,メロン,2,さくらんぼ,3,ぶどう,4,みかん,5,柿,6,りんご,7
# 大きい,小さい
# メロン > ぶどう > りんご > 柿 > みかん > イチゴ > さくらんぼ
メロン,1,ぶどう,2,りんご,3,柿,4,みかん,5,イチゴ,6,さくらんぼ,7
# かしこい,ばかだ
# 犬 > ライオン > ネズミ > 熊 > クジラ
犬,1,ライオン,2,ネズミ,3,熊,4,クジラ,5
# 大きい,小さい
# クジラ > 熊 > ライオン > 犬 > ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# サファイア > オパール > パール > ガーネット = ターコイズ
サファイア,1,オパール,2,パール,3,ガーネット,4,ターコイズ,4
# 珍しい,珍しくない
# ガーネット = ターコイズ > サファイア > オパール > パール
ガーネット,1,ターコイズ,1,サファイア,3,オパール,4,パール,5
# 優雅だ,優雅でない
# ハープ > フルート > ヴァイオリン > チェロ > クラリネット
ハープ,1,フルート,2,ヴァイオリン,3,チェロ,4,クラリネット,5
# 心地よい,不快だ
# フルート > クラリネット > ヴァイオリン > ハープ > チェロ
フルート,1,クラリネット,2,ヴァイオリン,3,ハープ,4,チェロ,5
# 綺麗だ,醜い
# すずらん > サクラ > 桔梗 > たんぽぽ > ひまわり
すずらん,1,サクラ,2,桔梗,3,たんぽぽ,4,ひまわり,5
# 好きだ,嫌いだ
# すずらん > サクラ > 桔梗 > たんぽぽ > ひまわり
すずらん,1,サクラ,2,桔梗,3,たんぽぽ,4,ひまわり,5
# 美味しい,不味い
# ドトール > タリーズ > サンマルク = コメダ = ルノアール
ドトール,1,タリーズ,2,サンマルク,3,コメダ,3,ルノアール,3
# 高い,安い
# ドトール > サンマルク = タリーズ = コメダ = ルノアール
ドトール,1,サンマルク,2,タリーズ,2,コメダ,2,ルノアール,2
# 好調だ,不調だ
# キャノン > エプソン > 富士通 > 東芝 > ソニー > パナソニック > 日立製作所
キャノン,1,エプソン,2,富士通,3,東芝,4,ソニー,5,パナソニック,6,日立製作所,7
# 新しい,古い
# キャノン > エプソン > 富士通 > 東芝 > ソニー > パナソニック > 日立製作所
