# 大きい,小さい
# 白鳥 > ふくろう > ペンギン > にわとり >> すずめ
白鳥,1,ふくろう,2,ペンギン,3,にわとり,4,すずめ,5
# 可愛い,可愛くない
# ふくろう > ペンギン > すずめ > 白鳥 >> にわとり
ふくろう,1,ペンギン,2,すずめ,3,白鳥,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# もやし >> ほうれん草 > きゅうり > ナス > 白菜 > 玉ねぎ = かぼちゃ
もやし,1,ほうれん草,2,きゅうり,3,ナス,4,白菜,5,玉ねぎ,6,かぼちゃ,6
# 美味しい,不味い
# かぼちゃ > ナス = きゅうり > ほうれん草 > もやし > 玉ねぎ > 白菜
かぼちゃ,1,ナス,2,きゅうり,2,ほうれん草,4,もやし,5,玉ねぎ,6,白菜,7
# 甘い,甘くない
# メロン >> イチゴ > 柿 > ぶどう = みかん > さくらんぼ = りんご
メロン,1,イチゴ,2,柿,3,ぶどう,4,みかん,4,さくらんぼ,6,りんご,6
# 大きい,小さい
# メロン >> ぶどう > りんご = 柿 = みかん > イチゴ > さくらんぼ
メロン,1,ぶどう,2,りんご,3,柿,3,みかん,3,イチゴ,6,さくらんぼ,7
# かしこい,ばかだ
# クジラ > 犬 >> ライオン > 熊 > ネズミ
クジラ,1,犬,2,ライオン,3,熊,4,ネズミ,5
# 大きい,小さい
# クジラ >> 熊 > ライオン >> 犬 >> ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# パール > サファイア > ガーネット = オパール > ターコイズ
パール,1,サファイア,2,ガーネット,3,オパール,3,ターコイズ,5
# 珍しい,珍しくない
# パール > サファイア = ガーネット = オパール > ターコイズ
パール,1,サファイア,2,ガーネット,2,オパール,2,ターコイズ,5
# 優雅だ,優雅でない
# フルート = ハープ = ヴァイオリン > チェロ > クラリネット
フルート,1,ハープ,1,ヴァイオリン,1,チェロ,4,クラリネット,5
# 心地よい,不快だ
# フルート = ハープ > クラリネット = ヴァイオリン = チェロ
フルート,1,ハープ,1,クラリネット,3,ヴァイオリン,3,チェロ,3
# 綺麗だ,醜い
# サクラ > 桔梗 = すずらん > ひまわり > たんぽぽ
サクラ,1,桔梗,2,すずらん,2,ひまわり,4,たんぽぽ,5
# 好きだ,嫌いだ
# サクラ = ひまわり >> たんぽぽ > すずらん = 桔梗
サクラ,1,ひまわり,1,たんぽぽ,3,すずらん,4,桔梗,4
# 美味しい,不味い
# ドトール > コメダ = ルノアール > サンマルク > タリーズ
ドトール,1,コメダ,2,ルノアール,2,サンマルク,4,タリーズ,5
# 高い,安い
# ルノアール > タリーズ = サンマルク > コメダ > ドトール
ルノアール,1,タリーズ,2,サンマルク,2,コメダ,4,ドトール,5
# 好調だ,不調だ
# パナソニック = ソニー >> キャノン > 富士通 = エプソン > 東芝 = 日立製作所
パナソニック,1,ソニー,1,キャノン,3,富士通,4,エプソン,4,東芝,6,日立製作所,6
# 新しい,古い
# キャノン > エプソン > ソニー = 日立製作所 = 東芝 = パナソニック > 富士通
キャノン,1,エプソン,2,ソニー,3,日立製作所,3,東芝,3,パナソニック,3,富士通,7
# 裕福だ,貧乏だ
# イギリス > インド = スペイン = アメリカ > ロシア > タイ > 中国
イギリス,1,インド,2,スペイン,2,アメリカ,2,ロシア,5,タイ,6,中国,7
# 広大だ,せまい
# 中国 > ロシア > インド > アメリカ > スペイン > イギリス = タイ
中国,1,ロシア,2,インド,3,アメリカ,4,スペイン,5,イギリス,6,タイ,6
# 暖かい,寒い
# インド > タイ > スペイン = アメリカ > 中国 = イギリス >> ロシア
インド,1,タイ,2,スペイン,3,アメリカ,3,中国,5,イギリス,5,ロシア,7
# 好調だ,不調だ
# ホンダ = トヨタ > ヤマハ > ダイハツ > マツダ
ホンダ,1,トヨタ,1,ヤマハ,3,ダイハツ,4,マツダ,5
# 有名だ,無名だ
# トヨタ = ホンダ > マツダ = ダイハツ > ヤマハ
トヨタ,1,ホンダ,1,マツダ,3,ダイハツ,3,ヤマハ,5
# 美味しい,不味い
# ビール > 日本酒 = チューハイ > ハイボール >> ウイスキー
ビール,1,日本酒,2,チューハイ,2,ハイボール,4,ウイスキー,5
# 高価だ,安価だ
# ウイスキー > 日本酒 > チューハイ = ハイボール > ビール
ウイスキー,1,日本酒,2,チューハイ,3,ハイボール,3,ビール,5
# 好きだ,嫌いだ
# チャーハン > ラーメン > ハンバーガー > ピザ > カレー
チャーハン,1,ラーメン,2,ハンバーガー,3,ピザ,4,カレー,5
# 脂っこい,脂っこくない
# ピザ > カレー > ラーメン > チャーハン > ハンバーガー
ピザ,1,カレー,2,ラーメン,3,チャーハン,4,ハンバーガー,5
# 高価だ,安価だ
# エアコン = 洗濯機 > カーナビ > カメラ > プリンタ
エアコン,1,洗濯機,1,カーナビ,3,カメラ,4,プリンタ,5
# うるさい,静かだ
# プリンタ = カーナビ > 洗濯機 >> カメラ > エアコン
プリンタ,1,カーナビ,1,洗濯機,3,カメラ,4,エアコン,5
# 好きだ,嫌いだ
# 晴天 > 雪 > 霜 > 強風 = 雨 >> 雷 >> 霧
晴天,1,雪,2,霜,3,強風,4,雨,4,雷,6,霧,7
# 珍しい,珍しくない
# 霜 > 雪 > 霧 > 雷 > 晴天 = 雨 = 強風
