# 大きい,小さい
# 白鳥 > ペンギン > ふくろう > にわとり > すずめ
白鳥,1,ペンギン,2,ふくろう,3,にわとり,4,すずめ,5
# 可愛い,可愛くない
# ペンギン > 白鳥 > ふくろう > すずめ > にわとり
ペンギン,1,白鳥,2,ふくろう,3,すずめ,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# ほうれん草 > 玉ねぎ > かぼちゃ > ナス > きゅうり = もやし > 白菜
ほうれん草,1,玉ねぎ,2,かぼちゃ,3,ナス,4,きゅうり,5,もやし,5,白菜,7
# 美味しい,不味い
# かぼちゃ > ナス > もやし = 玉ねぎ > きゅうり = ほうれん草 > 白菜
かぼちゃ,1,ナス,2,もやし,3,玉ねぎ,3,きゅうり,5,ほうれん草,5,白菜,7
# 甘い,甘くない
# メロン > イチゴ > みかん = りんご = ぶどう = 柿 > さくらんぼ
メロン,1,イチゴ,2,みかん,3,りんご,3,ぶどう,3,柿,3,さくらんぼ,7
# 大きい,小さい
# メロン > りんご > ぶどう > 柿 > みかん > イチゴ > さくらんぼ
メロン,1,りんご,2,ぶどう,3,柿,4,みかん,5,イチゴ,6,さくらんぼ,7
# かしこい,ばかだ
# クジラ > 犬 > ライオン > 熊 > ネズミ
クジラ,1,犬,2,ライオン,3,熊,4,ネズミ,5
# 大きい,小さい
# クジラ > 熊 > ライオン > 犬 > ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# サファイア > パール > ガーネット > ターコイズ > オパール
サファイア,1,パール,2,ガーネット,3,ターコイズ,4,オパール,5
# 珍しい,珍しくない
# サファイア > ガーネット > パール > ターコイズ > オパール
サファイア,1,ガーネット,2,パール,3,ターコイズ,4,オパール,5
# 優雅だ,優雅でない
# ヴァイオリン > フルート = ハープ > チェロ > クラリネット
ヴァイオリン,1,フルート,2,ハープ,2,チェロ,4,クラリネット,5
# 心地よい,不快だ
# ヴァイオリン > チェロ = ハープ > クラリネット = フルート
ヴァイオリン,1,チェロ,2,ハープ,2,クラリネット,4,フルート,4
# 綺麗だ,醜い
# サクラ > ひまわり > すずらん > たんぽぽ > 桔梗
サクラ,1,ひまわり,2,すずらん,3,たんぽぽ,4,桔梗,5
# 好きだ,嫌いだ
# サクラ > すずらん = 桔梗 > たんぽぽ = ひまわり
サクラ,1,すずらん,2,桔梗,2,たんぽぽ,4,ひまわり,4
# 美味しい,不味い
# コメダ > ドトール > ルノアール > タリーズ > サンマルク
コメダ,1,ドトール,2,ルノアール,3,タリーズ,4,サンマルク,5
# 高い,安い
# ルノアール > タリーズ = サンマルク > ドトール > コメダ
ルノアール,1,タリーズ,2,サンマルク,2,ドトール,4,コメダ,5
# 好調だ,不調だ
# パナソニック = キャノン = エプソン > 日立製作所 > 富士通 > ソニー > 東芝
パナソニック,1,キャノン,1,エプソン,1,日立製作所,4,富士通,5,ソニー,6,東芝,7
# 新しい,古い
# パナソニック = キャノン = エプソン > ソニー > 日立製作所 = 富士通 = 東芝
