# 大きい,小さい
# ペンギン > 白鳥 > にわとり > ふくろう > すずめ
ペンギン,1,白鳥,2,にわとり,3,ふくろう,4,すずめ,5
# 可愛い,可愛くない
# ふくろう > ペンギン > すずめ > 白鳥 > にわとり
ふくろう,1,ペンギン,2,すずめ,3,白鳥,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# 白菜 > 玉ねぎ > ほうれん草 > きゅうり > かぼちゃ > ナス > もやし
白菜,1,玉ねぎ,2,ほうれん草,3,きゅうり,4,かぼちゃ,5,ナス,6,もやし,7
# 美味しい,不味い
# 白菜 > きゅうり > もやし > ほうれん草 > ナス > 玉ねぎ >> かぼちゃ
白菜,1,きゅうり,2,もやし,3,ほうれん草,4,ナス,5,玉ねぎ,6,かぼちゃ,7
# 甘い,甘くない
# メロン > みかん > ぶどう > りんご > 柿 > イチゴ > さくらんぼ
メロン,1,みかん,2,ぶどう,3,りんご,4,柿,5,イチゴ,6,さくらんぼ,7
# 大きい,小さい
# メロン > りんご > ぶどう > 柿 > みかん > イチゴ > さくらんぼ
メロン,1,りんご,2,ぶどう,3,柿,4,みかん,5,イチゴ,6,さくらんぼ,7
# かしこい,ばかだ
# クジラ > 熊 > ライオン > 犬 > ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 大きい,小さい
# クジラ > 熊 > ライオン > 犬 > ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# サファイア > ガーネット > オパール > パール > ターコイズ
サファイア,1,ガーネット,2,オパール,3,パール,4,ターコイズ,5
# 珍しい,珍しくない
# パール > サファイア > オパール > ガーネット > ターコイズ
パール,1,サファイア,2,オパール,3,ガーネット,4,ターコイズ,5
# 優雅だ,優雅でない
# ハープ > ヴァイオリン > フルート > チェロ > クラリネット
ハープ,1,ヴァイオリン,2,フルート,3,チェロ,4,クラリネット,5
# 心地よい,不快だ
# ヴァイオリン > フルート > チェロ > ハープ > クラリネット
ヴァイオリン,1,フルート,2,チェロ,3,ハープ,4,クラリネット,5
# 綺麗だ,醜い
# すずらん > サクラ > ひまわり > 桔梗 > たんぽぽ
すずらん,1,サクラ,2,ひまわり,3,桔梗,4,たんぽぽ,5
# 好きだ,嫌いだ
# ひまわり > サクラ > すずらん > たんぽぽ > 桔梗
ひまわり,1,サクラ,2,すずらん,3,たんぽぽ,4,桔梗,5
# 美味しい,不味い
# ドトール > タリーズ > サンマルク > コメダ > ルノアール
ドトール,1,タリーズ,2,サンマルク,3,コメダ,4,ルノアール,5
# 高い,安い
# ルノアール > ドトール > タリーズ > サンマルク > コメダ
ルノアール,1,ドトール,2,タリーズ,3,サンマルク,4,コメダ,5
# 好調だ,不調だ
# ソニー > 東芝 > 富士通 > パナソニック > キャノン > エプソン = 日立製作所
ソニー,1,東芝,2,富士通,3,パナソニック,4,キャノン,5,エプソン,6,日立製作所,6
# 新しい,古い
# パナソニック > キャノン > エプソン > 東芝 > 富士通 > ソニー > 日立製作所
パナソニック,1,キャノン,2,エプソン,3,東芝,4,富士通,5,ソニー,6,日立製作所,7
# 裕福だ,貧乏だ
# アメリカ > スペイン > ロシア > イギリス > 中国 > インド > タイ
アメリカ,1,スペイン,2,ロシア,3,イギリス,4,中国,5,インド,6,タイ,7
# 広大だ,せまい
# ロシア > 中国 > アメリカ >> インド >> イギリス > スペイン > タイ
ロシア,1,中国,2,アメリカ,3,インド,4,イギリス,5,スペイン,6,タイ,7
# 暖かい,寒い
# タイ = インド > スペイン > 中国 > アメリカ > イギリス >> ロシア
タイ,1,インド,1,スペイン,3,中国,4,アメリカ,5,イギリス,6,ロシア,7
# 好調だ,不調だ
# トヨタ > マツダ > ホンダ > ダイハツ = ヤマハ
トヨタ,1,マツダ,2,ホンダ,3,ダイハツ,4,ヤマハ,4
# 有名だ,無名だ
# トヨタ > マツダ > ホンダ >> ヤマハ > ダイハツ
トヨタ,1,マツダ,2,ホンダ,3,ヤマハ,4,ダイハツ,5
# 美味しい,不味い
# ビール > チューハイ >> ハイボール > 日本酒 > ウイスキー
ビール,1,チューハイ,2,ハイボール,3,日本酒,4,ウイスキー,5
# 高価だ,安価だ
# ウイスキー > 日本酒 > ビール > チューハイ = ハイボール
ウイスキー,1,日本酒,2,ビール,3,チューハイ,4,ハイボール,4
# 好きだ,嫌いだ
# ピザ > ラーメン > カレー > ハンバーガー > チャーハン
ピザ,1,ラーメン,2,カレー,3,ハンバーガー,4,チャーハン,5
# 脂っこい,脂っこくない
# ピザ > チャーハン > ハンバーガー > ラーメン >> カレー
ピザ,1,チャーハン,2,ハンバーガー,3,ラーメン,4,カレー,5
# 高価だ,安価だ
# 洗濯機 > エアコン > プリンタ > カーナビ > カメラ
洗濯機,1,エアコン,2,プリンタ,3,カーナビ,4,カメラ,5
# うるさい,静かだ
# 洗濯機 > プリンタ > カーナビ > エアコン > カメラ
洗濯機,1,プリンタ,2,カーナビ,3,エアコン,4,カメラ,5
# 好きだ,嫌いだ
# 雨 > 晴天 > 雷 > 雪 > 霜 > 霧 > 強風
雨,1,晴天,2,雷,3,雪,4,霜,5,霧,6,強風,7
# 珍しい,珍しくない
# 雪 > 霜 > 霧 > 雷 > 強風 > 雨 > 晴天
雪,1,霜,2,霧,3,雷,4,強風,5,雨,6,晴天,7
