# 大きい,小さい
# ペンギン > 白鳥 > ふくろう > にわとり > すずめ
ペンギン,1,白鳥,2,ふくろう,3,にわとり,4,すずめ,5
# 可愛い,可愛くない
# ふくろう > すずめ >> 白鳥 = ペンギン > にわとり
ふくろう,1,すずめ,2,白鳥,3,ペンギン,3,にわとり,5
# ヘルシーだ,ヘルシーでない
# ほうれん草 > もやし = きゅうり > 白菜 > ナス > 玉ねぎ > かぼちゃ
ほうれん草,1,もやし,2,きゅうり,2,白菜,4,ナス,5,玉ねぎ,6,かぼちゃ,7
# 美味しい,不味い
# 白菜 > ほうれん草 = もやし > ナス > きゅうり > かぼちゃ >> 玉ねぎ
白菜,1,ほうれん草,2,もやし,2,ナス,4,きゅうり,5,かぼちゃ,6,玉ねぎ,7
# 甘い,甘くない
# イチゴ > さくらんぼ > 柿 > ぶどう > メロン > みかん > りんご
イチゴ,1,さくらんぼ,2,柿,3,ぶどう,4,メロン,5,みかん,6,りんご,7
# 大きい,小さい
# メロン > りんご > 柿 > ぶどう > みかん > イチゴ > さくらんぼ
メロン,1,りんご,2,柿,3,ぶどう,4,みかん,5,イチゴ,6,さくらんぼ,7
# かしこい,ばかだ
# 犬 > クジラ > ネズミ > 熊 > ライオン
犬,1,クジラ,2,ネズミ,3,熊,4,ライオン,5
# 大きい,小さい
# クジラ > ライオン = 熊 > 犬 > ネズミ
クジラ,1,ライオン,2,熊,2,犬,4,ネズミ,5
# 上品だ,下品だ
# サファイア > ガーネット > オパール > ターコイズ > パール
サファイア,1,ガーネット,2,オパール,3,ターコイズ,4,パール,5
# 珍しい,珍しくない
# サファイア > オパール > ガーネット > ターコイズ > パール
サファイア,1,オパール,2,ガーネット,3,ターコイズ,4,パール,5
# 優雅だ,優雅でない
# ハープ > チェロ > ヴァイオリン > フルート > クラリネット
ハープ,1,チェロ,2,ヴァイオリン,3,フルート,4,クラリネット,5
# 心地よい,不快だ
# ハープ >> ヴァイオリン = チェロ > フルート > クラリネット
ハープ,1,ヴァイオリン,2,チェロ,2,フルート,4,クラリネット,5
# 綺麗だ,醜い
# サクラ > ひまわり > すずらん > たんぽぽ > 桔梗
サクラ,1,ひまわり,2,すずらん,3,たんぽぽ,4,桔梗,5
# 好きだ,嫌いだ
# サクラ > ひまわり > たんぽぽ > すずらん = 桔梗
サクラ,1,ひまわり,2,たんぽぽ,3,すずらん,4,桔梗,4
# 美味しい,不味い
# コメダ >> タリーズ > サンマルク = ドトール > ルノアール
コメダ,1,タリーズ,2,サンマルク,3,ドトール,3,ルノアール,5
# 高い,安い
# ドトール > サンマルク > タリーズ > ルノアール > コメダ
ドトール,1,サンマルク,2,タリーズ,3,ルノアール,4,コメダ,5
# 好調だ,不調だ
# ソニー >> パナソニック > 東芝 = 日立製作所 > キャノン > エプソン = 富士通
ソニー,1,パナソニック,2,東芝,3,日立製作所,3,キャノン,5,エプソン,6,富士通,6
# 新しい,古い
# パナソニック > ソニー > エプソン > 東芝 > キャノン > 富士通 = 日立製作所
パナソニック,1,ソニー,2,エプソン,3,東芝,4,キャノン,5,富士通,6,日立製作所,6
# 裕福だ,貧乏だ
# イギリス > スペイン > アメリカ >> ロシア = インド > 中国 > タイ
イギリス,1,スペイン,2,アメリカ,3,ロシア,4,インド,4,中国,6,タイ,7
# 広大だ,せまい
# アメリカ > インド > イギリス > スペイン > ロシア > タイ > 中国
アメリカ,1,インド,2,イギリス,3,スペイン,4,ロシア,5,タイ,6,中国,7
# 暖かい,寒い
# インド > イギリス > スペイン > ロシア > タイ > アメリカ > 中国
インド,1,イギリス,2,スペイン,3,ロシア,4,タイ,5,アメリカ,6,中国,7
# 好調だ,不調だ
# トヨタ > ホンダ > マツダ > ダイハツ > ヤマハ
トヨタ,1,ホンダ,2,マツダ,3,ダイハツ,4,ヤマハ,5
# 有名だ,無名だ
# トヨタ > ホンダ > マツダ > ダイハツ > ヤマハ
トヨタ,1,ホンダ,2,マツダ,3,ダイハツ,4,ヤマハ,5
# 美味しい,不味い
# チューハイ > ハイボール >> ウイスキー = 日本酒 > ビール
