# 大きい,小さい
# 白鳥 > ペンギン > にわとり > ふくろう > すずめ
白鳥,1,ペンギン,2,にわとり,3,ふくろう,4,すずめ,5
# 可愛い,可愛くない
# すずめ > ペンギン > ふくろう > にわとり > 白鳥
すずめ,1,ペンギン,2,ふくろう,3,にわとり,4,白鳥,5
# ヘルシーだ,ヘルシーでない
# もやし > きゅうり > 玉ねぎ > 白菜 > ナス > ほうれん草 > かぼちゃ
もやし,1,きゅうり,2,玉ねぎ,3,白菜,4,ナス,5,ほうれん草,6,かぼちゃ,7
# 美味しい,不味い
# ほうれん草 > 玉ねぎ > かぼちゃ > 白菜 > ナス > きゅうり > もやし
ほうれん草,1,玉ねぎ,2,かぼちゃ,3,白菜,4,ナス,5,きゅうり,6,もやし,7
# 甘い,甘くない
# イチゴ > メロン > ぶどう > さくらんぼ > りんご > みかん > 柿
イチゴ,1,メロン,2,ぶどう,3,さくらんぼ,4,りんご,5,みかん,6,柿,7
# 大きい,小さい
# メロン > りんご > 柿 > みかん > ぶどう > イチゴ > さくらんぼ
メロン,1,りんご,2,柿,3,みかん,4,ぶどう,5,イチゴ,6,さくらんぼ,7
# かしこい,ばかだ
# 熊 > 犬 > ライオン > クジラ > ネズミ
熊,1,犬,2,ライオン,3,クジラ,4,ネズミ,5
# 大きい,小さい
# クジラ > 熊 > ライオン > 犬 > ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# サファイア > パール > オパール > ガーネット > ターコイズ
サファイア,1,パール,2,オパール,3,ガーネット,4,ターコイズ,5
# 珍しい,珍しくない
# サファイア > オパール > パール > ターコイズ > ガーネット
サファイア,1,オパール,2,パール,3,ターコイズ,4,ガーネット,5
# 優雅だ,優雅でない
# ヴァイオリン > チェロ > フルート > ハープ > クラリネット
ヴァイオリン,1,チェロ,2,フルート,3,ハープ,4,クラリネット,5
# 心地よい,不快だ
# ヴァイオリン > ハープ > チェロ > フルート > クラリネット
ヴァイオリン,1,ハープ,2,チェロ,3,フルート,4,クラリネット,5
# 綺麗だ,醜い
# サクラ > ひまわり > たんぽぽ > 桔梗 > すずらん
サクラ,1,ひまわり,2,たんぽぽ,3,桔梗,4,すずらん,5
# 好きだ,嫌いだ
# サクラ > たんぽぽ > ひまわり > 桔梗 > すずらん
サクラ,1,たんぽぽ,2,ひまわり,3,桔梗,4,すずらん,5
# 美味しい,不味い
# タリーズ > サンマルク > コメダ > ドトール > ルノアール
タリーズ,1,サンマルク,2,コメダ,3,ドトール,4,ルノアール,5
# 高い,安い
# コメダ > ルノアール > タリーズ > ドトール > サンマルク
コメダ,1,ルノアール,2,タリーズ,3,ドトール,4,サンマルク,5
# 好調だ,不調だ
# パナソニック > ソニー > 富士通 > 日立製作所 > キャノン > エプソン > 東芝
パナソニック,1,ソニー,2,富士通,3,日立製作所,4,キャノン,5,エプソン,6,東芝,7
# 新しい,古い
# キャノン > 富士通 > エプソン > 東芝 > ソニー > 日立製作所 > パナソニック
キャノン,1,富士通,2,エプソン,3,東芝,4,ソニー,5,日立製作所,6,パナソニック,7
# 裕福だ,貧乏だ
