# 大きい,小さい
# ペンギン > 白鳥 > ふくろう > にわとり >> すずめ
ペンギン,1,白鳥,2,ふくろう,3,にわとり,4,すずめ,5
# 可愛い,可愛くない
# 白鳥 > ペンギン > すずめ > ふくろう > にわとり
白鳥,1,ペンギン,2,すずめ,3,ふくろう,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# きゅうり > もやし > 白菜 > ナス > かぼちゃ > ほうれん草 > 玉ねぎ
きゅうり,1,もやし,2,白菜,3,ナス,4,かぼちゃ,5,ほうれん草,6,玉ねぎ,7
# 美味しい,不味い
# ナス > ほうれん草 > 白菜 > かぼちゃ > もやし > 玉ねぎ > きゅうり
ナス,1,ほうれん草,2,白菜,3,かぼちゃ,4,もやし,5,玉ねぎ,6,きゅうり,7
# 甘い,甘くない
# メロン > 柿 > りんご > みかん > ぶどう > イチゴ > さくらんぼ
メロン,1,柿,2,りんご,3,みかん,4,ぶどう,5,イチゴ,6,さくらんぼ,7
# 大きい,小さい
# メロン > ぶどう > りんご > 柿 > みかん > イチゴ > さくらんぼ
メロン,1,ぶどう,2,りんご,3,柿,4,みかん,5,イチゴ,6,さくらんぼ,7
# かしこい,ばかだ
# クジラ > ライオン > 犬 = 熊 > ネズミ
クジラ,1,ライオン,2,犬,3,熊,3,ネズミ,5
# 大きい,小さい
# クジラ >> 熊 > ライオン > 犬 >> ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# ガーネット > サファイア > オパール > ターコイズ > パール
ガーネット,1,サファイア,2,オパール,3,ターコイズ,4,パール,5
# 珍しい,珍しくない
# ターコイズ > ガーネット > サファイア > オパール > パール
ターコイズ,1,ガーネット,2,サファイア,3,オパール,4,パール,5
# 優雅だ,優雅でない
# ヴァイオリン > ハープ > チェロ > クラリネット > フルート
ヴァイオリン,1,ハープ,2,チェロ,3,クラリネット,4,フルート,5
# 心地よい,不快だ
# ハープ > ヴァイオリン > クラリネット > フルート > チェロ
ハープ,1,ヴァイオリン,2,クラリネット,3,フルート,4,チェロ,5
# 綺麗だ,醜い
# サクラ > ひまわり > たんぽぽ > すずらん > 桔梗
サクラ,1,ひまわり,2,たんぽぽ,3,すずらん,4,桔梗,5
# 好きだ,嫌いだ
# サクラ >> ひまわり > 桔梗 > すずらん > たんぽぽ
サクラ,1,ひまわり,2,桔梗,3,すずらん,4,たんぽぽ,5
# 美味しい,不味い
# ドトール > タリーズ > サンマルク > ルノアール > コメダ
ドトール,1,タリーズ,2,サンマルク,3,ルノアール,4,コメダ,5
# 高い,安い
# ドトール > ルノアール > タリーズ > コメダ > サンマルク
ドトール,1,ルノアール,2,タリーズ,3,コメダ,4,サンマルク,5
# 好調だ,不調だ
# ソニー > キャノン > エプソン > 日立製作所 > 富士通 > パナソニック >> 東芝
ソニー,1,キャノン,2,エプソン,3,日立製作所,4,富士通,5,パナソニック,6,東芝,7
# 新しい,古い
# ソニー > パナソニック > キャノン > エプソン > 日立製作所 > 東芝 > 富士通
ソニー,1,パナソニック,2,キャノン,3,エプソン,4,日立製作所,5,東芝,6,富士通,7
# 裕福だ,貧乏だ
# アメリカ > 中国 > イギリス > タイ > スペイン > ロシア > インド
アメリカ,1,中国,2,イギリス,3,タイ,4,スペイン,5,ロシア,6,インド,7
# 広大だ,せまい
# 中国 > アメリカ > ロシア > インド > スペイン > イギリス > タイ
中国,1,アメリカ,2,ロシア,3,インド,4,スペイン,5,イギリス,6,タイ,7
# 暖かい,寒い
# タイ > スペイン > インド > アメリカ > 中国 > イギリス > ロシア
タイ,1,スペイン,2,インド,3,アメリカ,4,中国,5,イギリス,6,ロシア,7
# 好調だ,不調だ
# トヨタ > マツダ > ヤマハ > ダイハツ > ホンダ
トヨタ,1,マツダ,2,ヤマハ,3,ダイハツ,4,ホンダ,5
# 有名だ,無名だ
# トヨタ > ホンダ > ヤマハ > マツダ > ダイハツ
トヨタ,1,ホンダ,2,ヤマハ,3,マツダ,4,ダイハツ,5
# 美味しい,不味い
# ハイボール = チューハイ > ビール > 日本酒 > ウイスキー
ハイボール,1,チューハイ,1,ビール,3,日本酒,4,ウイスキー,5
# 高価だ,安価だ
# ウイスキー > 日本酒 > ビール > チューハイ > ハイボール
ウイスキー,1,日本酒,2,ビール,3,チューハイ,4,ハイボール,5
# 好きだ,嫌いだ
# ラーメン > チャーハン > ハンバーガー > ピザ > カレー
ラーメン,1,チャーハン,2,ハンバーガー,3,ピザ,4,カレー,5
# 脂っこい,脂っこくない
# ピザ > ハンバーガー > チャーハン > ラーメン > カレー
ピザ,1,ハンバーガー,2,チャーハン,3,ラーメン,4,カレー,5
# 高価だ,安価だ
# カメラ > プリンタ > エアコン > カーナビ > 洗濯機
カメラ,1,プリンタ,2,エアコン,3,カーナビ,4,洗濯機,5
# うるさい,静かだ
# 洗濯機 > エアコン > プリンタ > カーナビ > カメラ
洗濯機,1,エアコン,2,プリンタ,3,カーナビ,4,カメラ,5
# 好きだ,嫌いだ
# 晴天 > 霧 > 雪 > 雨 > 強風 > 霜 > 雷
晴天,1,霧,2,雪,3,雨,4,強風,5,霜,6,雷,7
# 珍しい,珍しくない
# 雪 > 雷 > 霧 > 霜 > 雨 = 強風 > 晴天
雪,1,雷,2,霧,3,霜,4,雨,5,強風,5,晴天,7
# 好きだ,嫌いだ
# 牛肉 > 豚肉 > 鶏肉 > ラム肉 >> 馬肉
牛肉,1,豚肉,2,鶏肉,3,ラム肉,4,馬肉,5
# 高価だ,安価だ
# 牛肉 > ラム肉 > 馬肉 > 豚肉 > 鶏肉
牛肉,1,ラム肉,2,馬肉,3,豚肉,4,鶏肉,5
# 有名だ,無名だ
