# 大きい,小さい
# 白鳥 > にわとり > ペンギン > ふくろう > すずめ
白鳥,1,にわとり,2,ペンギン,3,ふくろう,4,すずめ,5
# 可愛い,可愛くない
# ペンギン >> すずめ >> ふくろう > 白鳥 > にわとり
ペンギン,1,すずめ,2,ふくろう,3,白鳥,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# ほうれん草 > かぼちゃ > 白菜 > 玉ねぎ = ナス > きゅうり = もやし
ほうれん草,1,かぼちゃ,2,白菜,3,玉ねぎ,4,ナス,4,きゅうり,6,もやし,6
# 美味しい,不味い
# ほうれん草 > 白菜 > ナス > 玉ねぎ > もやし > きゅうり > かぼちゃ
ほうれん草,1,白菜,2,ナス,3,玉ねぎ,4,もやし,5,きゅうり,6,かぼちゃ,7
# 甘い,甘くない
# メロン > ぶどう > イチゴ > みかん = りんご > さくらんぼ > 柿
メロン,1,ぶどう,2,イチゴ,3,みかん,4,りんご,4,さくらんぼ,6,柿,7
# 大きい,小さい
# メロン > りんご > 柿 > みかん > ぶどう > イチゴ > さくらんぼ
メロン,1,りんご,2,柿,3,みかん,4,ぶどう,5,イチゴ,6,さくらんぼ,7
# かしこい,ばかだ
# クジラ > ライオン > 熊 >> 犬 > ネズミ
クジラ,1,ライオン,2,熊,3,犬,4,ネズミ,5
# 大きい,小さい
# クジラ >> 熊 > ライオン > 犬 >> ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# サファイア = オパール = ガーネット = ターコイズ >> パール
サファイア,1,オパール,1,ガーネット,1,ターコイズ,1,パール,5
# 珍しい,珍しくない
# サファイア > オパール > ガーネット > ターコイズ > パール
サファイア,1,オパール,2,ガーネット,3,ターコイズ,4,パール,5
# 優雅だ,優雅でない
# フルート = チェロ = ヴァイオリン = ハープ > クラリネット
フルート,1,チェロ,1,ヴァイオリン,1,ハープ,1,クラリネット,5
# 心地よい,不快だ
# フルート = チェロ = ヴァイオリン = ハープ > クラリネット
フルート,1,チェロ,1,ヴァイオリン,1,ハープ,1,クラリネット,5
# 綺麗だ,醜い
# サクラ = ひまわり = 桔梗 = すずらん = たんぽぽ
サクラ,1,ひまわり,1,桔梗,1,すずらん,1,たんぽぽ,1
# 好きだ,嫌いだ
# サクラ = ひまわり = すずらん > たんぽぽ > 桔梗
サクラ,1,ひまわり,1,すずらん,1,たんぽぽ,4,桔梗,5
# 美味しい,不味い
# ルノアール >> ドトール > タリーズ = コメダ > サンマルク
ルノアール,1,ドトール,2,タリーズ,3,コメダ,3,サンマルク,5
# 高い,安い
# ルノアール > タリーズ > ドトール > サンマルク > コメダ
ルノアール,1,タリーズ,2,ドトール,3,サンマルク,4,コメダ,5
# 好調だ,不調だ
# 日立製作所 > キャノン = パナソニック > ソニー > 富士通 = エプソン > 東芝
日立製作所,1,キャノン,2,パナソニック,2,ソニー,4,富士通,5,エプソン,5,東芝,7
# 新しい,古い
# エプソン > パナソニック > ソニー > 富士通 > 東芝 > キャノン > 日立製作所
エプソン,1,パナソニック,2,ソニー,3,富士通,4,東芝,5,キャノン,6,日立製作所,7
# 裕福だ,貧乏だ
# アメリカ > イギリス = ロシア = スペイン > 中国 > タイ = インド
アメリカ,1,イギリス,2,ロシア,2,スペイン,2,中国,5,タイ,6,インド,6
# 広大だ,せまい
# ロシア = 中国 = インド > アメリカ > タイ = スペイン > イギリス
ロシア,1,中国,1,インド,1,アメリカ,4,タイ,5,スペイン,5,イギリス,7
# 暖かい,寒い
# インド = タイ > スペイン > アメリカ > イギリス = 中国 > ロシア
インド,1,タイ,1,スペイン,3,アメリカ,4,イギリス,5,中国,5,ロシア,7
# 好調だ,不調だ
# トヨタ > ホンダ > ダイハツ > ヤマハ > マツダ
トヨタ,1,ホンダ,2,ダイハツ,3,ヤマハ,4,マツダ,5
# 有名だ,無名だ
# トヨタ = ホンダ = ヤマハ >> マツダ = ダイハツ
トヨタ,1,ホンダ,1,ヤマハ,1,マツダ,4,ダイハツ,4
# 美味しい,不味い
# 日本酒 = ウイスキー > ビール > ハイボール = チューハイ
日本酒,1,ウイスキー,1,ビール,3,ハイボール,4,チューハイ,4
# 高価だ,安価だ
# ウイスキー > 日本酒 > ビール > ハイボール > チューハイ
ウイスキー,1,日本酒,2,ビール,3,ハイボール,4,チューハイ,5
# 好きだ,嫌いだ
