# 大きい,小さい
# 白鳥 > ペンギン > ふくろう > にわとり > すずめ
白鳥,1,ペンギン,2,ふくろう,3,にわとり,4,すずめ,5
# 可愛い,可愛くない
# すずめ > ペンギン = ふくろう > 白鳥 >> にわとり
すずめ,1,ペンギン,2,ふくろう,2,白鳥,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# かぼちゃ > ナス > 白菜 > 玉ねぎ > ほうれん草 > もやし > きゅうり
かぼちゃ,1,ナス,2,白菜,3,玉ねぎ,4,ほうれん草,5,もやし,6,きゅうり,7
# 美味しい,不味い
# ほうれん草 > かぼちゃ > きゅうり > 玉ねぎ > 白菜 > ナス > もやし
ほうれん草,1,かぼちゃ,2,きゅうり,3,玉ねぎ,4,白菜,5,ナス,6,もやし,7
# 甘い,甘くない
# メロン > イチゴ > みかん > ぶどう > 柿 > さくらんぼ > りんご
メロン,1,イチゴ,2,みかん,3,ぶどう,4,柿,5,さくらんぼ,6,りんご,7
# 大きい,小さい
# メロン > りんご > 柿 > みかん > ぶどう > イチゴ > さくらんぼ
メロン,1,りんご,2,柿,3,みかん,4,ぶどう,5,イチゴ,6,さくらんぼ,7
# かしこい,ばかだ
# クジラ > 犬 > 熊 > ライオン > ネズミ
クジラ,1,犬,2,熊,3,ライオン,4,ネズミ,5
# 大きい,小さい
# クジラ > 熊 > ライオン > 犬 > ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# サファイア > オパール > ガーネット > ターコイズ > パール
サファイア,1,オパール,2,ガーネット,3,ターコイズ,4,パール,5
# 珍しい,珍しくない
# サファイア = ガーネット > ターコイズ = オパール = パール
サファイア,1,ガーネット,1,ターコイズ,3,オパール,3,パール,3
# 優雅だ,優雅でない
# フルート > ハープ > ヴァイオリン > クラリネット > チェロ
フルート,1,ハープ,2,ヴァイオリン,3,クラリネット,4,チェロ,5
# 心地よい,不快だ
# ハープ > チェロ = フルート = クラリネット = ヴァイオリン
ハープ,1,チェロ,2,フルート,2,クラリネット,2,ヴァイオリン,2
# 綺麗だ,醜い
# サクラ > ひまわり > たんぽぽ > すずらん > 桔梗
サクラ,1,ひまわり,2,たんぽぽ,3,すずらん,4,桔梗,5
# 好きだ,嫌いだ
# サクラ > すずらん > ひまわり > 桔梗 > たんぽぽ
サクラ,1,すずらん,2,ひまわり,3,桔梗,4,たんぽぽ,5
# 美味しい,不味い
# ドトール > タリーズ > コメダ > ルノアール > サンマルク
ドトール,1,タリーズ,2,コメダ,3,ルノアール,4,サンマルク,5
# 高い,安い
# コメダ > ドトール > サンマルク > ルノアール > タリーズ
コメダ,1,ドトール,2,サンマルク,3,ルノアール,4,タリーズ,5
# 好調だ,不調だ
# パナソニック = 日立製作所 = エプソン = キャノン > 富士通 = ソニー = 東芝
パナソニック,1,日立製作所,1,エプソン,1,キャノン,1,富士通,5,ソニー,5,東芝,5
# 新しい,古い
# ソニー > キャノン > エプソン > 日立製作所 > パナソニック > 富士通 > 東芝
ソニー,1,キャノン,2,エプソン,3,日立製作所,4,パナソニック,5,富士通,6,東芝,7
# 裕福だ,貧乏だ
# アメリカ > スペイン > イギリス > インド > ロシア > 中国 > タイ
アメリカ,1,スペイン,2,イギリス,3,インド,4,ロシア,5,中国,6,タイ,7
# 広大だ,せまい
# ロシア > 中国 > アメリカ > タイ > イギリス > スペイン > インド
ロシア,1,中国,2,アメリカ,3,タイ,4,イギリス,5,スペイン,6,インド,7
# 暖かい,寒い
# タイ > インド > スペイン > アメリカ > 中国 > イギリス > ロシア
タイ,1,インド,2,スペイン,3,アメリカ,4,中国,5,イギリス,6,ロシア,7
# 好調だ,不調だ
# トヨタ > ダイハツ > ヤマハ > ホンダ > マツダ
トヨタ,1,ダイハツ,2,ヤマハ,3,ホンダ,4,マツダ,5
# 有名だ,無名だ
# トヨタ > ホンダ > マツダ > ヤマハ > ダイハツ
トヨタ,1,ホンダ,2,マツダ,3,ヤマハ,4,ダイハツ,5
# 美味しい,不味い
# 日本酒 > ハイボール > チューハイ > ウイスキー > ビール
日本酒,1,ハイボール,2,チューハイ,3,ウイスキー,4,ビール,5
# 高価だ,安価だ
# 日本酒 > ビール > ウイスキー > チューハイ > ハイボール
日本酒,1,ビール,2,ウイスキー,3,チューハイ,4,ハイボール,5
# 好きだ,嫌いだ
# ハンバーガー = チャーハン = カレー = ピザ > ラーメン
ハンバーガー,1,チャーハン,1,カレー,1,ピザ,1,ラーメン,5
# 脂っこい,脂っこくない
# ピザ > ラーメン > ハンバーガー > チャーハン > カレー
ピザ,1,ラーメン,2,ハンバーガー,3,チャーハン,4,カレー,5
# 高価だ,安価だ
# 洗濯機 > カメラ > エアコン > カーナビ > プリンタ
洗濯機,1,カメラ,2,エアコン,3,カーナビ,4,プリンタ,5
# うるさい,静かだ
# 洗濯機 > エアコン > プリンタ > カメラ > カーナビ
洗濯機,1,エアコン,2,プリンタ,3,カメラ,4,カーナビ,5
# 好きだ,嫌いだ
# 晴天 > 強風 > 雨 > 雪 > 霜 > 雷 > 霧
晴天,1,強風,2,雨,3,雪,4,霜,5,雷,6,霧,7
# 珍しい,珍しくない
# 霜 > 霧 > 雷 > 雪 > 強風 > 雨 > 晴天
霜,1,霧,2,雷,3,雪,4,強風,5,雨,6,晴天,7
# 好きだ,嫌いだ
# 牛肉 > ラム肉 > 豚肉 > 鶏肉 > 馬肉
牛肉,1,ラム肉,2,豚肉,3,鶏肉,4,馬肉,5
# 高価だ,安価だ
# 馬肉 > 牛肉 > ラム肉 > 豚肉 >> 鶏肉
馬肉,1,牛肉,2,ラム肉,3,豚肉,4,鶏肉,5
# 有名だ,無名だ
# 銀閣寺 > 中尊寺 > 薬師寺 > 善光寺 > 増上寺 > 東寺
銀閣寺,1,中尊寺,2,薬師寺,3,善光寺,4,増上寺,5,東寺,6
# 立派だ,立派でない
# 善光寺 > 銀閣寺 > 中尊寺 > 薬師寺 = 東寺 = 増上寺
善光寺,1,銀閣寺,2,中尊寺,3,薬師寺,4,東寺,4,増上寺,4
# メジャーだ,マイナーだ
# 野球 > サッカー > テニス > バスケ > バレー > 卓球 > 相撲
野球,1,サッカー,2,テニス,3,バスケ,4,バレー,5,卓球,6,相撲,7
# 得意だ,苦手だ
# 野球 > テニス > バスケ > サッカー > 卓球 > 相撲 > バレー
野球,1,テニス,2,バスケ,3,サッカー,4,卓球,5,相撲,6,バレー,7
# 快適だ,不快だ
# 飛行機 > 新幹線 > タクシー > 電車 > バス
飛行機,1,新幹線,2,タクシー,3,電車,4,バス,5
# 速い,遅い
# 飛行機 >> 新幹線 > 電車 > タクシー > バス
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,5
# 安全だ,危険だ
# 新幹線 > 飛行機 > 電車 > バス > タクシー
新幹線,1,飛行機,2,電車,3,バス,4,タクシー,5
# 可愛い,可愛くない
# 北乃きい = 優香 > 釈由美子 = 吹石一恵 = 南明奈 = 友近 = 梨花
