# 大きい,小さい
# ペンギン > 白鳥 > にわとり > ふくろう >> すずめ
ペンギン,1,白鳥,2,にわとり,3,ふくろう,4,すずめ,5
# 可愛い,可愛くない
# ペンギン > すずめ > 白鳥 >> にわとり > ふくろう
ペンギン,1,すずめ,2,白鳥,3,にわとり,4,ふくろう,5
# ヘルシーだ,ヘルシーでない
# ほうれん草 > もやし > 玉ねぎ > 白菜 > きゅうり > ナス > かぼちゃ
ほうれん草,1,もやし,2,玉ねぎ,3,白菜,4,きゅうり,5,ナス,6,かぼちゃ,7
# 美味しい,不味い
# ナス > ほうれん草 > 白菜 > かぼちゃ > きゅうり > もやし > 玉ねぎ
ナス,1,ほうれん草,2,白菜,3,かぼちゃ,4,きゅうり,5,もやし,6,玉ねぎ,7
# 甘い,甘くない
# メロン > りんご > さくらんぼ > ぶどう > イチゴ > みかん > 柿
メロン,1,りんご,2,さくらんぼ,3,ぶどう,4,イチゴ,5,みかん,6,柿,7
# 大きい,小さい
# メロン > りんご > 柿 > ぶどう > みかん > イチゴ > さくらんぼ
メロン,1,りんご,2,柿,3,ぶどう,4,みかん,5,イチゴ,6,さくらんぼ,7
# かしこい,ばかだ
# 犬 > クジラ > 熊 > ライオン > ネズミ
犬,1,クジラ,2,熊,3,ライオン,4,ネズミ,5
# 大きい,小さい
# クジラ >> 熊 > ライオン > 犬 >> ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# オパール > ガーネット > ターコイズ > パール > サファイア
オパール,1,ガーネット,2,ターコイズ,3,パール,4,サファイア,5
# 珍しい,珍しくない
# サファイア > ターコイズ > ガーネット > オパール = パール
サファイア,1,ターコイズ,2,ガーネット,3,オパール,4,パール,4
# 優雅だ,優雅でない
# チェロ > ヴァイオリン > ハープ > フルート > クラリネット
チェロ,1,ヴァイオリン,2,ハープ,3,フルート,4,クラリネット,5
# 心地よい,不快だ
# ハープ > フルート > チェロ = ヴァイオリン > クラリネット
ハープ,1,フルート,2,チェロ,3,ヴァイオリン,3,クラリネット,5
# 綺麗だ,醜い
# サクラ > すずらん > 桔梗 > ひまわり > たんぽぽ
サクラ,1,すずらん,2,桔梗,3,ひまわり,4,たんぽぽ,5
# 好きだ,嫌いだ
# ひまわり > サクラ >> たんぽぽ > すずらん > 桔梗
ひまわり,1,サクラ,2,たんぽぽ,3,すずらん,4,桔梗,5
# 美味しい,不味い
# タリーズ > サンマルク > コメダ > ドトール >> ルノアール
タリーズ,1,サンマルク,2,コメダ,3,ドトール,4,ルノアール,5
# 高い,安い
# タリーズ > コメダ > サンマルク > ルノアール > ドトール
タリーズ,1,コメダ,2,サンマルク,3,ルノアール,4,ドトール,5
# 好調だ,不調だ
# ソニー > キャノン = エプソン > 富士通 > 日立製作所 > パナソニック = 東芝
ソニー,1,キャノン,2,エプソン,2,富士通,4,日立製作所,5,パナソニック,6,東芝,6
# 新しい,古い
# ソニー > パナソニック > エプソン > キャノン > 日立製作所 > 東芝 > 富士通
ソニー,1,パナソニック,2,エプソン,3,キャノン,4,日立製作所,5,東芝,6,富士通,7
# 裕福だ,貧乏だ
# アメリカ > スペイン = イギリス > 中国 > ロシア > タイ > インド
アメリカ,1,スペイン,2,イギリス,2,中国,4,ロシア,5,タイ,6,インド,7
# 広大だ,せまい
# 中国 > ロシア > インド > アメリカ > タイ > スペイン > イギリス
中国,1,ロシア,2,インド,3,アメリカ,4,タイ,5,スペイン,6,イギリス,7
# 暖かい,寒い
# タイ > インド > スペイン > アメリカ > イギリス > 中国 > ロシア
タイ,1,インド,2,スペイン,3,アメリカ,4,イギリス,5,中国,6,ロシア,7
# 好調だ,不調だ
# トヨタ >> ホンダ > ヤマハ > ダイハツ > マツダ
トヨタ,1,ホンダ,2,ヤマハ,3,ダイハツ,4,マツダ,5
# 有名だ,無名だ
# トヨタ > ホンダ > ヤマハ > ダイハツ > マツダ
トヨタ,1,ホンダ,2,ヤマハ,3,ダイハツ,4,マツダ,5
# 美味しい,不味い
# ビール > 日本酒 >> チューハイ > ハイボール > ウイスキー
ビール,1,日本酒,2,チューハイ,3,ハイボール,4,ウイスキー,5
# 高価だ,安価だ
# チューハイ > ハイボール > ビール > 日本酒 > ウイスキー
チューハイ,1,ハイボール,2,ビール,3,日本酒,4,ウイスキー,5
# 好きだ,嫌いだ
# ハンバーガー > チャーハン > ラーメン > ピザ > カレー
ハンバーガー,1,チャーハン,2,ラーメン,3,ピザ,4,カレー,5
# 脂っこい,脂っこくない
# ラーメン > チャーハン >> ピザ > ハンバーガー > カレー
ラーメン,1,チャーハン,2,ピザ,3,ハンバーガー,4,カレー,5
# 高価だ,安価だ
# エアコン > 洗濯機 > カメラ > カーナビ > プリンタ
エアコン,1,洗濯機,2,カメラ,3,カーナビ,4,プリンタ,5
# うるさい,静かだ
# 洗濯機 > プリンタ > エアコン > カーナビ > カメラ
洗濯機,1,プリンタ,2,エアコン,3,カーナビ,4,カメラ,5
# 好きだ,嫌いだ
# 晴天 > 雨 > 霧 > 霜 > 雷 > 強風 > 雪
晴天,1,雨,2,霧,3,霜,4,雷,5,強風,6,雪,7
# 珍しい,珍しくない
# 霧 > 霜 > 雪 > 雷 > 強風 > 雨 > 晴天
霧,1,霜,2,雪,3,雷,4,強風,5,雨,6,晴天,7
# 好きだ,嫌いだ
# 牛肉 > 鶏肉 > 豚肉 > ラム肉 > 馬肉
牛肉,1,鶏肉,2,豚肉,3,ラム肉,4,馬肉,5
# 高価だ,安価だ
# 馬肉 > 牛肉 > 豚肉 > 鶏肉 > ラム肉
馬肉,1,牛肉,2,豚肉,3,鶏肉,4,ラム肉,5
# 有名だ,無名だ
# 善光寺 > 銀閣寺 > 中尊寺 > 増上寺 > 東寺 > 薬師寺
善光寺,1,銀閣寺,2,中尊寺,3,増上寺,4,東寺,5,薬師寺,6
# 立派だ,立派でない
# 増上寺 > 善光寺 > 銀閣寺 > 薬師寺 > 中尊寺 > 東寺
増上寺,1,善光寺,2,銀閣寺,3,薬師寺,4,中尊寺,5,東寺,6
# メジャーだ,マイナーだ
# 野球 = サッカー > 相撲 > テニス > バレー > バスケ > 卓球
野球,1,サッカー,1,相撲,3,テニス,4,バレー,5,バスケ,6,卓球,7
# 得意だ,苦手だ
# 野球 >> テニス > サッカー > 卓球 > バスケ > 相撲 > バレー
野球,1,テニス,2,サッカー,3,卓球,4,バスケ,5,相撲,6,バレー,7
# 快適だ,不快だ
# タクシー > 新幹線 > 電車 > バス > 飛行機
タクシー,1,新幹線,2,電車,3,バス,4,飛行機,5
# 速い,遅い
# 飛行機 >> 新幹線 > 電車 > タクシー > バス
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,5
# 安全だ,危険だ
# バス > タクシー > 新幹線 > 電車 > 飛行機
バス,1,タクシー,2,新幹線,3,電車,4,飛行機,5
# 可愛い,可愛くない
# 北乃きい >> 優香 > 南明奈 > 釈由美子 = 吹石一恵 > 梨花 > 友近
北乃きい,1,優香,2,南明奈,3,釈由美子,4,吹石一恵,4,梨花,6,友近,7
# 面白い,つまらない
# 友近 >> 梨花 > 釈由美子 > 吹石一恵 > 北乃きい > 優香 > 南明奈
友近,1,梨花,2,釈由美子,3,吹石一恵,4,北乃きい,5,優香,6,南明奈,7
# 甘い,甘くない
# チョコレートケーキ > ショートケーキ > シフォンケーキ > ロールケーキ > チーズケーキ
チョコレートケーキ,1,ショートケーキ,2,シフォンケーキ,3,ロールケーキ,4,チーズケーキ,5
# 好きだ,嫌いだ
# チーズケーキ > チョコレートケーキ > ショートケーキ > ロールケーキ > シフォンケーキ
チーズケーキ,1,チョコレートケーキ,2,ショートケーキ,3,ロールケーキ,4,シフォンケーキ,5
# 美味しい,不味い
# カステラ > マフィン > マカロン > ベーグル > スコーン
カステラ,1,マフィン,2,マカロン,3,ベーグル,4,スコーン,5
# おしゃれだ,おしゃれでない
# マフィン > マカロン > ベーグル > スコーン > カステラ
マフィン,1,マカロン,2,ベーグル,3,スコーン,4,カステラ,5
# 美味しい,不味い
# ココア > 紅茶 > オレンジジュース > 緑茶 > 抹茶
ココア,1,紅茶,2,オレンジジュース,3,緑茶,4,抹茶,5
# 好きだ,嫌いだ
# 串かつ > カツカレー > 牛タン > お好み焼き > 讃岐うどん
串かつ,1,カツカレー,2,牛タン,3,お好み焼き,4,讃岐うどん,5
# 高価だ,安価だ
# 牛タン > カツカレー > 串かつ > お好み焼き > 讃岐うどん
牛タン,1,カツカレー,2,串かつ,3,お好み焼き,4,讃岐うどん,5
# 暖かい,寒い
# 沖縄 >> 福岡 > 大阪 = 神戸 = 名古屋 > 東京 >> 札幌
沖縄,1,福岡,2,大阪,3,神戸,3,名古屋,3,東京,6,札幌,7
# 遠い,近い
# 沖縄 = 札幌 > 福岡 > 大阪 = 神戸 > 名古屋 > 東京
沖縄,1,札幌,1,福岡,3,大阪,4,神戸,4,名古屋,6,東京,7
# ヘルシーだ,ヘルシーでない
# タイ料理 > インド料理 > 韓国料理 > スペイン料理 > 中華料理
タイ料理,1,インド料理,2,韓国料理,3,スペイン料理,4,中華料理,5
# 辛い,辛くない
# インド料理 > タイ料理 > 中華料理 > 韓国料理 > スペイン料理
インド料理,1,タイ料理,2,中華料理,3,韓国料理,4,スペイン料理,5
# 優秀だ,優秀でない
# 宇宙飛行士 > 科学者 > 医師 > 作曲者 > 警察官
宇宙飛行士,1,科学者,2,医師,3,作曲者,4,警察官,5
# 過酷だ,過酷でない
# 宇宙飛行士 >> 警察官 > 医師 = 作曲者 = 科学者
宇宙飛行士,1,警察官,2,医師,3,作曲者,3,科学者,3
