# 大きい,小さい
# ペンギン > ふくろう > 白鳥 > にわとり >> すずめ
ペンギン,1,ふくろう,2,白鳥,3,にわとり,4,すずめ,5
# 可愛い,可愛くない
# ペンギン > ふくろう > すずめ > 白鳥 >> にわとり
ペンギン,1,ふくろう,2,すずめ,3,白鳥,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# ほうれん草 > かぼちゃ > きゅうり > 白菜 > 玉ねぎ >> ナス > もやし
ほうれん草,1,かぼちゃ,2,きゅうり,3,白菜,4,玉ねぎ,5,ナス,6,もやし,7
# 美味しい,不味い
# 白菜 > ナス > ほうれん草 > きゅうり > 玉ねぎ > もやし >> かぼちゃ
白菜,1,ナス,2,ほうれん草,3,きゅうり,4,玉ねぎ,5,もやし,6,かぼちゃ,7
# 甘い,甘くない
# メロン > ぶどう > 柿 > みかん > りんご > さくらんぼ > イチゴ
メロン,1,ぶどう,2,柿,3,みかん,4,りんご,5,さくらんぼ,6,イチゴ,7
# 大きい,小さい
# メロン > ぶどう > りんご > 柿 > みかん > イチゴ > さくらんぼ
メロン,1,ぶどう,2,りんご,3,柿,4,みかん,5,イチゴ,6,さくらんぼ,7
# かしこい,ばかだ
# クジラ >> 熊 > 犬 > ライオン >> ネズミ
クジラ,1,熊,2,犬,3,ライオン,4,ネズミ,5
# 大きい,小さい
# クジラ >> 熊 > ライオン >> 犬 >> ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# サファイア > ガーネット > ターコイズ > オパール > パール
サファイア,1,ガーネット,2,ターコイズ,3,オパール,4,パール,5
# 珍しい,珍しくない
# サファイア > ガーネット > オパール > ターコイズ >> パール
サファイア,1,ガーネット,2,オパール,3,ターコイズ,4,パール,5
# 優雅だ,優雅でない
# フルート > ヴァイオリン > ハープ > チェロ > クラリネット
フルート,1,ヴァイオリン,2,ハープ,3,チェロ,4,クラリネット,5
# 心地よい,不快だ
# ハープ > チェロ > ヴァイオリン > フルート >> クラリネット
ハープ,1,チェロ,2,ヴァイオリン,3,フルート,4,クラリネット,5
# 綺麗だ,醜い
# サクラ > 桔梗 > すずらん > たんぽぽ > ひまわり
サクラ,1,桔梗,2,すずらん,3,たんぽぽ,4,ひまわり,5
# 好きだ,嫌いだ
# サクラ > ひまわり > 桔梗 > たんぽぽ > すずらん
サクラ,1,ひまわり,2,桔梗,3,たんぽぽ,4,すずらん,5
# 美味しい,不味い
# タリーズ > ルノアール > コメダ > サンマルク >> ドトール
タリーズ,1,ルノアール,2,コメダ,3,サンマルク,4,ドトール,5
# 高い,安い
# ルノアール > タリーズ > コメダ >> サンマルク > ドトール
ルノアール,1,タリーズ,2,コメダ,3,サンマルク,4,ドトール,5
# 好調だ,不調だ
# 富士通 > 日立製作所 > キャノン > エプソン > ソニー >> パナソニック > 東芝
富士通,1,日立製作所,2,キャノン,3,エプソン,4,ソニー,5,パナソニック,6,東芝,7
# 新しい,古い
# キャノン > エプソン > パナソニック > ソニー >> 富士通 > 日立製作所 > 東芝
キャノン,1,エプソン,2,パナソニック,3,ソニー,4,富士通,5,日立製作所,6,東芝,7
# 裕福だ,貧乏だ
# アメリカ > 中国 > イギリス > ロシア > スペイン >> タイ > インド
アメリカ,1,中国,2,イギリス,3,ロシア,4,スペイン,5,タイ,6,インド,7
# 広大だ,せまい
# ロシア > 中国 > アメリカ > インド > スペイン > イギリス > タイ
ロシア,1,中国,2,アメリカ,3,インド,4,スペイン,5,イギリス,6,タイ,7
# 暖かい,寒い
# インド > タイ >> スペイン > イギリス > 中国 > アメリカ >> ロシア
インド,1,タイ,2,スペイン,3,イギリス,4,中国,5,アメリカ,6,ロシア,7
# 好調だ,不調だ
# トヨタ > ホンダ >> マツダ > ダイハツ > ヤマハ
トヨタ,1,ホンダ,2,マツダ,3,ダイハツ,4,ヤマハ,5
# 有名だ,無名だ
# トヨタ > ホンダ >> マツダ > ヤマハ > ダイハツ
トヨタ,1,ホンダ,2,マツダ,3,ヤマハ,4,ダイハツ,5
# 美味しい,不味い
# ビール > チューハイ > 日本酒 > ハイボール > ウイスキー
ビール,1,チューハイ,2,日本酒,3,ハイボール,4,ウイスキー,5
# 高価だ,安価だ
# ビール > 日本酒 > ウイスキー > ハイボール > チューハイ
ビール,1,日本酒,2,ウイスキー,3,ハイボール,4,チューハイ,5
# 好きだ,嫌いだ
# ピザ > ラーメン > チャーハン > カレー > ハンバーガー
ピザ,1,ラーメン,2,チャーハン,3,カレー,4,ハンバーガー,5
# 脂っこい,脂っこくない
# ラーメン > ピザ > ハンバーガー > チャーハン > カレー
ラーメン,1,ピザ,2,ハンバーガー,3,チャーハン,4,カレー,5
# 高価だ,安価だ
# 洗濯機 > エアコン > カーナビ > カメラ > プリンタ
洗濯機,1,エアコン,2,カーナビ,3,カメラ,4,プリンタ,5
# うるさい,静かだ
# 洗濯機 > エアコン > カーナビ > プリンタ >> カメラ
洗濯機,1,エアコン,2,カーナビ,3,プリンタ,4,カメラ,5
# 好きだ,嫌いだ
# 晴天 >> 強風 > 霧 > 霜 >> 雨 > 雷 > 雪
晴天,1,強風,2,霧,3,霜,4,雨,5,雷,6,雪,7
# 珍しい,珍しくない
# 雪 > 霜 > 雷 > 強風 > 霧 >> 雨 > 晴天
雪,1,霜,2,雷,3,強風,4,霧,5,雨,6,晴天,7
# 好きだ,嫌いだ
# 牛肉 > 鶏肉 > 豚肉 > ラム肉 >> 馬肉
牛肉,1,鶏肉,2,豚肉,3,ラム肉,4,馬肉,5
# 高価だ,安価だ
# 牛肉 > ラム肉 > 馬肉 > 豚肉 > 鶏肉
牛肉,1,ラム肉,2,馬肉,3,豚肉,4,鶏肉,5
# 有名だ,無名だ
# 銀閣寺 > 東寺 > 善光寺 > 中尊寺 > 薬師寺 >> 増上寺
銀閣寺,1,東寺,2,善光寺,3,中尊寺,4,薬師寺,5,増上寺,6
# 立派だ,立派でない
# 銀閣寺 > 東寺 > 薬師寺 > 善光寺 > 増上寺 > 中尊寺
銀閣寺,1,東寺,2,薬師寺,3,善光寺,4,増上寺,5,中尊寺,6
# メジャーだ,マイナーだ
