# 大きい,小さい
# 白鳥 > ペンギン > にわとり > ふくろう > すずめ
白鳥,1,ペンギン,2,にわとり,3,ふくろう,4,すずめ,5
# 可愛い,可愛くない
# 白鳥 = ペンギン >> ふくろう = すずめ > にわとり
白鳥,1,ペンギン,1,ふくろう,3,すずめ,3,にわとり,5
# ヘルシーだ,ヘルシーでない
# ほうれん草 = きゅうり = もやし = 玉ねぎ = 白菜 = ナス = かぼちゃ
ほうれん草,1,きゅうり,1,もやし,1,玉ねぎ,1,白菜,1,ナス,1,かぼちゃ,1
# 美味しい,不味い
# 玉ねぎ = ナス = かぼちゃ > ほうれん草 > 白菜 > きゅうり = もやし
玉ねぎ,1,ナス,1,かぼちゃ,1,ほうれん草,4,白菜,5,きゅうり,6,もやし,6
# 甘い,甘くない
# メロン > さくらんぼ > イチゴ > 柿 = ぶどう > りんご > みかん
メロン,1,さくらんぼ,2,イチゴ,3,柿,4,ぶどう,4,りんご,6,みかん,7
# 大きい,小さい
# メロン >> りんご > 柿 > みかん > ぶどう >> イチゴ > さくらんぼ
メロン,1,りんご,2,柿,3,みかん,4,ぶどう,5,イチゴ,6,さくらんぼ,7
# かしこい,ばかだ
# 犬 = 熊 > クジラ = ライオン > ネズミ
犬,1,熊,1,クジラ,3,ライオン,3,ネズミ,5
# 大きい,小さい
# クジラ > 熊 > ライオン > 犬 > ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# パール > サファイア > オパール = ガーネット = ターコイズ
パール,1,サファイア,2,オパール,3,ガーネット,3,ターコイズ,3
# 珍しい,珍しくない
# サファイア > パール > オパール = ガーネット = ターコイズ
サファイア,1,パール,2,オパール,3,ガーネット,3,ターコイズ,3
# 優雅だ,優雅でない
# ハープ > フルート > チェロ = ヴァイオリン > クラリネット
ハープ,1,フルート,2,チェロ,3,ヴァイオリン,3,クラリネット,5
# 心地よい,不快だ
# フルート = ハープ > クラリネット = ヴァイオリン = チェロ
フルート,1,ハープ,1,クラリネット,3,ヴァイオリン,3,チェロ,3
# 綺麗だ,醜い
# サクラ > 桔梗 > ひまわり > すずらん = たんぽぽ
サクラ,1,桔梗,2,ひまわり,3,すずらん,4,たんぽぽ,4
# 好きだ,嫌いだ
# サクラ > ひまわり > 桔梗 > すずらん = たんぽぽ
サクラ,1,ひまわり,2,桔梗,3,すずらん,4,たんぽぽ,4
# 美味しい,不味い
# ルノアール > ドトール > サンマルク > タリーズ > コメダ
ルノアール,1,ドトール,2,サンマルク,3,タリーズ,4,コメダ,5
# 高い,安い
# ルノアール > サンマルク > ドトール = タリーズ > コメダ
ルノアール,1,サンマルク,2,ドトール,3,タリーズ,3,コメダ,5
# 好調だ,不調だ
# ソニー = パナソニック > キャノン = エプソン > 富士通 = 日立製作所 >> 東芝
ソニー,1,パナソニック,1,キャノン,3,エプソン,3,富士通,5,日立製作所,5,東芝,7
# 新しい,古い
# エプソン > キャノン > ソニー = パナソニック > 富士通 > 日立製作所 > 東芝
エプソン,1,キャノン,2,ソニー,3,パナソニック,3,富士通,5,日立製作所,6,東芝,7
# 裕福だ,貧乏だ
# インド >> 中国 > イギリス = アメリカ > ロシア = スペイン > タイ
インド,1,中国,2,イギリス,3,アメリカ,3,ロシア,5,スペイン,5,タイ,7
# 広大だ,せまい
# 中国 > ロシア > アメリカ > インド > スペイン > イギリス >> タイ
中国,1,ロシア,2,アメリカ,3,インド,4,スペイン,5,イギリス,6,タイ,7
# 暖かい,寒い
# タイ = インド > アメリカ = 中国 > スペイン > イギリス > ロシア
タイ,1,インド,1,アメリカ,3,中国,3,スペイン,5,イギリス,6,ロシア,7
# 好調だ,不調だ
# トヨタ = ホンダ = ヤマハ > マツダ = ダイハツ
トヨタ,1,ホンダ,1,ヤマハ,1,マツダ,4,ダイハツ,4
# 有名だ,無名だ
# トヨタ = ホンダ > ヤマハ > マツダ = ダイハツ
トヨタ,1,ホンダ,1,ヤマハ,3,マツダ,4,ダイハツ,4
# 美味しい,不味い
# ビール > チューハイ > ハイボール = 日本酒 >> ウイスキー
ビール,1,チューハイ,2,ハイボール,3,日本酒,3,ウイスキー,5
# 高価だ,安価だ
# ウイスキー = 日本酒 > ビール > ハイボール > チューハイ
ウイスキー,1,日本酒,1,ビール,3,ハイボール,4,チューハイ,5
# 好きだ,嫌いだ
# ハンバーガー = ラーメン > カレー = ピザ > チャーハン
ハンバーガー,1,ラーメン,1,カレー,3,ピザ,3,チャーハン,5
# 脂っこい,脂っこくない
# ラーメン = チャーハン > カレー > ピザ = ハンバーガー
ラーメン,1,チャーハン,1,カレー,3,ピザ,4,ハンバーガー,4
# 高価だ,安価だ
# エアコン > 洗濯機 > カーナビ > カメラ > プリンタ
エアコン,1,洗濯機,2,カーナビ,3,カメラ,4,プリンタ,5
# うるさい,静かだ
# プリンタ > 洗濯機 > カーナビ > エアコン > カメラ
プリンタ,1,洗濯機,2,カーナビ,3,エアコン,4,カメラ,5
# 好きだ,嫌いだ
# 晴天 > 雨 = 雪 > 強風 = 霜 = 霧 > 雷
晴天,1,雨,2,雪,2,強風,4,霜,4,霧,4,雷,7
# 珍しい,珍しくない
# 霧 = 霜 > 雷 = 雪 > 雨 > 強風 > 晴天
霧,1,霜,1,雷,3,雪,3,雨,5,強風,6,晴天,7
# 好きだ,嫌いだ
# 豚肉 = 鶏肉 > 牛肉 >> ラム肉 > 馬肉
豚肉,1,鶏肉,1,牛肉,3,ラム肉,4,馬肉,5
# 高価だ,安価だ
# 牛肉 = 馬肉 > ラム肉 >> 豚肉 = 鶏肉
牛肉,1,馬肉,1,ラム肉,3,豚肉,4,鶏肉,4
# 有名だ,無名だ
# 銀閣寺 = 東寺 > 薬師寺 > 善光寺 = 中尊寺 = 増上寺
銀閣寺,1,東寺,1,薬師寺,3,善光寺,4,中尊寺,4,増上寺,4
# 立派だ,立派でない
# 中尊寺 > 薬師寺 > 東寺 > 銀閣寺 > 善光寺 = 増上寺
中尊寺,1,薬師寺,2,東寺,3,銀閣寺,4,善光寺,5,増上寺,5
# メジャーだ,マイナーだ
# 野球 = 相撲 > テニス = バレー = サッカー > 卓球 = バスケ
野球,1,相撲,1,テニス,3,バレー,3,サッカー,3,卓球,6,バスケ,6
# 得意だ,苦手だ
# 卓球 = テニス > バレー = バスケ >> サッカー = 野球 >> 相撲
卓球,1,テニス,1,バレー,3,バスケ,3,サッカー,5,野球,5,相撲,7
# 快適だ,不快だ
# 飛行機 = 新幹線 > 電車 > タクシー > バス
飛行機,1,新幹線,1,電車,3,タクシー,4,バス,5
# 速い,遅い
# 飛行機 = 新幹線 > タクシー > 電車 > バス
飛行機,1,新幹線,1,タクシー,3,電車,4,バス,5
# 安全だ,危険だ
# 飛行機 > 新幹線 = 電車 >> タクシー > バス
飛行機,1,新幹線,2,電車,2,タクシー,4,バス,5
# 可愛い,可愛くない
# 北乃きい > 吹石一恵 >> 釈由美子 = 優香 = 南明奈 > 友近 = 梨花
北乃きい,1,吹石一恵,2,釈由美子,3,優香,3,南明奈,3,友近,6,梨花,6
# 面白い,つまらない
# 友近 > 北乃きい > 梨花 > 釈由美子 > 優香 = 南明奈 >> 吹石一恵
