# 大きい,小さい
# 白鳥 > ペンギン > ふくろう > すずめ > にわとり
白鳥,1,ペンギン,2,ふくろう,3,すずめ,4,にわとり,5
# 可愛い,可愛くない
# ペンギン > ふくろう > 白鳥 > すずめ > にわとり
ペンギン,1,ふくろう,2,白鳥,3,すずめ,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# もやし > 玉ねぎ > 白菜 > ほうれん草 > きゅうり > ナス > かぼちゃ
もやし,1,玉ねぎ,2,白菜,3,ほうれん草,4,きゅうり,5,ナス,6,かぼちゃ,7
# 美味しい,不味い
# かぼちゃ > ほうれん草 > 白菜 > ナス > もやし > 玉ねぎ > きゅうり
かぼちゃ,1,ほうれん草,2,白菜,3,ナス,4,もやし,5,玉ねぎ,6,きゅうり,7
# 甘い,甘くない
# ぶどう > 柿 > メロン > さくらんぼ > イチゴ > りんご > みかん
ぶどう,1,柿,2,メロン,3,さくらんぼ,4,イチゴ,5,りんご,6,みかん,7
# 大きい,小さい
# メロン > りんご > 柿 > みかん > イチゴ > ぶどう > さくらんぼ
メロン,1,りんご,2,柿,3,みかん,4,イチゴ,5,ぶどう,6,さくらんぼ,7
# かしこい,ばかだ
# クジラ > 犬 > 熊 > ネズミ > ライオン
クジラ,1,犬,2,熊,3,ネズミ,4,ライオン,5
# 大きい,小さい
# クジラ > ライオン > 熊 > 犬 > ネズミ
クジラ,1,ライオン,2,熊,3,犬,4,ネズミ,5
# 上品だ,下品だ
# オパール > パール > サファイア > ガーネット > ターコイズ
オパール,1,パール,2,サファイア,3,ガーネット,4,ターコイズ,5
# 珍しい,珍しくない
# ガーネット > ターコイズ > サファイア > オパール > パール
ガーネット,1,ターコイズ,2,サファイア,3,オパール,4,パール,5
# 優雅だ,優雅でない
# ハープ > フルート > ヴァイオリン > チェロ > クラリネット
ハープ,1,フルート,2,ヴァイオリン,3,チェロ,4,クラリネット,5
# 心地よい,不快だ
# ハープ > フルート > チェロ > クラリネット > ヴァイオリン
ハープ,1,フルート,2,チェロ,3,クラリネット,4,ヴァイオリン,5
# 綺麗だ,醜い
# サクラ > たんぽぽ > ひまわり > すずらん > 桔梗
サクラ,1,たんぽぽ,2,ひまわり,3,すずらん,4,桔梗,5
# 好きだ,嫌いだ
# サクラ > ひまわり > すずらん > たんぽぽ > 桔梗
サクラ,1,ひまわり,2,すずらん,3,たんぽぽ,4,桔梗,5
# 美味しい,不味い
# サンマルク > タリーズ > ルノアール > ドトール > コメダ
サンマルク,1,タリーズ,2,ルノアール,3,ドトール,4,コメダ,5
# 高い,安い
# ルノアール > コメダ > タリーズ > ドトール > サンマルク
ルノアール,1,コメダ,2,タリーズ,3,ドトール,4,サンマルク,5
# 好調だ,不調だ
# ソニー > パナソニック > キャノン > エプソン > 富士通 > 東芝 > 日立製作所
ソニー,1,パナソニック,2,キャノン,3,エプソン,4,富士通,5,東芝,6,日立製作所,7
# 新しい,古い
# キャノン > エプソン > パナソニック > ソニー > 富士通 > 東芝 > 日立製作所
キャノン,1,エプソン,2,パナソニック,3,ソニー,4,富士通,5,東芝,6,日立製作所,7
# 裕福だ,貧乏だ
# アメリカ > イギリス > スペイン > 中国 > ロシア > タイ > インド
アメリカ,1,イギリス,2,スペイン,3,中国,4,ロシア,5,タイ,6,インド,7
# 広大だ,せまい
# ロシア > 中国 > アメリカ > インド > タイ > スペイン > イギリス
ロシア,1,中国,2,アメリカ,3,インド,4,タイ,5,スペイン,6,イギリス,7
# 暖かい,寒い
# インド > タイ > スペイン > アメリカ > イギリス > 中国 > ロシア
インド,1,タイ,2,スペイン,3,アメリカ,4,イギリス,5,中国,6,ロシア,7
# 好調だ,不調だ
# トヨタ > ホンダ > ヤマハ > ダイハツ > マツダ
トヨタ,1,ホンダ,2,ヤマハ,3,ダイハツ,4,マツダ,5
# 有名だ,無名だ
# トヨタ > ホンダ > ダイハツ > マツダ > ヤマハ
トヨタ,1,ホンダ,2,ダイハツ,3,マツダ,4,ヤマハ,5
# 美味しい,不味い
# ビール > チューハイ > ウイスキー > ハイボール > 日本酒
ビール,1,チューハイ,2,ウイスキー,3,ハイボール,4,日本酒,5
# 高価だ,安価だ
# 日本酒 > ウイスキー > ビール > チューハイ > ハイボール
日本酒,1,ウイスキー,2,ビール,3,チューハイ,4,ハイボール,5
# 好きだ,嫌いだ
# ラーメン > ハンバーガー > ピザ > チャーハン > カレー
ラーメン,1,ハンバーガー,2,ピザ,3,チャーハン,4,カレー,5
# 脂っこい,脂っこくない
# ラーメン > ピザ > チャーハン > ハンバーガー > カレー
ラーメン,1,ピザ,2,チャーハン,3,ハンバーガー,4,カレー,5
# 高価だ,安価だ
# エアコン > カーナビ > カメラ > 洗濯機 > プリンタ
エアコン,1,カーナビ,2,カメラ,3,洗濯機,4,プリンタ,5
# うるさい,静かだ
# カメラ > カーナビ > プリンタ > エアコン > 洗濯機
カメラ,1,カーナビ,2,プリンタ,3,エアコン,4,洗濯機,5
# 好きだ,嫌いだ
# 晴天 > 雪 > 雨 > 霜 > 霧 > 雷 > 強風
晴天,1,雪,2,雨,3,霜,4,霧,5,雷,6,強風,7
# 珍しい,珍しくない
# 霜 > 雪 > 霧 > 雷 > 強風 > 雨 > 晴天
霜,1,雪,2,霧,3,雷,4,強風,5,雨,6,晴天,7
# 好きだ,嫌いだ
# 牛肉 > 豚肉 > 鶏肉 > 馬肉 > ラム肉
牛肉,1,豚肉,2,鶏肉,3,馬肉,4,ラム肉,5
# 高価だ,安価だ
# 牛肉 > 馬肉 > ラム肉 > 豚肉 > 鶏肉
牛肉,1,馬肉,2,ラム肉,3,豚肉,4,鶏肉,5
# 有名だ,無名だ
# 善光寺 > 東寺 > 銀閣寺 > 薬師寺 > 中尊寺 > 増上寺
善光寺,1,東寺,2,銀閣寺,3,薬師寺,4,中尊寺,5,増上寺,6
# 立派だ,立派でない
# 東寺 > 善光寺 > 中尊寺 > 銀閣寺 > 薬師寺 > 増上寺
東寺,1,善光寺,2,中尊寺,3,銀閣寺,4,薬師寺,5,増上寺,6
# メジャーだ,マイナーだ
# 野球 > サッカー > 相撲 > テニス > バレー > 卓球 > バスケ
野球,1,サッカー,2,相撲,3,テニス,4,バレー,5,卓球,6,バスケ,7
# 得意だ,苦手だ
# テニス > バレー > 卓球 > 野球 > サッカー > バスケ > 相撲
