# 大きい,小さい
# 白鳥 > ペンギン > にわとり > ふくろう >> すずめ
白鳥,1,ペンギン,2,にわとり,3,ふくろう,4,すずめ,5
# 可愛い,可愛くない
# ふくろう = すずめ = ペンギン > にわとり > 白鳥
ふくろう,1,すずめ,1,ペンギン,1,にわとり,4,白鳥,5
# ヘルシーだ,ヘルシーでない
# ほうれん草 = もやし = きゅうり > 玉ねぎ = 白菜 > ナス > かぼちゃ
ほうれん草,1,もやし,1,きゅうり,1,玉ねぎ,4,白菜,4,ナス,6,かぼちゃ,7
# 美味しい,不味い
# かぼちゃ = もやし > きゅうり > ナス > 玉ねぎ > 白菜 > ほうれん草
かぼちゃ,1,もやし,1,きゅうり,3,ナス,4,玉ねぎ,5,白菜,6,ほうれん草,7
# 甘い,甘くない
# イチゴ = メロン > ぶどう > さくらんぼ > みかん > りんご > 柿
イチゴ,1,メロン,1,ぶどう,3,さくらんぼ,4,みかん,5,りんご,6,柿,7
# 大きい,小さい
# さくらんぼ >> イチゴ > ぶどう > みかん = 柿 = りんご > メロン
さくらんぼ,1,イチゴ,2,ぶどう,3,みかん,4,柿,4,りんご,4,メロン,7
# かしこい,ばかだ
# 犬 = 熊 = ライオン > クジラ >> ネズミ
犬,1,熊,1,ライオン,1,クジラ,4,ネズミ,5
# 大きい,小さい
# クジラ > ライオン = 熊 > 犬 >> ネズミ
クジラ,1,ライオン,2,熊,2,犬,4,ネズミ,5
# 上品だ,下品だ
# サファイア = パール > ガーネット > オパール >> ターコイズ
サファイア,1,パール,1,ガーネット,3,オパール,4,ターコイズ,5
# 珍しい,珍しくない
# サファイア > オパール > ガーネット >> パール > ターコイズ
サファイア,1,オパール,2,ガーネット,3,パール,4,ターコイズ,5
# 優雅だ,優雅でない
# ヴァイオリン = チェロ = ハープ > フルート > クラリネット
ヴァイオリン,1,チェロ,1,ハープ,1,フルート,4,クラリネット,5
# 心地よい,不快だ
# ハープ > ヴァイオリン > チェロ > クラリネット > フルート
