# 大きい,小さい
# 白鳥 >> ふくろう > ペンギン >> にわとり >> すずめ
白鳥,1,ふくろう,2,ペンギン,3,にわとり,4,すずめ,5
# 可愛い,可愛くない
# ペンギン >> すずめ > ふくろう > 白鳥 >> にわとり
ペンギン,1,すずめ,2,ふくろう,3,白鳥,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# もやし = 白菜 > きゅうり > ほうれん草 > ナス > かぼちゃ > 玉ねぎ
もやし,1,白菜,1,きゅうり,3,ほうれん草,4,ナス,5,かぼちゃ,6,玉ねぎ,7
# 美味しい,不味い
# 白菜 > ほうれん草 > かぼちゃ >> もやし = きゅうり = 玉ねぎ > ナス
白菜,1,ほうれん草,2,かぼちゃ,3,もやし,4,きゅうり,4,玉ねぎ,4,ナス,7
# 甘い,甘くない
# イチゴ = みかん = メロン > さくらんぼ = ぶどう > りんご > 柿
イチゴ,1,みかん,1,メロン,1,さくらんぼ,4,ぶどう,4,りんご,6,柿,7
# 大きい,小さい
# メロン >> ぶどう >> りんご > みかん = 柿 >> イチゴ > さくらんぼ
メロン,1,ぶどう,2,りんご,3,みかん,4,柿,4,イチゴ,6,さくらんぼ,7
# かしこい,ばかだ
# 犬 >> 熊 = ライオン > クジラ >> ネズミ
犬,1,熊,2,ライオン,2,クジラ,4,ネズミ,5
# 大きい,小さい
# クジラ > ライオン = 熊 >> 犬 >> ネズミ
クジラ,1,ライオン,2,熊,2,犬,4,ネズミ,5
# 上品だ,下品だ
# パール > サファイア > ターコイズ > ガーネット > オパール
パール,1,サファイア,2,ターコイズ,3,ガーネット,4,オパール,5
# 珍しい,珍しくない
# サファイア > オパール > パール > ガーネット > ターコイズ
サファイア,1,オパール,2,パール,3,ガーネット,4,ターコイズ,5
# 優雅だ,優雅でない
# ハープ > クラリネット >> チェロ = ヴァイオリン > フルート
ハープ,1,クラリネット,2,チェロ,3,ヴァイオリン,3,フルート,5
# 心地よい,不快だ
# ハープ = フルート > ヴァイオリン > チェロ > クラリネット
ハープ,1,フルート,1,ヴァイオリン,3,チェロ,4,クラリネット,5
# 綺麗だ,醜い
# サクラ >> ひまわり > たんぽぽ > 桔梗 > すずらん
サクラ,1,ひまわり,2,たんぽぽ,3,桔梗,4,すずらん,5
# 好きだ,嫌いだ
# サクラ > ひまわり >> たんぽぽ > すずらん > 桔梗
サクラ,1,ひまわり,2,たんぽぽ,3,すずらん,4,桔梗,5
# 美味しい,不味い
# サンマルク > ドトール > タリーズ >> コメダ >> ルノアール
サンマルク,1,ドトール,2,タリーズ,3,コメダ,4,ルノアール,5
# 高い,安い
# コメダ > ルノアール >> タリーズ = ドトール = サンマルク
コメダ,1,ルノアール,2,タリーズ,3,ドトール,3,サンマルク,3
# 好調だ,不調だ
# キャノン > 日立製作所 > 富士通 > エプソン > 東芝 >> ソニー > パナソニック
キャノン,1,日立製作所,2,富士通,3,エプソン,4,東芝,5,ソニー,6,パナソニック,7
# 新しい,古い
# エプソン > キャノン > ソニー > 東芝 > 日立製作所 > 富士通 > パナソニック
エプソン,1,キャノン,2,ソニー,3,東芝,4,日立製作所,5,富士通,6,パナソニック,7
# 裕福だ,貧乏だ
# イギリス > ロシア > スペイン >> アメリカ > 中国 >> タイ = インド
イギリス,1,ロシア,2,スペイン,3,アメリカ,4,中国,5,タイ,6,インド,6
# 広大だ,せまい
# ロシア > アメリカ >> 中国 >> インド > タイ >> イギリス > スペイン
ロシア,1,アメリカ,2,中国,3,インド,4,タイ,5,イギリス,6,スペイン,7
# 暖かい,寒い
# タイ > インド >> アメリカ > 中国 > スペイン > イギリス >> ロシア
タイ,1,インド,2,アメリカ,3,中国,4,スペイン,5,イギリス,6,ロシア,7
# 好調だ,不調だ
# トヨタ >> ホンダ > ヤマハ > マツダ = ダイハツ
トヨタ,1,ホンダ,2,ヤマハ,3,マツダ,4,ダイハツ,4
# 有名だ,無名だ
# トヨタ >> ホンダ = マツダ = ダイハツ > ヤマハ
トヨタ,1,ホンダ,2,マツダ,2,ダイハツ,2,ヤマハ,5
# 美味しい,不味い
# ビール > チューハイ >> ハイボール >> ウイスキー > 日本酒
ビール,1,チューハイ,2,ハイボール,3,ウイスキー,4,日本酒,5
# 高価だ,安価だ
# 日本酒 > ウイスキー >> ビール = ハイボール = チューハイ
