# 大きい,小さい
# ペンギン > 白鳥 > にわとり > ふくろう > すずめ
ペンギン,1,白鳥,2,にわとり,3,ふくろう,4,すずめ,5
# 可愛い,可愛くない
# ペンギン > すずめ > ふくろう > にわとり > 白鳥
ペンギン,1,すずめ,2,ふくろう,3,にわとり,4,白鳥,5
# ヘルシーだ,ヘルシーでない
# ほうれん草 > きゅうり > 玉ねぎ > ナス > かぼちゃ > 白菜 > もやし
ほうれん草,1,きゅうり,2,玉ねぎ,3,ナス,4,かぼちゃ,5,白菜,6,もやし,7
# 美味しい,不味い
# 白菜 > 玉ねぎ > ほうれん草 > ナス > きゅうり > もやし > かぼちゃ
白菜,1,玉ねぎ,2,ほうれん草,3,ナス,4,きゅうり,5,もやし,6,かぼちゃ,7
# 甘い,甘くない
# イチゴ > メロン > さくらんぼ > ぶどう > りんご > 柿 > みかん
イチゴ,1,メロン,2,さくらんぼ,3,ぶどう,4,りんご,5,柿,6,みかん,7
# 大きい,小さい
# メロン > りんご > 柿 > みかん > イチゴ > ぶどう > さくらんぼ
メロン,1,りんご,2,柿,3,みかん,4,イチゴ,5,ぶどう,6,さくらんぼ,7
# かしこい,ばかだ
# クジラ > 犬 > ライオン > 熊 > ネズミ
クジラ,1,犬,2,ライオン,3,熊,4,ネズミ,5
# 大きい,小さい
# クジラ > 熊 > ライオン > 犬 > ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# パール > サファイア > ガーネット > オパール > ターコイズ
パール,1,サファイア,2,ガーネット,3,オパール,4,ターコイズ,5
# 珍しい,珍しくない
# ターコイズ > オパール > ガーネット > サファイア > パール
ターコイズ,1,オパール,2,ガーネット,3,サファイア,4,パール,5
# 優雅だ,優雅でない
# チェロ > ヴァイオリン > ハープ > クラリネット > フルート
チェロ,1,ヴァイオリン,2,ハープ,3,クラリネット,4,フルート,5
# 心地よい,不快だ
# フルート > クラリネット > ヴァイオリン > ハープ > チェロ
フルート,1,クラリネット,2,ヴァイオリン,3,ハープ,4,チェロ,5
# 綺麗だ,醜い
# サクラ > 桔梗 > すずらん > ひまわり > たんぽぽ
サクラ,1,桔梗,2,すずらん,3,ひまわり,4,たんぽぽ,5
# 好きだ,嫌いだ
# サクラ > たんぽぽ > ひまわり > すずらん > 桔梗
サクラ,1,たんぽぽ,2,ひまわり,3,すずらん,4,桔梗,5
# 美味しい,不味い
# サンマルク > ルノアール > ドトール > タリーズ > コメダ
サンマルク,1,ルノアール,2,ドトール,3,タリーズ,4,コメダ,5
# 高い,安い
# ルノアール > タリーズ > サンマルク > ドトール > コメダ
ルノアール,1,タリーズ,2,サンマルク,3,ドトール,4,コメダ,5
# 好調だ,不調だ
# パナソニック > 日立製作所 > ソニー > キャノン = エプソン > 富士通 >> 東芝
パナソニック,1,日立製作所,2,ソニー,3,キャノン,4,エプソン,4,富士通,6,東芝,7
# 新しい,古い
# パナソニック > ソニー > キャノン > エプソン > 富士通 > 東芝 > 日立製作所
パナソニック,1,ソニー,2,キャノン,3,エプソン,4,富士通,5,東芝,6,日立製作所,7
# 裕福だ,貧乏だ
# イギリス > アメリカ > スペイン > ロシア > 中国 > タイ > インド
イギリス,1,アメリカ,2,スペイン,3,ロシア,4,中国,5,タイ,6,インド,7
# 広大だ,せまい
# アメリカ > ロシア > 中国 > インド > スペイン > イギリス > タイ
アメリカ,1,ロシア,2,中国,3,インド,4,スペイン,5,イギリス,6,タイ,7
# 暖かい,寒い
# インド > タイ > スペイン > 中国 > アメリカ > イギリス > ロシア
インド,1,タイ,2,スペイン,3,中国,4,アメリカ,5,イギリス,6,ロシア,7
# 好調だ,不調だ
# トヨタ > ホンダ > マツダ > ダイハツ > ヤマハ
トヨタ,1,ホンダ,2,マツダ,3,ダイハツ,4,ヤマハ,5
# 有名だ,無名だ
# トヨタ > ホンダ > マツダ > ダイハツ > ヤマハ
トヨタ,1,ホンダ,2,マツダ,3,ダイハツ,4,ヤマハ,5
# 美味しい,不味い
# チューハイ > ハイボール > ウイスキー > ビール > 日本酒
チューハイ,1,ハイボール,2,ウイスキー,3,ビール,4,日本酒,5
# 高価だ,安価だ
# ウイスキー > 日本酒 > ハイボール > ビール > チューハイ
ウイスキー,1,日本酒,2,ハイボール,3,ビール,4,チューハイ,5
# 好きだ,嫌いだ
# ラーメン > チャーハン > カレー > ハンバーガー > ピザ
ラーメン,1,チャーハン,2,カレー,3,ハンバーガー,4,ピザ,5
# 脂っこい,脂っこくない
# チャーハン > ピザ > カレー > ハンバーガー > ラーメン
チャーハン,1,ピザ,2,カレー,3,ハンバーガー,4,ラーメン,5
# 高価だ,安価だ
# 洗濯機 > エアコン > カメラ > カーナビ > プリンタ
洗濯機,1,エアコン,2,カメラ,3,カーナビ,4,プリンタ,5
# うるさい,静かだ
# 洗濯機 > カーナビ > プリンタ > エアコン > カメラ
洗濯機,1,カーナビ,2,プリンタ,3,エアコン,4,カメラ,5
# 好きだ,嫌いだ
# 雪 > 晴天 > 強風 > 雨 > 雷 > 霧 > 霜
雪,1,晴天,2,強風,3,雨,4,雷,5,霧,6,霜,7
# 珍しい,珍しくない
# 霜 > 雪 > 霧 > 雷 > 強風 > 雨 > 晴天
霜,1,雪,2,霧,3,雷,4,強風,5,雨,6,晴天,7
# 好きだ,嫌いだ
# 牛肉 > 豚肉 > 鶏肉 > 馬肉 > ラム肉
牛肉,1,豚肉,2,鶏肉,3,馬肉,4,ラム肉,5
# 高価だ,安価だ
# 牛肉 > 馬肉 > ラム肉 > 豚肉 > 鶏肉
牛肉,1,馬肉,2,ラム肉,3,豚肉,4,鶏肉,5
# 有名だ,無名だ
# 善光寺 > 薬師寺 > 銀閣寺 > 東寺 > 中尊寺 > 増上寺
善光寺,1,薬師寺,2,銀閣寺,3,東寺,4,中尊寺,5,増上寺,6
# 立派だ,立派でない
# 善光寺 > 薬師寺 > 中尊寺 > 増上寺 > 東寺 > 銀閣寺
善光寺,1,薬師寺,2,中尊寺,3,増上寺,4,東寺,5,銀閣寺,6
# メジャーだ,マイナーだ
# 野球 > サッカー > 相撲 > バレー > 卓球 > テニス > バスケ
野球,1,サッカー,2,相撲,3,バレー,4,卓球,5,テニス,6,バスケ,7
# 得意だ,苦手だ
# 野球 > 卓球 > テニス > バレー > サッカー > バスケ > 相撲
野球,1,卓球,2,テニス,3,バレー,4,サッカー,5,バスケ,6,相撲,7
# 快適だ,不快だ
# タクシー > バス > 新幹線 > 飛行機 > 電車
タクシー,1,バス,2,新幹線,3,飛行機,4,電車,5
# 速い,遅い
# 飛行機 > 新幹線 > 電車 > バス > タクシー
飛行機,1,新幹線,2,電車,3,バス,4,タクシー,5
# 安全だ,危険だ
# 新幹線 > 電車 > バス > タクシー > 飛行機
新幹線,1,電車,2,バス,3,タクシー,4,飛行機,5
# 可愛い,可愛くない
# 北乃きい > 釈由美子 = 優香 > 南明奈 > 吹石一恵 > 友近 > 梨花
北乃きい,1,釈由美子,2,優香,2,南明奈,4,吹石一恵,5,友近,6,梨花,7
# 面白い,つまらない
# 友近 > 梨花 > 優香 > 南明奈 > 釈由美子 > 北乃きい > 吹石一恵
友近,1,梨花,2,優香,3,南明奈,4,釈由美子,5,北乃きい,6,吹石一恵,7
# 甘い,甘くない
# チョコレートケーキ > ロールケーキ > ショートケーキ > シフォンケーキ > チーズケーキ
チョコレートケーキ,1,ロールケーキ,2,ショートケーキ,3,シフォンケーキ,4,チーズケーキ,5
# 好きだ,嫌いだ
# ショートケーキ > チーズケーキ > ロールケーキ > チョコレートケーキ > シフォンケーキ
ショートケーキ,1,チーズケーキ,2,ロールケーキ,3,チョコレートケーキ,4,シフォンケーキ,5
# 美味しい,不味い
# マカロン > スコーン > カステラ > マフィン > ベーグル
マカロン,1,スコーン,2,カステラ,3,マフィン,4,ベーグル,5
# おしゃれだ,おしゃれでない
# マカロン > スコーン > ベーグル > マフィン > カステラ
マカロン,1,スコーン,2,ベーグル,3,マフィン,4,カステラ,5
# 美味しい,不味い
# オレンジジュース > ココア > 紅茶 > 緑茶 > 抹茶
オレンジジュース,1,ココア,2,紅茶,3,緑茶,4,抹茶,5
# 好きだ,嫌いだ
# カツカレー > 串かつ > 牛タン > 讃岐うどん > お好み焼き
カツカレー,1,串かつ,2,牛タン,3,讃岐うどん,4,お好み焼き,5
# 高価だ,安価だ
# 牛タン > カツカレー > お好み焼き > 讃岐うどん > 串かつ
牛タン,1,カツカレー,2,お好み焼き,3,讃岐うどん,4,串かつ,5
# 暖かい,寒い
# 沖縄 > 福岡 > 神戸 > 大阪 > 名古屋 > 東京 > 札幌
沖縄,1,福岡,2,神戸,3,大阪,4,名古屋,5,東京,6,札幌,7
# 遠い,近い
# 札幌 > 沖縄 > 福岡 > 東京 > 神戸 > 大阪 > 名古屋
札幌,1,沖縄,2,福岡,3,東京,4,神戸,5,大阪,6,名古屋,7
# ヘルシーだ,ヘルシーでない
# タイ料理 > インド料理 > スペイン料理 > 韓国料理 > 中華料理
タイ料理,1,インド料理,2,スペイン料理,3,韓国料理,4,中華料理,5
# 辛い,辛くない
