# 大きい,小さい
# 白鳥 > ペンギン > にわとり > ふくろう >> すずめ
白鳥,1,ペンギン,2,にわとり,3,ふくろう,4,すずめ,5
# 可愛い,可愛くない
# ペンギン >> すずめ > ふくろう > 白鳥 > にわとり
ペンギン,1,すずめ,2,ふくろう,3,白鳥,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# きゅうり > もやし > 白菜 > 玉ねぎ >> ナス > ほうれん草 >> かぼちゃ
きゅうり,1,もやし,2,白菜,3,玉ねぎ,4,ナス,5,ほうれん草,6,かぼちゃ,7
# 美味しい,不味い
# ナス > 白菜 > もやし > きゅうり > ほうれん草 > かぼちゃ > 玉ねぎ
ナス,1,白菜,2,もやし,3,きゅうり,4,ほうれん草,5,かぼちゃ,6,玉ねぎ,7
# 甘い,甘くない
# メロン > みかん > さくらんぼ > 柿 > ぶどう > イチゴ > りんご
メロン,1,みかん,2,さくらんぼ,3,柿,4,ぶどう,5,イチゴ,6,りんご,7
# 大きい,小さい
# メロン > りんご > みかん > イチゴ > ぶどう > 柿 > さくらんぼ
メロン,1,りんご,2,みかん,3,イチゴ,4,ぶどう,5,柿,6,さくらんぼ,7
# かしこい,ばかだ
# 犬 > クジラ >> 熊 >> ライオン >> ネズミ
犬,1,クジラ,2,熊,3,ライオン,4,ネズミ,5
# 大きい,小さい
# クジラ >> 熊 >> ライオン >> 犬 >> ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# パール > サファイア > オパール > ガーネット > ターコイズ
パール,1,サファイア,2,オパール,3,ガーネット,4,ターコイズ,5
# 珍しい,珍しくない
# ガーネット > サファイア > ターコイズ > オパール >> パール
ガーネット,1,サファイア,2,ターコイズ,3,オパール,4,パール,5
# 優雅だ,優雅でない
# ハープ > フルート > チェロ >> ヴァイオリン > クラリネット
ハープ,1,フルート,2,チェロ,3,ヴァイオリン,4,クラリネット,5
# 心地よい,不快だ
# フルート > ハープ = チェロ >> ヴァイオリン > クラリネット
フルート,1,ハープ,2,チェロ,2,ヴァイオリン,4,クラリネット,5
# 綺麗だ,醜い
# ひまわり > サクラ > 桔梗 > すずらん > たんぽぽ
ひまわり,1,サクラ,2,桔梗,3,すずらん,4,たんぽぽ,5
# 好きだ,嫌いだ
# ひまわり > サクラ > たんぽぽ >> すずらん > 桔梗
ひまわり,1,サクラ,2,たんぽぽ,3,すずらん,4,桔梗,5
# 美味しい,不味い
# タリーズ > ドトール >> サンマルク = コメダ = ルノアール
タリーズ,1,ドトール,2,サンマルク,3,コメダ,3,ルノアール,3
# 高い,安い
# コメダ = ルノアール > サンマルク > ドトール > タリーズ
コメダ,1,ルノアール,1,サンマルク,3,ドトール,4,タリーズ,5
# 好調だ,不調だ
# キャノン > 日立製作所 = パナソニック > ソニー > エプソン > 富士通 >> 東芝
キャノン,1,日立製作所,2,パナソニック,2,ソニー,4,エプソン,5,富士通,6,東芝,7
# 新しい,古い
# キャノン > ソニー > パナソニック > エプソン > 日立製作所 > 富士通 > 東芝
キャノン,1,ソニー,2,パナソニック,3,エプソン,4,日立製作所,5,富士通,6,東芝,7
# 裕福だ,貧乏だ
# アメリカ > 中国 > イギリス > インド > スペイン > ロシア > タイ
アメリカ,1,中国,2,イギリス,3,インド,4,スペイン,5,ロシア,6,タイ,7
# 広大だ,せまい
# ロシア > アメリカ >> 中国 > インド >> スペイン > タイ > イギリス
ロシア,1,アメリカ,2,中国,3,インド,4,スペイン,5,タイ,6,イギリス,7
# 暖かい,寒い
# インド > タイ > スペイン > イギリス > アメリカ > 中国 > ロシア
インド,1,タイ,2,スペイン,3,イギリス,4,アメリカ,5,中国,6,ロシア,7
# 好調だ,不調だ
# トヨタ > ホンダ > ヤマハ >> ダイハツ > マツダ
トヨタ,1,ホンダ,2,ヤマハ,3,ダイハツ,4,マツダ,5
# 有名だ,無名だ
# トヨタ > ホンダ > ヤマハ > マツダ > ダイハツ
トヨタ,1,ホンダ,2,ヤマハ,3,マツダ,4,ダイハツ,5
# 美味しい,不味い
# チューハイ >> ビール >> ハイボール >> ウイスキー >> 日本酒
チューハイ,1,ビール,2,ハイボール,3,ウイスキー,4,日本酒,5
# 高価だ,安価だ
# ウイスキー > 日本酒 > ビール > ハイボール > チューハイ
