# 大きい,小さい
# 白鳥 > ふくろう > ペンギン > にわとり > すずめ
白鳥,1,ふくろう,2,ペンギン,3,にわとり,4,すずめ,5
# 可愛い,可愛くない
# ペンギン > 白鳥 > ふくろう > すずめ >> にわとり
ペンギン,1,白鳥,2,ふくろう,3,すずめ,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# ほうれん草 > かぼちゃ > ナス > 玉ねぎ > 白菜 > もやし > きゅうり
ほうれん草,1,かぼちゃ,2,ナス,3,玉ねぎ,4,白菜,5,もやし,6,きゅうり,7
# 美味しい,不味い
# 玉ねぎ > 白菜 > ナス > もやし > かぼちゃ > きゅうり > ほうれん草
玉ねぎ,1,白菜,2,ナス,3,もやし,4,かぼちゃ,5,きゅうり,6,ほうれん草,7
# 甘い,甘くない
# メロン > みかん > りんご > イチゴ > ぶどう > さくらんぼ > 柿
メロン,1,みかん,2,りんご,3,イチゴ,4,ぶどう,5,さくらんぼ,6,柿,7
# 大きい,小さい
# メロン > ぶどう > りんご > 柿 > みかん > イチゴ > さくらんぼ
メロン,1,ぶどう,2,りんご,3,柿,4,みかん,5,イチゴ,6,さくらんぼ,7
# かしこい,ばかだ
# クジラ > 犬 > ネズミ > ライオン > 熊
クジラ,1,犬,2,ネズミ,3,ライオン,4,熊,5
# 大きい,小さい
# クジラ >> 熊 > ライオン > 犬 > ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# サファイア > オパール > パール > ガーネット > ターコイズ
サファイア,1,オパール,2,パール,3,ガーネット,4,ターコイズ,5
# 珍しい,珍しくない
# サファイア > ターコイズ > ガーネット > オパール > パール
サファイア,1,ターコイズ,2,ガーネット,3,オパール,4,パール,5
# 優雅だ,優雅でない
# ハープ > フルート > チェロ > ヴァイオリン > クラリネット
ハープ,1,フルート,2,チェロ,3,ヴァイオリン,4,クラリネット,5
# 心地よい,不快だ
# チェロ > フルート > クラリネット > ハープ > ヴァイオリン
チェロ,1,フルート,2,クラリネット,3,ハープ,4,ヴァイオリン,5
# 綺麗だ,醜い
# サクラ > すずらん > 桔梗 > たんぽぽ > ひまわり
サクラ,1,すずらん,2,桔梗,3,たんぽぽ,4,ひまわり,5
# 好きだ,嫌いだ
# サクラ > すずらん > 桔梗 > たんぽぽ > ひまわり
サクラ,1,すずらん,2,桔梗,3,たんぽぽ,4,ひまわり,5
# 美味しい,不味い
# コメダ > ルノアール > サンマルク > タリーズ > ドトール
コメダ,1,ルノアール,2,サンマルク,3,タリーズ,4,ドトール,5
# 高い,安い
# サンマルク > ルノアール > コメダ >> ドトール > タリーズ
サンマルク,1,ルノアール,2,コメダ,3,ドトール,4,タリーズ,5
# 好調だ,不調だ
# 日立製作所 > キャノン > エプソン > 富士通 > パナソニック > ソニー >> 東芝
日立製作所,1,キャノン,2,エプソン,3,富士通,4,パナソニック,5,ソニー,6,東芝,7
# 新しい,古い
# エプソン > キャノン > 富士通 > 日立製作所 > 東芝 > ソニー > パナソニック
