# 大きい,小さい
# 白鳥 > ペンギン > にわとり > ふくろう > すずめ
白鳥,1,ペンギン,2,にわとり,3,ふくろう,4,すずめ,5
# 可愛い,可愛くない
# すずめ > ペンギン > ふくろう > 白鳥 > にわとり
すずめ,1,ペンギン,2,ふくろう,3,白鳥,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# きゅうり > もやし > 玉ねぎ > ほうれん草 > 白菜 > ナス > かぼちゃ
きゅうり,1,もやし,2,玉ねぎ,3,ほうれん草,4,白菜,5,ナス,6,かぼちゃ,7
# 美味しい,不味い
# ほうれん草 > ナス > もやし > 白菜 > 玉ねぎ > きゅうり > かぼちゃ
ほうれん草,1,ナス,2,もやし,3,白菜,4,玉ねぎ,5,きゅうり,6,かぼちゃ,7
# 甘い,甘くない
# メロン > りんご > イチゴ > みかん > さくらんぼ > ぶどう > 柿
メロン,1,りんご,2,イチゴ,3,みかん,4,さくらんぼ,5,ぶどう,6,柿,7
# 大きい,小さい
# メロン > りんご > 柿 > みかん > イチゴ > さくらんぼ > ぶどう
メロン,1,りんご,2,柿,3,みかん,4,イチゴ,5,さくらんぼ,6,ぶどう,7
# かしこい,ばかだ
# クジラ > 犬 > ネズミ > 熊 > ライオン
クジラ,1,犬,2,ネズミ,3,熊,4,ライオン,5
# 大きい,小さい
# クジラ > 熊 > ライオン > 犬 > ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# オパール > ガーネット > パール > サファイア > ターコイズ
オパール,1,ガーネット,2,パール,3,サファイア,4,ターコイズ,5
# 珍しい,珍しくない
# ガーネット > サファイア > オパール > ターコイズ > パール
ガーネット,1,サファイア,2,オパール,3,ターコイズ,4,パール,5
# 優雅だ,優雅でない
# ハープ > ヴァイオリン > フルート > チェロ > クラリネット
ハープ,1,ヴァイオリン,2,フルート,3,チェロ,4,クラリネット,5
# 心地よい,不快だ
# ヴァイオリン > フルート > チェロ > クラリネット = ハープ
ヴァイオリン,1,フルート,2,チェロ,3,クラリネット,4,ハープ,4
# 綺麗だ,醜い
# サクラ > 桔梗 > すずらん > たんぽぽ > ひまわり
サクラ,1,桔梗,2,すずらん,3,たんぽぽ,4,ひまわり,5
# 好きだ,嫌いだ
# サクラ > ひまわり > たんぽぽ > 桔梗 > すずらん
サクラ,1,ひまわり,2,たんぽぽ,3,桔梗,4,すずらん,5
# 美味しい,不味い
# ドトール > タリーズ > コメダ > サンマルク > ルノアール
ドトール,1,タリーズ,2,コメダ,3,サンマルク,4,ルノアール,5
# 高い,安い
# ドトール > タリーズ > コメダ > サンマルク > ルノアール
ドトール,1,タリーズ,2,コメダ,3,サンマルク,4,ルノアール,5
# 好調だ,不調だ
# パナソニック > キャノン > 日立製作所 > 富士通 > エプソン > ソニー > 東芝
パナソニック,1,キャノン,2,日立製作所,3,富士通,4,エプソン,5,ソニー,6,東芝,7
# 新しい,古い
# エプソン > キャノン > 富士通 > 日立製作所 > ソニー > パナソニック > 東芝
エプソン,1,キャノン,2,富士通,3,日立製作所,4,ソニー,5,パナソニック,6,東芝,7
# 裕福だ,貧乏だ
# アメリカ > イギリス > 中国 > スペイン > ロシア > タイ > インド
アメリカ,1,イギリス,2,中国,3,スペイン,4,ロシア,5,タイ,6,インド,7
# 広大だ,せまい
# ロシア > 中国 > アメリカ > インド > スペイン > イギリス > タイ
ロシア,1,中国,2,アメリカ,3,インド,4,スペイン,5,イギリス,6,タイ,7
# 暖かい,寒い
# インド > タイ > 中国 > スペイン > アメリカ > イギリス > ロシア
インド,1,タイ,2,中国,3,スペイン,4,アメリカ,5,イギリス,6,ロシア,7
# 好調だ,不調だ
# トヨタ > ホンダ > マツダ > ヤマハ > ダイハツ
トヨタ,1,ホンダ,2,マツダ,3,ヤマハ,4,ダイハツ,5
# 有名だ,無名だ
# トヨタ > ホンダ > ヤマハ > マツダ > ダイハツ
トヨタ,1,ホンダ,2,ヤマハ,3,マツダ,4,ダイハツ,5
# 美味しい,不味い
# ビール > チューハイ > ハイボール > 日本酒 > ウイスキー
ビール,1,チューハイ,2,ハイボール,3,日本酒,4,ウイスキー,5
# 高価だ,安価だ
# ウイスキー > 日本酒 > ビール > ハイボール > チューハイ
ウイスキー,1,日本酒,2,ビール,3,ハイボール,4,チューハイ,5
# 好きだ,嫌いだ
# カレー > チャーハン > ピザ > ラーメン > ハンバーガー
カレー,1,チャーハン,2,ピザ,3,ラーメン,4,ハンバーガー,5
# 脂っこい,脂っこくない
# ピザ > ラーメン > ハンバーガー > カレー > チャーハン
ピザ,1,ラーメン,2,ハンバーガー,3,カレー,4,チャーハン,5
# 高価だ,安価だ
# エアコン > 洗濯機 > カーナビ > カメラ > プリンタ
エアコン,1,洗濯機,2,カーナビ,3,カメラ,4,プリンタ,5
# うるさい,静かだ
# 洗濯機 > エアコン > プリンタ > カメラ > カーナビ
洗濯機,1,エアコン,2,プリンタ,3,カメラ,4,カーナビ,5
# 好きだ,嫌いだ
# 晴天 > 雪 > 強風 > 霧 > 霜 > 雨 > 雷
晴天,1,雪,2,強風,3,霧,4,霜,5,雨,6,雷,7
# 珍しい,珍しくない
# 雪 > 霜 > 雷 > 霧 > 強風 > 雨 > 晴天
雪,1,霜,2,雷,3,霧,4,強風,5,雨,6,晴天,7
# 好きだ,嫌いだ
# 鶏肉 > 豚肉 > 牛肉 > 馬肉 > ラム肉
鶏肉,1,豚肉,2,牛肉,3,馬肉,4,ラム肉,5
# 高価だ,安価だ
# ラム肉 > 馬肉 > 牛肉 > 豚肉 > 鶏肉
ラム肉,1,馬肉,2,牛肉,3,豚肉,4,鶏肉,5
# 有名だ,無名だ
# 銀閣寺 > 中尊寺 > 善光寺 > 薬師寺 > 増上寺 > 東寺
銀閣寺,1,中尊寺,2,善光寺,3,薬師寺,4,増上寺,5,東寺,6
# 立派だ,立派でない
# 銀閣寺 > 中尊寺 > 薬師寺 > 善光寺 > 増上寺 > 東寺
銀閣寺,1,中尊寺,2,薬師寺,3,善光寺,4,増上寺,5,東寺,6
# メジャーだ,マイナーだ
# サッカー > テニス > バレー > バスケ > 卓球 > 野球 > 相撲
サッカー,1,テニス,2,バレー,3,バスケ,4,卓球,5,野球,6,相撲,7
# 得意だ,苦手だ
# 野球 > サッカー > 卓球 > バスケ > バレー > テニス > 相撲
野球,1,サッカー,2,卓球,3,バスケ,4,バレー,5,テニス,6,相撲,7
# 快適だ,不快だ
# 新幹線 > 飛行機 > タクシー > 電車 > バス
新幹線,1,飛行機,2,タクシー,3,電車,4,バス,5
# 速い,遅い
# 飛行機 > 新幹線 > 電車 > タクシー > バス
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,5
# 安全だ,危険だ
# 新幹線 > 飛行機 > バス > 電車 > タクシー
新幹線,1,飛行機,2,バス,3,電車,4,タクシー,5
# 可愛い,可愛くない
# 吹石一恵 > 釈由美子 > 北乃きい > 南明奈 > 優香 > 梨花 > 友近
