# 大きい,小さい
# ペンギン > ふくろう > 白鳥 > にわとり > すずめ
ペンギン,1,ふくろう,2,白鳥,3,にわとり,4,すずめ,5
# 可愛い,可愛くない
# ふくろう > ペンギン > すずめ > 白鳥 >> にわとり
ふくろう,1,ペンギン,2,すずめ,3,白鳥,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# ほうれん草 > かぼちゃ > ナス > 白菜 > 玉ねぎ > もやし > きゅうり
ほうれん草,1,かぼちゃ,2,ナス,3,白菜,4,玉ねぎ,5,もやし,6,きゅうり,7
# 美味しい,不味い
# 玉ねぎ > 白菜 > きゅうり > もやし > ナス > ほうれん草 > かぼちゃ
玉ねぎ,1,白菜,2,きゅうり,3,もやし,4,ナス,5,ほうれん草,6,かぼちゃ,7
# 甘い,甘くない
# メロン > 柿 > みかん > イチゴ > りんご > ぶどう > さくらんぼ
メロン,1,柿,2,みかん,3,イチゴ,4,りんご,5,ぶどう,6,さくらんぼ,7
# 大きい,小さい
# メロン >> ぶどう >> りんご >> みかん = 柿 >> イチゴ >> さくらんぼ
メロン,1,ぶどう,2,りんご,3,みかん,4,柿,4,イチゴ,6,さくらんぼ,7
# かしこい,ばかだ
# 犬 > クジラ > ライオン > 熊 > ネズミ
犬,1,クジラ,2,ライオン,3,熊,4,ネズミ,5
# 大きい,小さい
# クジラ >> 熊 >> ライオン >> 犬 >> ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# パール > サファイア > ガーネット > オパール > ターコイズ
パール,1,サファイア,2,ガーネット,3,オパール,4,ターコイズ,5
# 珍しい,珍しくない
# オパール > サファイア > ガーネット > ターコイズ > パール
オパール,1,サファイア,2,ガーネット,3,ターコイズ,4,パール,5
# 優雅だ,優雅でない
# ヴァイオリン > ハープ > フルート > チェロ > クラリネット
ヴァイオリン,1,ハープ,2,フルート,3,チェロ,4,クラリネット,5
# 心地よい,不快だ
# クラリネット > ハープ > ヴァイオリン > チェロ > フルート
クラリネット,1,ハープ,2,ヴァイオリン,3,チェロ,4,フルート,5
# 綺麗だ,醜い
# サクラ > ひまわり > すずらん > 桔梗 > たんぽぽ
サクラ,1,ひまわり,2,すずらん,3,桔梗,4,たんぽぽ,5
# 好きだ,嫌いだ
# サクラ > ひまわり > すずらん > 桔梗 > たんぽぽ
サクラ,1,ひまわり,2,すずらん,3,桔梗,4,たんぽぽ,5
# 美味しい,不味い
# ドトール = サンマルク = タリーズ > コメダ = ルノアール
ドトール,1,サンマルク,1,タリーズ,1,コメダ,4,ルノアール,4
# 高い,安い
# ルノアール > コメダ > サンマルク > ドトール > タリーズ
ルノアール,1,コメダ,2,サンマルク,3,ドトール,4,タリーズ,5
# 好調だ,不調だ
# 日立製作所 > 富士通 > パナソニック > ソニー > エプソン > キャノン >> 東芝
日立製作所,1,富士通,2,パナソニック,3,ソニー,4,エプソン,5,キャノン,6,東芝,7
# 新しい,古い
# エプソン > ソニー > パナソニック > キャノン > 富士通 > 日立製作所 > 東芝
エプソン,1,ソニー,2,パナソニック,3,キャノン,4,富士通,5,日立製作所,6,東芝,7
# 裕福だ,貧乏だ
# アメリカ > 中国 > イギリス > ロシア > スペイン > インド > タイ
アメリカ,1,中国,2,イギリス,3,ロシア,4,スペイン,5,インド,6,タイ,7
# 広大だ,せまい
# ロシア >> 中国 > アメリカ > スペイン > インド > タイ > イギリス
ロシア,1,中国,2,アメリカ,3,スペイン,4,インド,5,タイ,6,イギリス,7
# 暖かい,寒い
# インド > タイ > スペイン > 中国 > アメリカ > イギリス > ロシア
インド,1,タイ,2,スペイン,3,中国,4,アメリカ,5,イギリス,6,ロシア,7
# 好調だ,不調だ
# トヨタ > ダイハツ > ホンダ = マツダ > ヤマハ
トヨタ,1,ダイハツ,2,ホンダ,3,マツダ,3,ヤマハ,5
# 有名だ,無名だ
# トヨタ > ホンダ > マツダ > ヤマハ > ダイハツ
トヨタ,1,ホンダ,2,マツダ,3,ヤマハ,4,ダイハツ,5
# 美味しい,不味い
# 日本酒 > チューハイ > ビール > ウイスキー > ハイボール
日本酒,1,チューハイ,2,ビール,3,ウイスキー,4,ハイボール,5
# 高価だ,安価だ
# ウイスキー > 日本酒 > ビール > ハイボール = チューハイ
ウイスキー,1,日本酒,2,ビール,3,ハイボール,4,チューハイ,4
# 好きだ,嫌いだ
# カレー >> ハンバーガー = ラーメン = チャーハン = ピザ
カレー,1,ハンバーガー,2,ラーメン,2,チャーハン,2,ピザ,2
# 脂っこい,脂っこくない
# ピザ > ハンバーガー > ラーメン > チャーハン > カレー
ピザ,1,ハンバーガー,2,ラーメン,3,チャーハン,4,カレー,5
# 高価だ,安価だ
# 洗濯機 > エアコン > カーナビ > カメラ > プリンタ
洗濯機,1,エアコン,2,カーナビ,3,カメラ,4,プリンタ,5
# うるさい,静かだ
# 洗濯機 > プリンタ > カーナビ > カメラ > エアコン
洗濯機,1,プリンタ,2,カーナビ,3,カメラ,4,エアコン,5
# 好きだ,嫌いだ
# 晴天 > 雨 > 霜 > 強風 > 霧 > 雷 > 雪
晴天,1,雨,2,霜,3,強風,4,霧,5,雷,6,雪,7
# 珍しい,珍しくない
# 雪 > 雷 > 霧 > 霜 > 強風 > 雨 > 晴天
