# 大きい,小さい
# 白鳥 > ペンギン > ふくろう > にわとり > すずめ
白鳥,1,ペンギン,2,ふくろう,3,にわとり,4,すずめ,5
# 可愛い,可愛くない
# ペンギン > すずめ > ふくろう > 白鳥 > にわとり
ペンギン,1,すずめ,2,ふくろう,3,白鳥,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# ほうれん草 = 玉ねぎ > 白菜 = きゅうり = もやし > かぼちゃ = ナス
ほうれん草,1,玉ねぎ,1,白菜,3,きゅうり,3,もやし,3,かぼちゃ,6,ナス,6
# 美味しい,不味い
# ほうれん草 > 玉ねぎ > もやし > きゅうり > 白菜 > かぼちゃ > ナス
ほうれん草,1,玉ねぎ,2,もやし,3,きゅうり,4,白菜,5,かぼちゃ,6,ナス,7
# 甘い,甘くない
# メロン > 柿 > りんご > ぶどう > みかん > イチゴ > さくらんぼ
メロン,1,柿,2,りんご,3,ぶどう,4,みかん,5,イチゴ,6,さくらんぼ,7
# 大きい,小さい
# メロン > りんご > 柿 > みかん > イチゴ > ぶどう > さくらんぼ
メロン,1,りんご,2,柿,3,みかん,4,イチゴ,5,ぶどう,6,さくらんぼ,7
# かしこい,ばかだ
# ライオン > 熊 > 犬 > クジラ > ネズミ
ライオン,1,熊,2,犬,3,クジラ,4,ネズミ,5
# 大きい,小さい
# クジラ > 熊 > ライオン > 犬 > ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# パール > オパール > サファイア > ターコイズ > ガーネット
パール,1,オパール,2,サファイア,3,ターコイズ,4,ガーネット,5
# 珍しい,珍しくない
# サファイア > オパール > ガーネット > パール = ターコイズ
サファイア,1,オパール,2,ガーネット,3,パール,4,ターコイズ,4
# 優雅だ,優雅でない
# ハープ > ヴァイオリン > チェロ > フルート > クラリネット
ハープ,1,ヴァイオリン,2,チェロ,3,フルート,4,クラリネット,5
# 心地よい,不快だ
# ハープ > チェロ > ヴァイオリン > フルート > クラリネット
ハープ,1,チェロ,2,ヴァイオリン,3,フルート,4,クラリネット,5
# 綺麗だ,醜い
# サクラ > すずらん > 桔梗 > ひまわり > たんぽぽ
サクラ,1,すずらん,2,桔梗,3,ひまわり,4,たんぽぽ,5
# 好きだ,嫌いだ
# すずらん > サクラ > 桔梗 > ひまわり > たんぽぽ
すずらん,1,サクラ,2,桔梗,3,ひまわり,4,たんぽぽ,5
# 美味しい,不味い
# ドトール = ルノアール > サンマルク > タリーズ > コメダ
ドトール,1,ルノアール,1,サンマルク,3,タリーズ,4,コメダ,5
# 高い,安い
# ルノアール > ドトール > サンマルク > タリーズ > コメダ
ルノアール,1,ドトール,2,サンマルク,3,タリーズ,4,コメダ,5
# 好調だ,不調だ
# パナソニック > エプソン > キャノン > 富士通 > 日立製作所 > ソニー > 東芝
パナソニック,1,エプソン,2,キャノン,3,富士通,4,日立製作所,5,ソニー,6,東芝,7
# 新しい,古い
# ソニー > エプソン > パナソニック > キャノン > 富士通 > 日立製作所 > 東芝
ソニー,1,エプソン,2,パナソニック,3,キャノン,4,富士通,5,日立製作所,6,東芝,7
# 裕福だ,貧乏だ
# アメリカ > イギリス > ロシア > 中国 > スペイン > インド > タイ
アメリカ,1,イギリス,2,ロシア,3,中国,4,スペイン,5,インド,6,タイ,7
# 広大だ,せまい
# アメリカ > 中国 > ロシア > インド > イギリス > スペイン > タイ
アメリカ,1,中国,2,ロシア,3,インド,4,イギリス,5,スペイン,6,タイ,7
# 暖かい,寒い
# タイ > インド > アメリカ > 中国 > スペイン > イギリス > ロシア
タイ,1,インド,2,アメリカ,3,中国,4,スペイン,5,イギリス,6,ロシア,7
# 好調だ,不調だ
# トヨタ > ホンダ > マツダ > ダイハツ > ヤマハ
トヨタ,1,ホンダ,2,マツダ,3,ダイハツ,4,ヤマハ,5
# 有名だ,無名だ
# トヨタ > ホンダ > マツダ > ヤマハ > ダイハツ
トヨタ,1,ホンダ,2,マツダ,3,ヤマハ,4,ダイハツ,5
# 美味しい,不味い
# ビール > 日本酒 > ウイスキー > ハイボール > チューハイ
ビール,1,日本酒,2,ウイスキー,3,ハイボール,4,チューハイ,5
# 高価だ,安価だ
# ウイスキー > 日本酒 > ハイボール > ビール > チューハイ
ウイスキー,1,日本酒,2,ハイボール,3,ビール,4,チューハイ,5
# 好きだ,嫌いだ
