# 大きい,小さい
# 白鳥 > ペンギン > ふくろう > にわとり >> すずめ
白鳥,1,ペンギン,2,ふくろう,3,にわとり,4,すずめ,5
# 可愛い,可愛くない
# ペンギン > すずめ > ふくろう > にわとり > 白鳥
ペンギン,1,すずめ,2,ふくろう,3,にわとり,4,白鳥,5
# ヘルシーだ,ヘルシーでない
# もやし = ほうれん草 > きゅうり = 玉ねぎ = 白菜 > ナス >> かぼちゃ
もやし,1,ほうれん草,1,きゅうり,3,玉ねぎ,3,白菜,3,ナス,6,かぼちゃ,7
# 美味しい,不味い
# かぼちゃ > ほうれん草 > もやし > ナス > 白菜 = 玉ねぎ = きゅうり
かぼちゃ,1,ほうれん草,2,もやし,3,ナス,4,白菜,5,玉ねぎ,5,きゅうり,5
# 甘い,甘くない
# イチゴ > みかん > ぶどう > さくらんぼ > りんご > メロン > 柿
イチゴ,1,みかん,2,ぶどう,3,さくらんぼ,4,りんご,5,メロン,6,柿,7
# 大きい,小さい
# メロン >> りんご > 柿 > みかん > ぶどう > イチゴ > さくらんぼ
メロン,1,りんご,2,柿,3,みかん,4,ぶどう,5,イチゴ,6,さくらんぼ,7
# かしこい,ばかだ
# 犬 > クジラ > ライオン > ネズミ > 熊
犬,1,クジラ,2,ライオン,3,ネズミ,4,熊,5
# 大きい,小さい
# クジラ >> 熊 > ライオン > 犬 >> ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# サファイア = ガーネット > オパール = パール >> ターコイズ
サファイア,1,ガーネット,1,オパール,3,パール,3,ターコイズ,5
# 珍しい,珍しくない
# ガーネット = オパール > パール = サファイア >> ターコイズ
ガーネット,1,オパール,1,パール,3,サファイア,3,ターコイズ,5
# 優雅だ,優雅でない
# ヴァイオリン > ハープ > フルート = クラリネット = チェロ
ヴァイオリン,1,ハープ,2,フルート,3,クラリネット,3,チェロ,3
# 心地よい,不快だ
# ヴァイオリン > フルート = ハープ >> クラリネット = チェロ
ヴァイオリン,1,フルート,2,ハープ,2,クラリネット,4,チェロ,4
# 綺麗だ,醜い
# サクラ > すずらん = 桔梗 > ひまわり > たんぽぽ
サクラ,1,すずらん,2,桔梗,2,ひまわり,4,たんぽぽ,5
# 好きだ,嫌いだ
# サクラ > ひまわり > たんぽぽ >> 桔梗 = すずらん
サクラ,1,ひまわり,2,たんぽぽ,3,桔梗,4,すずらん,4
# 美味しい,不味い
# コメダ >> ルノアール = タリーズ = ドトール > サンマルク
コメダ,1,ルノアール,2,タリーズ,2,ドトール,2,サンマルク,5
# 高い,安い
# ルノアール >> タリーズ = サンマルク = ドトール > コメダ
ルノアール,1,タリーズ,2,サンマルク,2,ドトール,2,コメダ,5
# 好調だ,不調だ
# ソニー = 富士通 = 日立製作所 > エプソン >> キャノン = 東芝 > パナソニック
ソニー,1,富士通,1,日立製作所,1,エプソン,4,キャノン,5,東芝,5,パナソニック,7
# 新しい,古い
# 日立製作所 = ソニー = 東芝 > パナソニック = キャノン = 富士通 > エプソン
日立製作所,1,ソニー,1,東芝,1,パナソニック,4,キャノン,4,富士通,4,エプソン,7
# 裕福だ,貧乏だ
# 中国 > アメリカ > イギリス = スペイン = ロシア > タイ > インド
中国,1,アメリカ,2,イギリス,3,スペイン,3,ロシア,3,タイ,6,インド,7
# 広大だ,せまい
# 中国 > ロシア = アメリカ > インド >> イギリス = スペイン = タイ
中国,1,ロシア,2,アメリカ,2,インド,4,イギリス,5,スペイン,5,タイ,5
# 暖かい,寒い
# インド > タイ > 中国 > イギリス = スペイン > アメリカ >> ロシア
インド,1,タイ,2,中国,3,イギリス,4,スペイン,4,アメリカ,6,ロシア,7
# 好調だ,不調だ
# トヨタ >> ヤマハ = ホンダ = マツダ > ダイハツ
トヨタ,1,ヤマハ,2,ホンダ,2,マツダ,2,ダイハツ,5
# 有名だ,無名だ
# トヨタ > ホンダ = ヤマハ >> マツダ = ダイハツ
トヨタ,1,ホンダ,2,ヤマハ,2,マツダ,4,ダイハツ,4
# 美味しい,不味い
# チューハイ > 日本酒 = ビール > ハイボール > ウイスキー
チューハイ,1,日本酒,2,ビール,2,ハイボール,4,ウイスキー,5
# 高価だ,安価だ
# ウイスキー = 日本酒 > ハイボール > ビール >> チューハイ
ウイスキー,1,日本酒,1,ハイボール,3,ビール,4,チューハイ,5
# 好きだ,嫌いだ
# ピザ = チャーハン = ラーメン = カレー = ハンバーガー
ピザ,1,チャーハン,1,ラーメン,1,カレー,1,ハンバーガー,1
# 脂っこい,脂っこくない
# チャーハン > ラーメン = カレー > ハンバーガー > ピザ
チャーハン,1,ラーメン,2,カレー,2,ハンバーガー,4,ピザ,5
# 高価だ,安価だ
# 洗濯機 > エアコン >> カメラ > カーナビ > プリンタ
洗濯機,1,エアコン,2,カメラ,3,カーナビ,4,プリンタ,5
# うるさい,静かだ
# 洗濯機 >> カーナビ > エアコン > カメラ = プリンタ
洗濯機,1,カーナビ,2,エアコン,3,カメラ,4,プリンタ,4
# 好きだ,嫌いだ
# 晴天 >> 雪 = 霜 = 霧 > 強風 = 雷 > 雨
晴天,1,雪,2,霜,2,霧,2,強風,5,雷,5,雨,7
# 珍しい,珍しくない
# 霜 = 雪 = 霧 >> 雷 = 強風 > 晴天 = 雨
霜,1,雪,1,霧,1,雷,4,強風,4,晴天,6,雨,6
# 好きだ,嫌いだ
# 牛肉 > 鶏肉 = 豚肉 > ラム肉 > 馬肉
牛肉,1,鶏肉,2,豚肉,2,ラム肉,4,馬肉,5
# 高価だ,安価だ
# 牛肉 > 馬肉 > ラム肉 > 豚肉 = 鶏肉
牛肉,1,馬肉,2,ラム肉,3,豚肉,4,鶏肉,4
# 有名だ,無名だ
# 銀閣寺 >> 善光寺 > 薬師寺 > 東寺 > 増上寺 > 中尊寺
銀閣寺,1,善光寺,2,薬師寺,3,東寺,4,増上寺,5,中尊寺,6
# 立派だ,立派でない
# 銀閣寺 > 薬師寺 = 善光寺 = 中尊寺 > 増上寺 > 東寺
銀閣寺,1,薬師寺,2,善光寺,2,中尊寺,2,増上寺,5,東寺,6
# メジャーだ,マイナーだ
# サッカー > 野球 = テニス > バスケ = バレー = 卓球 >> 相撲
サッカー,1,野球,2,テニス,2,バスケ,4,バレー,4,卓球,4,相撲,7
# 得意だ,苦手だ
# 野球 >> バスケ = バレー = 卓球 > 相撲 > サッカー = テニス
野球,1,バスケ,2,バレー,2,卓球,2,相撲,5,サッカー,6,テニス,6
# 快適だ,不快だ
# 飛行機 = 新幹線 > タクシー > 電車 = バス
飛行機,1,新幹線,1,タクシー,3,電車,4,バス,4
# 速い,遅い
# 飛行機 >> 新幹線 >> 電車 > タクシー > バス
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,5
# 安全だ,危険だ
# 飛行機 >> 新幹線 > 電車 > バス > タクシー
飛行機,1,新幹線,2,電車,3,バス,4,タクシー,5
# 可愛い,可愛くない
# 吹石一恵 >> 北乃きい = 優香 > 南明奈 = 釈由美子 >> 梨花 >> 友近
吹石一恵,1,北乃きい,2,優香,2,南明奈,4,釈由美子,4,梨花,6,友近,7
# 面白い,つまらない
# 友近 > 梨花 = 優香 > 北乃きい = 釈由美子 = 南明奈 > 吹石一恵
友近,1,梨花,2,優香,2,北乃きい,4,釈由美子,4,南明奈,4,吹石一恵,7
# 甘い,甘くない
# チョコレートケーキ > ショートケーキ = シフォンケーキ > ロールケーキ > チーズケーキ
チョコレートケーキ,1,ショートケーキ,2,シフォンケーキ,2,ロールケーキ,4,チーズケーキ,5
# 好きだ,嫌いだ
# チョコレートケーキ = チーズケーキ = シフォンケーキ > ロールケーキ > ショートケーキ
チョコレートケーキ,1,チーズケーキ,1,シフォンケーキ,1,ロールケーキ,4,ショートケーキ,5
# 美味しい,不味い
# カステラ = マフィン > ベーグル > スコーン >> マカロン
カステラ,1,マフィン,1,ベーグル,3,スコーン,4,マカロン,5
# おしゃれだ,おしゃれでない
# マフィン = スコーン = マカロン > ベーグル >> カステラ
マフィン,1,スコーン,1,マカロン,1,ベーグル,4,カステラ,5
# 美味しい,不味い
# オレンジジュース > ココア > 紅茶 >> 緑茶 = 抹茶
オレンジジュース,1,ココア,2,紅茶,3,緑茶,4,抹茶,4
# 好きだ,嫌いだ
# カツカレー > お好み焼き > 牛タン = 讃岐うどん > 串かつ
カツカレー,1,お好み焼き,2,牛タン,3,讃岐うどん,3,串かつ,5
# 高価だ,安価だ
# 牛タン > カツカレー > お好み焼き > 讃岐うどん > 串かつ
牛タン,1,カツカレー,2,お好み焼き,3,讃岐うどん,4,串かつ,5
# 暖かい,寒い
# 沖縄 > 福岡 = 大阪 = 名古屋 = 神戸 > 東京 >> 札幌
沖縄,1,福岡,2,大阪,2,名古屋,2,神戸,2,東京,6,札幌,7
# 遠い,近い
# 札幌 = 沖縄 > 福岡 = 東京 > 名古屋 > 神戸 > 大阪
札幌,1,沖縄,1,福岡,3,東京,3,名古屋,5,神戸,6,大阪,7
# ヘルシーだ,ヘルシーでない
# タイ料理 = インド料理 > スペイン料理 > 韓国料理 > 中華料理
タイ料理,1,インド料理,1,スペイン料理,3,韓国料理,4,中華料理,5
