# 大きい,小さい
# 白鳥 > ペンギン > ふくろう > にわとり > すずめ
白鳥,1,ペンギン,2,ふくろう,3,にわとり,4,すずめ,5
# 可愛い,可愛くない
# すずめ > にわとり > ペンギン > ふくろう > 白鳥
すずめ,1,にわとり,2,ペンギン,3,ふくろう,4,白鳥,5
# ヘルシーだ,ヘルシーでない
# きゅうり > もやし > 白菜 > ほうれん草 > 玉ねぎ > ナス > かぼちゃ
きゅうり,1,もやし,2,白菜,3,ほうれん草,4,玉ねぎ,5,ナス,6,かぼちゃ,7
# 美味しい,不味い
# ほうれん草 > 白菜 > ナス > かぼちゃ > 玉ねぎ > きゅうり > もやし
ほうれん草,1,白菜,2,ナス,3,かぼちゃ,4,玉ねぎ,5,きゅうり,6,もやし,7
# 甘い,甘くない
# メロン > ぶどう > 柿 > イチゴ > りんご > さくらんぼ > みかん
メロン,1,ぶどう,2,柿,3,イチゴ,4,りんご,5,さくらんぼ,6,みかん,7
# 大きい,小さい
# メロン > りんご > ぶどう > 柿 > みかん > イチゴ > さくらんぼ
メロン,1,りんご,2,ぶどう,3,柿,4,みかん,5,イチゴ,6,さくらんぼ,7
# かしこい,ばかだ
# クジラ > ライオン > 犬 > 熊 > ネズミ
クジラ,1,ライオン,2,犬,3,熊,4,ネズミ,5
# 大きい,小さい
# クジラ > 熊 > ライオン > 犬 > ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# パール > サファイア > ガーネット > オパール > ターコイズ
パール,1,サファイア,2,ガーネット,3,オパール,4,ターコイズ,5
# 珍しい,珍しくない
# パール > オパール > サファイア > ターコイズ > ガーネット
パール,1,オパール,2,サファイア,3,ターコイズ,4,ガーネット,5
# 優雅だ,優雅でない
# ハープ > ヴァイオリン > チェロ > フルート > クラリネット
ハープ,1,ヴァイオリン,2,チェロ,3,フルート,4,クラリネット,5
# 心地よい,不快だ
# ヴァイオリン > フルート > ハープ > チェロ > クラリネット
ヴァイオリン,1,フルート,2,ハープ,3,チェロ,4,クラリネット,5
# 綺麗だ,醜い
# サクラ > ひまわり > 桔梗 > たんぽぽ > すずらん
サクラ,1,ひまわり,2,桔梗,3,たんぽぽ,4,すずらん,5
# 好きだ,嫌いだ
# ひまわり > サクラ = たんぽぽ > すずらん > 桔梗
ひまわり,1,サクラ,2,たんぽぽ,2,すずらん,4,桔梗,5
# 美味しい,不味い
# タリーズ > ドトール > コメダ > サンマルク > ルノアール
タリーズ,1,ドトール,2,コメダ,3,サンマルク,4,ルノアール,5
# 高い,安い
# ルノアール > コメダ > サンマルク > ドトール > タリーズ
ルノアール,1,コメダ,2,サンマルク,3,ドトール,4,タリーズ,5
# 好調だ,不調だ
# ソニー > パナソニック > 東芝 > 富士通 > キャノン > エプソン > 日立製作所
ソニー,1,パナソニック,2,東芝,3,富士通,4,キャノン,5,エプソン,6,日立製作所,7
# 新しい,古い
# エプソン > キャノン > 日立製作所 > 富士通 > パナソニック > 東芝 > ソニー
エプソン,1,キャノン,2,日立製作所,3,富士通,4,パナソニック,5,東芝,6,ソニー,7
# 裕福だ,貧乏だ
# アメリカ > スペイン > ロシア > イギリス > 中国 > インド > タイ
アメリカ,1,スペイン,2,ロシア,3,イギリス,4,中国,5,インド,6,タイ,7
# 広大だ,せまい
# ロシア > 中国 > アメリカ > スペイン > インド > イギリス > タイ
ロシア,1,中国,2,アメリカ,3,スペイン,4,インド,5,イギリス,6,タイ,7
# 暖かい,寒い
# タイ > インド > スペイン > アメリカ > 中国 > イギリス > ロシア
タイ,1,インド,2,スペイン,3,アメリカ,4,中国,5,イギリス,6,ロシア,7
# 好調だ,不調だ
# トヨタ > ホンダ > ダイハツ > マツダ > ヤマハ
トヨタ,1,ホンダ,2,ダイハツ,3,マツダ,4,ヤマハ,5
# 有名だ,無名だ
# トヨタ > ホンダ > ダイハツ > マツダ > ヤマハ
トヨタ,1,ホンダ,2,ダイハツ,3,マツダ,4,ヤマハ,5
# 美味しい,不味い
# チューハイ > ビール > 日本酒 > ハイボール > ウイスキー
チューハイ,1,ビール,2,日本酒,3,ハイボール,4,ウイスキー,5
# 高価だ,安価だ
# ハイボール > ウイスキー > 日本酒 > チューハイ > ビール
ハイボール,1,ウイスキー,2,日本酒,3,チューハイ,4,ビール,5
# 好きだ,嫌いだ
# ハンバーガー > ラーメン > チャーハン > ピザ > カレー
ハンバーガー,1,ラーメン,2,チャーハン,3,ピザ,4,カレー,5
# 脂っこい,脂っこくない
# ピザ > ハンバーガー > チャーハン > カレー > ラーメン
ピザ,1,ハンバーガー,2,チャーハン,3,カレー,4,ラーメン,5
# 高価だ,安価だ
# エアコン > 洗濯機 > カーナビ > プリンタ > カメラ
エアコン,1,洗濯機,2,カーナビ,3,プリンタ,4,カメラ,5
# うるさい,静かだ
# 洗濯機 > エアコン > カーナビ > プリンタ > カメラ
洗濯機,1,エアコン,2,カーナビ,3,プリンタ,4,カメラ,5
# 好きだ,嫌いだ
# 晴天 > 雪 > 雨 > 雷 > 霜 > 強風 > 霧
晴天,1,雪,2,雨,3,雷,4,霜,5,強風,6,霧,7
# 珍しい,珍しくない
# 霧 > 雪 > 雷 > 霜 > 晴天 > 雨 > 強風
霧,1,雪,2,雷,3,霜,4,晴天,5,雨,6,強風,7
# 好きだ,嫌いだ
# 鶏肉 > 豚肉 > 牛肉 > ラム肉 > 馬肉
鶏肉,1,豚肉,2,牛肉,3,ラム肉,4,馬肉,5
# 高価だ,安価だ
# 牛肉 > 馬肉 > ラム肉 > 豚肉 > 鶏肉
牛肉,1,馬肉,2,ラム肉,3,豚肉,4,鶏肉,5
# 有名だ,無名だ
# 薬師寺 > 銀閣寺 > 善光寺 > 中尊寺 > 増上寺 > 東寺
薬師寺,1,銀閣寺,2,善光寺,3,中尊寺,4,増上寺,5,東寺,6
# 立派だ,立派でない
# 善光寺 > 薬師寺 > 銀閣寺 > 中尊寺 > 増上寺 > 東寺
善光寺,1,薬師寺,2,銀閣寺,3,中尊寺,4,増上寺,5,東寺,6
# メジャーだ,マイナーだ
# バスケ > サッカー > 野球 > テニス > バレー > 卓球 > 相撲
バスケ,1,サッカー,2,野球,3,テニス,4,バレー,5,卓球,6,相撲,7
# 得意だ,苦手だ
# バスケ > サッカー > テニス > 卓球 > 野球 > バレー > 相撲
バスケ,1,サッカー,2,テニス,3,卓球,4,野球,5,バレー,6,相撲,7
# 快適だ,不快だ
# 飛行機 > 新幹線 > 電車 > タクシー > バス
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,5
# 速い,遅い
# 飛行機 > 新幹線 > 電車 > タクシー > バス
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,5
# 安全だ,危険だ
# タクシー > バス > 電車 > 新幹線 > 飛行機
タクシー,1,バス,2,電車,3,新幹線,4,飛行機,5
# 可愛い,可愛くない
# 北乃きい > 南明奈 > 優香 > 釈由美子 > 吹石一恵 > 梨花 > 友近
北乃きい,1,南明奈,2,優香,3,釈由美子,4,吹石一恵,5,梨花,6,友近,7
# 面白い,つまらない
# 友近 > 梨花 > 釈由美子 > 優香 > 南明奈 > 吹石一恵 > 北乃きい
友近,1,梨花,2,釈由美子,3,優香,4,南明奈,5,吹石一恵,6,北乃きい,7
# 甘い,甘くない
# チョコレートケーキ > ショートケーキ > ロールケーキ > チーズケーキ > シフォンケーキ
チョコレートケーキ,1,ショートケーキ,2,ロールケーキ,3,チーズケーキ,4,シフォンケーキ,5
# 好きだ,嫌いだ
