# 大きい,小さい
# 白鳥 > ペンギン > ふくろう > にわとり >> すずめ
白鳥,1,ペンギン,2,ふくろう,3,にわとり,4,すずめ,5
# 可愛い,可愛くない
# ふくろう > ペンギン > 白鳥 = にわとり = すずめ
ふくろう,1,ペンギン,2,白鳥,3,にわとり,3,すずめ,3
# ヘルシーだ,ヘルシーでない
# もやし > 白菜 > ナス = 玉ねぎ = ほうれん草 = きゅうり > かぼちゃ
もやし,1,白菜,2,ナス,3,玉ねぎ,3,ほうれん草,3,きゅうり,3,かぼちゃ,7
# 美味しい,不味い
# ほうれん草 = きゅうり = もやし = 玉ねぎ = 白菜 = ナス = かぼちゃ
ほうれん草,1,きゅうり,1,もやし,1,玉ねぎ,1,白菜,1,ナス,1,かぼちゃ,1
# 甘い,甘くない
# メロン > イチゴ > みかん = りんご > さくらんぼ > 柿 = ぶどう
メロン,1,イチゴ,2,みかん,3,りんご,3,さくらんぼ,5,柿,6,ぶどう,6
# 大きい,小さい
# メロン > ぶどう > りんご > 柿 > みかん > イチゴ > さくらんぼ
メロン,1,ぶどう,2,りんご,3,柿,4,みかん,5,イチゴ,6,さくらんぼ,7
# かしこい,ばかだ
# 犬 > クジラ > 熊 > ライオン > ネズミ
犬,1,クジラ,2,熊,3,ライオン,4,ネズミ,5
# 大きい,小さい
# クジラ >> 熊 > ライオン >> 犬 >> ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# パール > サファイア > ガーネット > ターコイズ > オパール
パール,1,サファイア,2,ガーネット,3,ターコイズ,4,オパール,5
# 珍しい,珍しくない
# オパール > サファイア > パール > ガーネット > ターコイズ
オパール,1,サファイア,2,パール,3,ガーネット,4,ターコイズ,5
# 優雅だ,優雅でない
# ハープ > ヴァイオリン > チェロ = フルート > クラリネット
ハープ,1,ヴァイオリン,2,チェロ,3,フルート,3,クラリネット,5
# 心地よい,不快だ
# ハープ > フルート = ヴァイオリン > チェロ > クラリネット
ハープ,1,フルート,2,ヴァイオリン,2,チェロ,4,クラリネット,5
# 綺麗だ,醜い
# サクラ = ひまわり = 桔梗 = すずらん > たんぽぽ
サクラ,1,ひまわり,1,桔梗,1,すずらん,1,たんぽぽ,5
# 好きだ,嫌いだ
# サクラ > ひまわり > たんぽぽ > すずらん > 桔梗
サクラ,1,ひまわり,2,たんぽぽ,3,すずらん,4,桔梗,5
# 美味しい,不味い
# コメダ > サンマルク > タリーズ > ドトール > ルノアール
コメダ,1,サンマルク,2,タリーズ,3,ドトール,4,ルノアール,5
# 高い,安い
# コメダ = ルノアール > ドトール = サンマルク = タリーズ
コメダ,1,ルノアール,1,ドトール,3,サンマルク,3,タリーズ,3
# 好調だ,不調だ
# キャノン > 日立製作所 > エプソン > 富士通 = ソニー > パナソニック > 東芝
キャノン,1,日立製作所,2,エプソン,3,富士通,4,ソニー,4,パナソニック,6,東芝,7
# 新しい,古い
# ソニー > パナソニック > 東芝 = 富士通 > エプソン > キャノン > 日立製作所
ソニー,1,パナソニック,2,東芝,3,富士通,3,エプソン,5,キャノン,6,日立製作所,7
# 裕福だ,貧乏だ
# イギリス > スペイン > アメリカ > 中国 > タイ = インド > ロシア
イギリス,1,スペイン,2,アメリカ,3,中国,4,タイ,5,インド,5,ロシア,7
# 広大だ,せまい
# 中国 > アメリカ > ロシア >> スペイン > インド = イギリス > タイ
中国,1,アメリカ,2,ロシア,3,スペイン,4,インド,5,イギリス,5,タイ,7
# 暖かい,寒い
# タイ > インド > スペイン = アメリカ = イギリス > 中国 > ロシア
タイ,1,インド,2,スペイン,3,アメリカ,3,イギリス,3,中国,6,ロシア,7
# 好調だ,不調だ
# マツダ > ダイハツ > トヨタ = ホンダ > ヤマハ
マツダ,1,ダイハツ,2,トヨタ,3,ホンダ,3,ヤマハ,5
# 有名だ,無名だ
# トヨタ > ホンダ > マツダ = ダイハツ > ヤマハ
トヨタ,1,ホンダ,2,マツダ,3,ダイハツ,3,ヤマハ,5
# 美味しい,不味い
# ビール = チューハイ > ハイボール > ウイスキー = 日本酒
ビール,1,チューハイ,1,ハイボール,3,ウイスキー,4,日本酒,4
# 高価だ,安価だ
# 日本酒 = ウイスキー > ビール > チューハイ > ハイボール
日本酒,1,ウイスキー,1,ビール,3,チューハイ,4,ハイボール,5
# 好きだ,嫌いだ
# ラーメン = カレー > チャーハン > ピザ = ハンバーガー
ラーメン,1,カレー,1,チャーハン,3,ピザ,4,ハンバーガー,4
# 脂っこい,脂っこくない
# ラーメン = チャーハン > ハンバーガー = ピザ > カレー
ラーメン,1,チャーハン,1,ハンバーガー,3,ピザ,3,カレー,5
# 高価だ,安価だ
# エアコン > 洗濯機 > カーナビ > カメラ > プリンタ
エアコン,1,洗濯機,2,カーナビ,3,カメラ,4,プリンタ,5
# うるさい,静かだ
# 洗濯機 > カーナビ > プリンタ = エアコン > カメラ
洗濯機,1,カーナビ,2,プリンタ,3,エアコン,3,カメラ,5
# 好きだ,嫌いだ
# 晴天 >> 霜 > 雪 = 雨 > 雷 = 霧 = 強風
晴天,1,霜,2,雪,3,雨,3,雷,5,霧,5,強風,5
# 珍しい,珍しくない
# 雪 = 雷 = 霧 = 強風 = 霜 >> 晴天 = 雨
雪,1,雷,1,霧,1,強風,1,霜,1,晴天,6,雨,6
# 好きだ,嫌いだ
# 豚肉 = 鶏肉 = 牛肉 >> ラム肉 = 馬肉
豚肉,1,鶏肉,1,牛肉,1,ラム肉,4,馬肉,4
# 高価だ,安価だ
# 馬肉 > 牛肉 > 鶏肉 = ラム肉 > 豚肉
馬肉,1,牛肉,2,鶏肉,3,ラム肉,3,豚肉,5
# 有名だ,無名だ
# 中尊寺 = 銀閣寺 > 増上寺 = 東寺 > 善光寺 > 薬師寺
中尊寺,1,銀閣寺,1,増上寺,3,東寺,3,善光寺,5,薬師寺,6
# 立派だ,立派でない
# 銀閣寺 = 中尊寺 > 増上寺 = 善光寺 = 東寺 > 薬師寺
銀閣寺,1,中尊寺,1,増上寺,3,善光寺,3,東寺,3,薬師寺,6
# メジャーだ,マイナーだ
# 野球 = サッカー > テニス > バスケ = バレー > 卓球 > 相撲
野球,1,サッカー,1,テニス,3,バスケ,4,バレー,4,卓球,6,相撲,7
# 得意だ,苦手だ
# サッカー = 野球 = 相撲 > 卓球 > バスケ > テニス > バレー
サッカー,1,野球,1,相撲,1,卓球,4,バスケ,5,テニス,6,バレー,7
# 快適だ,不快だ
# 飛行機 = 新幹線 > タクシー > 電車 = バス
飛行機,1,新幹線,1,タクシー,3,電車,4,バス,4
# 速い,遅い
# 飛行機 > 新幹線 > 電車 > タクシー > バス
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,5
# 安全だ,危険だ
# 新幹線 > 電車 > タクシー > バス > 飛行機
新幹線,1,電車,2,タクシー,3,バス,4,飛行機,5
# 可愛い,可愛くない
# 北乃きい > 優香 > 吹石一恵 > 南明奈 > 友近 = 梨花 = 釈由美子
