# 大きい,小さい
# ペンギン > 白鳥 > ふくろう > にわとり > すずめ
ペンギン,1,白鳥,2,ふくろう,3,にわとり,4,すずめ,5
# 可愛い,可愛くない
# ふくろう > ペンギン = すずめ > にわとり > 白鳥
ふくろう,1,ペンギン,2,すずめ,2,にわとり,4,白鳥,5
# ヘルシーだ,ヘルシーでない
# もやし > きゅうり > ほうれん草 > 白菜 > ナス > 玉ねぎ > かぼちゃ
もやし,1,きゅうり,2,ほうれん草,3,白菜,4,ナス,5,玉ねぎ,6,かぼちゃ,7
# 美味しい,不味い
# 玉ねぎ > もやし > かぼちゃ > きゅうり > ほうれん草 > ナス > 白菜
玉ねぎ,1,もやし,2,かぼちゃ,3,きゅうり,4,ほうれん草,5,ナス,6,白菜,7
# 甘い,甘くない
# イチゴ > メロン > さくらんぼ > ぶどう > みかん > りんご > 柿
イチゴ,1,メロン,2,さくらんぼ,3,ぶどう,4,みかん,5,りんご,6,柿,7
# 大きい,小さい
# メロン > りんご > ぶどう > 柿 > みかん > イチゴ > さくらんぼ
メロン,1,りんご,2,ぶどう,3,柿,4,みかん,5,イチゴ,6,さくらんぼ,7
# かしこい,ばかだ
# クジラ > 熊 > ライオン > 犬 > ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 大きい,小さい
# クジラ > 熊 > ライオン > 犬 > ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# パール > サファイア > オパール > ターコイズ > ガーネット
パール,1,サファイア,2,オパール,3,ターコイズ,4,ガーネット,5
# 珍しい,珍しくない
# サファイア > オパール > ターコイズ > ガーネット > パール
サファイア,1,オパール,2,ターコイズ,3,ガーネット,4,パール,5
# 優雅だ,優雅でない
# ヴァイオリン > チェロ > ハープ > クラリネット > フルート
ヴァイオリン,1,チェロ,2,ハープ,3,クラリネット,4,フルート,5
# 心地よい,不快だ
# ハープ = ヴァイオリン > チェロ > クラリネット > フルート
ハープ,1,ヴァイオリン,1,チェロ,3,クラリネット,4,フルート,5
# 綺麗だ,醜い
# 桔梗 > たんぽぽ > すずらん > サクラ = ひまわり
桔梗,1,たんぽぽ,2,すずらん,3,サクラ,4,ひまわり,4
# 好きだ,嫌いだ
# 桔梗 > たんぽぽ > すずらん > ひまわり > サクラ
桔梗,1,たんぽぽ,2,すずらん,3,ひまわり,4,サクラ,5
# 美味しい,不味い
# コメダ > ドトール = ルノアール > サンマルク > タリーズ
コメダ,1,ドトール,2,ルノアール,2,サンマルク,4,タリーズ,5
# 高い,安い
# ドトール > サンマルク > タリーズ > ルノアール > コメダ
ドトール,1,サンマルク,2,タリーズ,3,ルノアール,4,コメダ,5
# 好調だ,不調だ
# キャノン > エプソン > パナソニック = 東芝 > 富士通 > 日立製作所 > ソニー
キャノン,1,エプソン,2,パナソニック,3,東芝,3,富士通,5,日立製作所,6,ソニー,7
# 新しい,古い
# 富士通 > 東芝 > キャノン = エプソン > ソニー > 日立製作所 > パナソニック
富士通,1,東芝,2,キャノン,3,エプソン,3,ソニー,5,日立製作所,6,パナソニック,7
# 裕福だ,貧乏だ
# アメリカ > イギリス > スペイン > ロシア > 中国 > インド > タイ
アメリカ,1,イギリス,2,スペイン,3,ロシア,4,中国,5,インド,6,タイ,7
# 広大だ,せまい
# ロシア > アメリカ > 中国 > インド > スペイン > イギリス > タイ
ロシア,1,アメリカ,2,中国,3,インド,4,スペイン,5,イギリス,6,タイ,7
# 暖かい,寒い
# インド > タイ > 中国 > アメリカ = スペイン > イギリス > ロシア
インド,1,タイ,2,中国,3,アメリカ,4,スペイン,4,イギリス,6,ロシア,7
# 好調だ,不調だ
# トヨタ > ダイハツ > ホンダ > ヤマハ > マツダ
トヨタ,1,ダイハツ,2,ホンダ,3,ヤマハ,4,マツダ,5
# 有名だ,無名だ
# トヨタ > ヤマハ > ホンダ > マツダ > ダイハツ
トヨタ,1,ヤマハ,2,ホンダ,3,マツダ,4,ダイハツ,5
# 美味しい,不味い
# チューハイ > 日本酒 > ハイボール > ウイスキー = ビール
チューハイ,1,日本酒,2,ハイボール,3,ウイスキー,4,ビール,4
# 高価だ,安価だ
# 日本酒 > ウイスキー > ハイボール > ビール > チューハイ
日本酒,1,ウイスキー,2,ハイボール,3,ビール,4,チューハイ,5
# 好きだ,嫌いだ
# カレー > ラーメン > チャーハン > ハンバーガー > ピザ
カレー,1,ラーメン,2,チャーハン,3,ハンバーガー,4,ピザ,5
# 脂っこい,脂っこくない
# ラーメン > カレー > ハンバーガー > ピザ > チャーハン
ラーメン,1,カレー,2,ハンバーガー,3,ピザ,4,チャーハン,5
# 高価だ,安価だ
# エアコン > 洗濯機 > カメラ > プリンタ > カーナビ
エアコン,1,洗濯機,2,カメラ,3,プリンタ,4,カーナビ,5
# うるさい,静かだ
# 洗濯機 > エアコン > プリンタ > カーナビ > カメラ
洗濯機,1,エアコン,2,プリンタ,3,カーナビ,4,カメラ,5
# 好きだ,嫌いだ
# 雨 > 雪 > 霧 > 霜 > 晴天 > 強風 > 雷
雨,1,雪,2,霧,3,霜,4,晴天,5,強風,6,雷,7
# 珍しい,珍しくない
# 雪 > 雷 > 霜 > 霧 > 強風 > 雨 > 晴天
雪,1,雷,2,霜,3,霧,4,強風,5,雨,6,晴天,7
# 好きだ,嫌いだ
# 牛肉 > 豚肉 > 鶏肉 > 馬肉 > ラム肉
牛肉,1,豚肉,2,鶏肉,3,馬肉,4,ラム肉,5
# 高価だ,安価だ
# 牛肉 > ラム肉 > 馬肉 > 豚肉 > 鶏肉
牛肉,1,ラム肉,2,馬肉,3,豚肉,4,鶏肉,5
# 有名だ,無名だ
# 銀閣寺 > 中尊寺 > 東寺 > 薬師寺 > 善光寺 > 増上寺
銀閣寺,1,中尊寺,2,東寺,3,薬師寺,4,善光寺,5,増上寺,6
# 立派だ,立派でない
# 善光寺 > 銀閣寺 > 薬師寺 > 中尊寺 > 増上寺 > 東寺
善光寺,1,銀閣寺,2,薬師寺,3,中尊寺,4,増上寺,5,東寺,6
# メジャーだ,マイナーだ
# テニス > バレー > サッカー > 野球 = バスケ > 相撲 = 卓球
テニス,1,バレー,2,サッカー,3,野球,4,バスケ,4,相撲,6,卓球,6
# 得意だ,苦手だ
# 卓球 > バスケ > バレー > 野球 > サッカー > テニス > 相撲
卓球,1,バスケ,2,バレー,3,野球,4,サッカー,5,テニス,6,相撲,7
# 快適だ,不快だ
# 新幹線 > 飛行機 > タクシー > 電車 > バス
新幹線,1,飛行機,2,タクシー,3,電車,4,バス,5
# 速い,遅い
# 飛行機 > 新幹線 > 電車 > タクシー > バス
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,5
# 安全だ,危険だ
