# 大きい,小さい
# 白鳥 > ペンギン > にわとり > ふくろう >> すずめ
白鳥,1,ペンギン,2,にわとり,3,ふくろう,4,すずめ,5
# 可愛い,可愛くない
# ふくろう >> すずめ > ペンギン > 白鳥 >> にわとり
ふくろう,1,すずめ,2,ペンギン,3,白鳥,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# ほうれん草 > かぼちゃ > 玉ねぎ >> ナス > きゅうり > 白菜 > もやし
ほうれん草,1,かぼちゃ,2,玉ねぎ,3,ナス,4,きゅうり,5,白菜,6,もやし,7
# 美味しい,不味い
# ナス >> 玉ねぎ > もやし > ほうれん草 > 白菜 >> かぼちゃ > きゅうり
ナス,1,玉ねぎ,2,もやし,3,ほうれん草,4,白菜,5,かぼちゃ,6,きゅうり,7
# 甘い,甘くない
# メロン > ぶどう > 柿 > さくらんぼ > みかん > イチゴ > りんご
メロン,1,ぶどう,2,柿,3,さくらんぼ,4,みかん,5,イチゴ,6,りんご,7
# 大きい,小さい
# メロン > りんご > 柿 > みかん > イチゴ > ぶどう > さくらんぼ
メロン,1,りんご,2,柿,3,みかん,4,イチゴ,5,ぶどう,6,さくらんぼ,7
# かしこい,ばかだ
# 犬 > 熊 > ライオン > クジラ > ネズミ
犬,1,熊,2,ライオン,3,クジラ,4,ネズミ,5
# 大きい,小さい
# クジラ >> 熊 > ライオン > 犬 >> ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# パール > サファイア > オパール >> ガーネット > ターコイズ
パール,1,サファイア,2,オパール,3,ガーネット,4,ターコイズ,5
# 珍しい,珍しくない
# サファイア > パール > オパール > ガーネット > ターコイズ
サファイア,1,パール,2,オパール,3,ガーネット,4,ターコイズ,5
# 優雅だ,優雅でない
# ハープ > チェロ > フルート > ヴァイオリン >> クラリネット
ハープ,1,チェロ,2,フルート,3,ヴァイオリン,4,クラリネット,5
# 心地よい,不快だ
# ヴァイオリン > ハープ > チェロ > フルート > クラリネット
ヴァイオリン,1,ハープ,2,チェロ,3,フルート,4,クラリネット,5
# 綺麗だ,醜い
# サクラ > すずらん > 桔梗 > ひまわり > たんぽぽ
サクラ,1,すずらん,2,桔梗,3,ひまわり,4,たんぽぽ,5
# 好きだ,嫌いだ
# サクラ > ひまわり > すずらん > 桔梗 > たんぽぽ
サクラ,1,ひまわり,2,すずらん,3,桔梗,4,たんぽぽ,5
# 美味しい,不味い
# ドトール > サンマルク >> タリーズ > コメダ = ルノアール
ドトール,1,サンマルク,2,タリーズ,3,コメダ,4,ルノアール,4
# 高い,安い
