# 大きい,小さい
# ペンギン > 白鳥 > にわとり > ふくろう > すずめ
ペンギン,1,白鳥,2,にわとり,3,ふくろう,4,すずめ,5
# 可愛い,可愛くない
# ふくろう > すずめ > 白鳥 > にわとり > ペンギン
ふくろう,1,すずめ,2,白鳥,3,にわとり,4,ペンギン,5
# ヘルシーだ,ヘルシーでない
# 白菜 > ほうれん草 > もやし > 玉ねぎ > ナス > きゅうり > かぼちゃ
白菜,1,ほうれん草,2,もやし,3,玉ねぎ,4,ナス,5,きゅうり,6,かぼちゃ,7
# 美味しい,不味い
# 白菜 > 玉ねぎ > ナス > かぼちゃ > きゅうり = ほうれん草 > もやし
白菜,1,玉ねぎ,2,ナス,3,かぼちゃ,4,きゅうり,5,ほうれん草,5,もやし,7
# 甘い,甘くない
# 柿 > さくらんぼ > みかん > メロン > りんご > ぶどう > イチゴ
柿,1,さくらんぼ,2,みかん,3,メロン,4,りんご,5,ぶどう,6,イチゴ,7
# 大きい,小さい
# メロン > りんご > みかん = 柿 > イチゴ > ぶどう = さくらんぼ
メロン,1,りんご,2,みかん,3,柿,3,イチゴ,5,ぶどう,6,さくらんぼ,6
# かしこい,ばかだ
# クジラ > ネズミ > 犬 > ライオン = 熊
クジラ,1,ネズミ,2,犬,3,ライオン,4,熊,4
# 大きい,小さい
# クジラ >> 熊 = ライオン > 犬 >> ネズミ
クジラ,1,熊,2,ライオン,2,犬,4,ネズミ,5
# 上品だ,下品だ
# パール > サファイア > ターコイズ >> ガーネット >> オパール
パール,1,サファイア,2,ターコイズ,3,ガーネット,4,オパール,5
# 珍しい,珍しくない
# オパール > ターコイズ > ガーネット = サファイア > パール
オパール,1,ターコイズ,2,ガーネット,3,サファイア,3,パール,5
# 優雅だ,優雅でない
# ハープ > ヴァイオリン > チェロ > フルート > クラリネット
ハープ,1,ヴァイオリン,2,チェロ,3,フルート,4,クラリネット,5
# 心地よい,不快だ
# ヴァイオリン >> ハープ > フルート > チェロ = クラリネット
ヴァイオリン,1,ハープ,2,フルート,3,チェロ,4,クラリネット,4
# 綺麗だ,醜い
# サクラ > すずらん > 桔梗 >> ひまわり = たんぽぽ
サクラ,1,すずらん,2,桔梗,3,ひまわり,4,たんぽぽ,4
# 好きだ,嫌いだ
# サクラ > すずらん > ひまわり > たんぽぽ = 桔梗
サクラ,1,すずらん,2,ひまわり,3,たんぽぽ,4,桔梗,4
# 美味しい,不味い
# ドトール > サンマルク > タリーズ > ルノアール = コメダ
ドトール,1,サンマルク,2,タリーズ,3,ルノアール,4,コメダ,4
# 高い,安い
# サンマルク > ドトール > ルノアール = タリーズ = コメダ
サンマルク,1,ドトール,2,ルノアール,3,タリーズ,3,コメダ,3
# 好調だ,不調だ
# 富士通 > ソニー > 日立製作所 > パナソニック = キャノン = エプソン > 東芝
富士通,1,ソニー,2,日立製作所,3,パナソニック,4,キャノン,4,エプソン,4,東芝,7
# 新しい,古い
# パナソニック > 富士通 = ソニー > キャノン = エプソン > 日立製作所 > 東芝
パナソニック,1,富士通,2,ソニー,2,キャノン,4,エプソン,4,日立製作所,6,東芝,7
# 裕福だ,貧乏だ
