# 大きい,小さい
# ペンギン > にわとり > 白鳥 > ふくろう > すずめ
ペンギン,1,にわとり,2,白鳥,3,ふくろう,4,すずめ,5
# 可愛い,可愛くない
# ペンギン > すずめ > ふくろう > にわとり > 白鳥
ペンギン,1,すずめ,2,ふくろう,3,にわとり,4,白鳥,5
# ヘルシーだ,ヘルシーでない
# きゅうり > もやし > ナス > ほうれん草 > 玉ねぎ > 白菜 > かぼちゃ
きゅうり,1,もやし,2,ナス,3,ほうれん草,4,玉ねぎ,5,白菜,6,かぼちゃ,7
# 美味しい,不味い
# きゅうり > ナス > かぼちゃ > もやし = 玉ねぎ > ほうれん草 = 白菜
きゅうり,1,ナス,2,かぼちゃ,3,もやし,4,玉ねぎ,4,ほうれん草,6,白菜,6
# 甘い,甘くない
# メロン > さくらんぼ > 柿 > ぶどう > りんご > イチゴ > みかん
メロン,1,さくらんぼ,2,柿,3,ぶどう,4,りんご,5,イチゴ,6,みかん,7
# 大きい,小さい
# メロン >> りんご > 柿 > みかん > イチゴ > ぶどう > さくらんぼ
メロン,1,りんご,2,柿,3,みかん,4,イチゴ,5,ぶどう,6,さくらんぼ,7
# かしこい,ばかだ
# クジラ > 犬 > 熊 > ライオン > ネズミ
クジラ,1,犬,2,熊,3,ライオン,4,ネズミ,5
# 大きい,小さい
# クジラ >> 熊 > ライオン > 犬 > ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# オパール > パール > サファイア > ガーネット > ターコイズ
オパール,1,パール,2,サファイア,3,ガーネット,4,ターコイズ,5
# 珍しい,珍しくない
# オパール > サファイア > パール > ガーネット > ターコイズ
オパール,1,サファイア,2,パール,3,ガーネット,4,ターコイズ,5
# 優雅だ,優雅でない
# ヴァイオリン > ハープ > フルート > チェロ = クラリネット
ヴァイオリン,1,ハープ,2,フルート,3,チェロ,4,クラリネット,4
# 心地よい,不快だ
# フルート > ハープ > ヴァイオリン > チェロ = クラリネット
フルート,1,ハープ,2,ヴァイオリン,3,チェロ,4,クラリネット,4
# 綺麗だ,醜い
# サクラ = ひまわり = すずらん > たんぽぽ > 桔梗
サクラ,1,ひまわり,1,すずらん,1,たんぽぽ,4,桔梗,5
# 好きだ,嫌いだ
# サクラ > すずらん > ひまわり = たんぽぽ >> 桔梗
サクラ,1,すずらん,2,ひまわり,3,たんぽぽ,3,桔梗,5
# 美味しい,不味い
# ドトール = ルノアール > タリーズ = コメダ = サンマルク
ドトール,1,ルノアール,1,タリーズ,3,コメダ,3,サンマルク,3
# 高い,安い
# ルノアール > ドトール > タリーズ > サンマルク = コメダ
ルノアール,1,ドトール,2,タリーズ,3,サンマルク,4,コメダ,4
# 好調だ,不調だ
# 日立製作所 > パナソニック > キャノン > ソニー > エプソン > 富士通 >> 東芝
日立製作所,1,パナソニック,2,キャノン,3,ソニー,4,エプソン,5,富士通,6,東芝,7
# 新しい,古い
# パナソニック > キャノン > 日立製作所 >> エプソン > ソニー > 富士通 > 東芝
パナソニック,1,キャノン,2,日立製作所,3,エプソン,4,ソニー,5,富士通,6,東芝,7
# 裕福だ,貧乏だ
# アメリカ > イギリス > 中国 > スペイン > インド > ロシア > タイ
アメリカ,1,イギリス,2,中国,3,スペイン,4,インド,5,ロシア,6,タイ,7
# 広大だ,せまい
# 中国 > ロシア > アメリカ > インド > タイ > イギリス > スペイン
中国,1,ロシア,2,アメリカ,3,インド,4,タイ,5,イギリス,6,スペイン,7
# 暖かい,寒い
# インド > スペイン > タイ > イギリス > アメリカ = 中国 >> ロシア
インド,1,スペイン,2,タイ,3,イギリス,4,アメリカ,5,中国,5,ロシア,7
# 好調だ,不調だ
# トヨタ >> ホンダ > ヤマハ > マツダ >> ダイハツ
トヨタ,1,ホンダ,2,ヤマハ,3,マツダ,4,ダイハツ,5
# 有名だ,無名だ
# トヨタ > ホンダ > マツダ > ヤマハ > ダイハツ
トヨタ,1,ホンダ,2,マツダ,3,ヤマハ,4,ダイハツ,5
# 美味しい,不味い
# ビール >> チューハイ > 日本酒 > ハイボール = ウイスキー
ビール,1,チューハイ,2,日本酒,3,ハイボール,4,ウイスキー,4
# 高価だ,安価だ
# ウイスキー > 日本酒 > ビール > ハイボール = チューハイ
ウイスキー,1,日本酒,2,ビール,3,ハイボール,4,チューハイ,4
# 好きだ,嫌いだ
# ラーメン >> ハンバーガー > チャーハン > カレー = ピザ
ラーメン,1,ハンバーガー,2,チャーハン,3,カレー,4,ピザ,4
# 脂っこい,脂っこくない
# ラーメン > ピザ > ハンバーガー > カレー > チャーハン
ラーメン,1,ピザ,2,ハンバーガー,3,カレー,4,チャーハン,5
# 高価だ,安価だ
# カメラ > 洗濯機 > カーナビ > プリンタ = エアコン
カメラ,1,洗濯機,2,カーナビ,3,プリンタ,4,エアコン,4
# うるさい,静かだ
# 洗濯機 > エアコン > プリンタ = カーナビ > カメラ
洗濯機,1,エアコン,2,プリンタ,3,カーナビ,3,カメラ,5
# 好きだ,嫌いだ
# 晴天 > 霧 > 雨 > 霜 > 雷 = 強風 > 雪
晴天,1,霧,2,雨,3,霜,4,雷,5,強風,5,雪,7
# 珍しい,珍しくない
# 雪 > 霜 > 雷 = 霧 >> 強風 > 雨 > 晴天
雪,1,霜,2,雷,3,霧,3,強風,5,雨,6,晴天,7
# 好きだ,嫌いだ
# 牛肉 = 豚肉 = 鶏肉 = ラム肉 >> 馬肉
牛肉,1,豚肉,1,鶏肉,1,ラム肉,1,馬肉,5
# 高価だ,安価だ
# 牛肉 > ラム肉 > 豚肉 = 鶏肉 > 馬肉
牛肉,1,ラム肉,2,豚肉,3,鶏肉,3,馬肉,5
# 有名だ,無名だ
# 銀閣寺 > 薬師寺 > 東寺 > 善光寺 > 中尊寺 >> 増上寺
銀閣寺,1,薬師寺,2,東寺,3,善光寺,4,中尊寺,5,増上寺,6
# 立派だ,立派でない
# 銀閣寺 > 薬師寺 > 中尊寺 > 善光寺 > 増上寺 = 東寺
銀閣寺,1,薬師寺,2,中尊寺,3,善光寺,4,増上寺,5,東寺,5
# メジャーだ,マイナーだ
# サッカー > テニス > バスケ > バレー > 野球 > 卓球 > 相撲
サッカー,1,テニス,2,バスケ,3,バレー,4,野球,5,卓球,6,相撲,7
# 得意だ,苦手だ
# バレー > 卓球 > 野球 > バスケ > テニス > サッカー >> 相撲
バレー,1,卓球,2,野球,3,バスケ,4,テニス,5,サッカー,6,相撲,7
# 快適だ,不快だ
# 飛行機 > 新幹線 > タクシー >> 電車 = バス
飛行機,1,新幹線,2,タクシー,3,電車,4,バス,4
# 速い,遅い
# 飛行機 >> 新幹線 > 電車 > タクシー > バス
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,5
# 安全だ,危険だ
# 新幹線 > 電車 > 飛行機 > バス > タクシー
新幹線,1,電車,2,飛行機,3,バス,4,タクシー,5
# 可愛い,可愛くない
# 南明奈 > 優香 > 梨花 > 北乃きい > 釈由美子 > 吹石一恵 > 友近
南明奈,1,優香,2,梨花,3,北乃きい,4,釈由美子,5,吹石一恵,6,友近,7
# 面白い,つまらない
# 友近 > 南明奈 > 吹石一恵 > 釈由美子 > 優香 > 北乃きい > 梨花
友近,1,南明奈,2,吹石一恵,3,釈由美子,4,優香,5,北乃きい,6,梨花,7
# 甘い,甘くない
# チョコレートケーキ > ロールケーキ > ショートケーキ > チーズケーキ = シフォンケーキ
チョコレートケーキ,1,ロールケーキ,2,ショートケーキ,3,チーズケーキ,4,シフォンケーキ,4
# 好きだ,嫌いだ
# チョコレートケーキ > チーズケーキ > ロールケーキ > ショートケーキ > シフォンケーキ
チョコレートケーキ,1,チーズケーキ,2,ロールケーキ,3,ショートケーキ,4,シフォンケーキ,5
# 美味しい,不味い
# マフィン > マカロン > ベーグル > スコーン = カステラ
マフィン,1,マカロン,2,ベーグル,3,スコーン,4,カステラ,4
# おしゃれだ,おしゃれでない
# マカロン > マフィン > スコーン > ベーグル >> カステラ
マカロン,1,マフィン,2,スコーン,3,ベーグル,4,カステラ,5
# 美味しい,不味い
# 緑茶 = 紅茶 > ココア > 抹茶 = オレンジジュース
緑茶,1,紅茶,1,ココア,3,抹茶,4,オレンジジュース,4
# 好きだ,嫌いだ
# 牛タン >> 串かつ > お好み焼き >> 讃岐うどん = カツカレー
牛タン,1,串かつ,2,お好み焼き,3,讃岐うどん,4,カツカレー,4
# 高価だ,安価だ
# 牛タン > お好み焼き > 串かつ > カツカレー > 讃岐うどん
牛タン,1,お好み焼き,2,串かつ,3,カツカレー,4,讃岐うどん,5
# 暖かい,寒い
# 沖縄 > 福岡 > 大阪 > 神戸 > 名古屋 > 東京 >> 札幌
沖縄,1,福岡,2,大阪,3,神戸,4,名古屋,5,東京,6,札幌,7
# 遠い,近い
# 東京 > 大阪 > 名古屋 > 神戸 > 福岡 >> 沖縄 = 札幌
東京,1,大阪,2,名古屋,3,神戸,4,福岡,5,沖縄,6,札幌,6
# ヘルシーだ,ヘルシーでない
# インド料理 > タイ料理 > スペイン料理 > 韓国料理 > 中華料理
インド料理,1,タイ料理,2,スペイン料理,3,韓国料理,4,中華料理,5
# 辛い,辛くない
