# 大きい
白鳥,1,ペンギン,2,ふくろう,3,にわとり,4,すずめ,5
# 可愛い
ペンギン,1,ふくろう,2,すずめ,3,白鳥,4,にわとり,5
# ヘルシーだ
もやし,1,きゅうり,2,ほうれん草,3,白菜,4,玉ねぎ,5,ナス,6,かぼちゃ,7
# 美味しい
ナス,1,かぼちゃ,2,もやし,3,玉ねぎ,4,ほうれん草,5,白菜,6,きゅうり,7
# 甘い
メロン,1,イチゴ,2,ぶどう,3,柿,4,みかん,5,さくらんぼ,6,りんご,7
# 大きい
メロン,1,りんご,2,柿,3,みかん,4,ぶどう,5,イチゴ,6,さくらんぼ,7
# かしこい
犬,1,クジラ,2,ライオン,3,熊,4,ネズミ,5
# 大きい
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ
パール,1,サファイア,2,オパール,3,ガーネット,4,ターコイズ,5
# 珍しい
サファイア,1,オパール,2,ガーネット,3,ターコイズ,4,パール,5
# 優雅だ
ハープ,1,フルート,2,ヴァイオリン,3,チェロ,4,クラリネット,5
# 心地よい
ハープ,1,フルート,2,ヴァイオリン,3,チェロ,4,クラリネット,5
# 綺麗だ
サクラ,1,すずらん,2,ひまわり,3,桔梗,4,たんぽぽ,5
# 好きだ
サクラ,1,ひまわり,2,すずらん,3,たんぽぽ,4,桔梗,5
# 美味しい
コメダ,1,サンマルク,2,タリーズ,3,ドトール,4,ルノアール,5
# 高い
ルノアール,1,タリーズ,2,サンマルク,3,コメダ,4,ドトール,5
# 好調だ
キャノン,1,パナソニック,2,日立製作所,3,ソニー,4,富士通,5,エプソン,6,東芝,7
# 新しい
エプソン,1,キャノン,2,ソニー,3,パナソニック,4,富士通,5,東芝,6,日立製作所,7
# 裕福だ
アメリカ,1,イギリス,2,スペイン,3,中国,4,ロシア,5,インド,6,タイ,7
# 広大だ
ロシア,1,中国,2,アメリカ,3,インド,4,スペイン,5,タイ,6,イギリス,7
# 暖かい
インド,1,タイ,2,スペイン,3,アメリカ,4,中国,5,イギリス,6,ロシア,7
# 好調だ
トヨタ,1,ホンダ,2,ヤマハ,3,マツダ,4,ダイハツ,5
# 有名だ
トヨタ,1,ホンダ,2,ヤマハ,3,マツダ,4,ダイハツ,5
# 美味しい
チューハイ,1,ビール,2,ハイボール,3,日本酒,4,ウイスキー,5
# 高価だ
日本酒,1,ウイスキー,2,ビール,3,ハイボール,4,チューハイ,5
# 好きだ
ラーメン,1,カレー,2,ピザ,3,ハンバーガー,4,チャーハン,5
# 脂っこい
ラーメン,1,ピザ,2,チャーハン,3,ハンバーガー,4,カレー,5
# 高価だ
エアコン,1,洗濯機,2,カメラ,3,カーナビ,4,プリンタ,5
# うるさい
洗濯機,1,プリンタ,2,エアコン,3,カーナビ,4,カメラ,5
# 好きだ
晴天,1,雪,2,霜,3,霧,4,雨,5,強風,6,雷,7
# 珍しい
霜,1,雪,2,霧,3,雷,4,強風,5,雨,6,晴天,7
# 好きだ
牛肉,1,鶏肉,2,豚肉,3,馬肉,4,ラム肉,5
# 高価だ
馬肉,1,牛肉,2,ラム肉,3,豚肉,4,鶏肉,5
# 有名だ
銀閣寺,1,薬師寺,2,東寺,3,善光寺,4,中尊寺,5,増上寺,6
# 立派だ
銀閣寺,1,薬師寺,2,善光寺,3,中尊寺,4,東寺,5,増上寺,6
# メジャーだ
サッカー,1,野球,2,テニス,3,バスケ,4,バレー,5,相撲,6,卓球,7
# 得意だ
卓球,1,バスケ,2,テニス,3,サッカー,4,バレー,5,野球,6,相撲,7
# 快適だ
新幹線,1,飛行機,2,タクシー,3,電車,4,バス,5
# 速い
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,5
# 安全だ
新幹線,1,電車,2,飛行機,3,タクシー,4,バス,5
# 可愛い
北乃きい,1,優香,2,吹石一恵,3,南明奈,4,釈由美子,5,梨花,6,友近,7
# 面白い
友近,1,優香,2,梨花,3,南明奈,4,北乃きい,5,釈由美子,6,吹石一恵,7
# 甘い
チョコレートケーキ,1,ショートケーキ,2,ロールケーキ,3,シフォンケーキ,4,チーズケーキ,5
# 好きだ
ショートケーキ,1,チーズケーキ,2,チョコレートケーキ,3,シフォンケーキ,4,ロールケーキ,5
# 美味しい
カステラ,1,マフィン,2,ベーグル,3,スコーン,4,マカロン,5
# おしゃれだ
マカロン,1,マフィン,2,スコーン,3,ベーグル,4,カステラ,5
# 美味しい
ココア,1,紅茶,2,緑茶,3,オレンジジュース,4,抹茶,5
# 好きだ
お好み焼き,1,カツカレー,2,牛タン,3,讃岐うどん,4,串かつ,5
# 高価だ
牛タン,1,カツカレー,2,お好み焼き,3,串かつ,4,讃岐うどん,5
# 暖かい
沖縄,1,福岡,2,大阪,3,名古屋,4,神戸,5,東京,6,札幌,7
# 遠い
沖縄,1,札幌,2,福岡,3,東京,4,名古屋,5,神戸,6,大阪,7
# ヘルシーだ
タイ料理,1,スペイン料理,2,インド料理,3,韓国料理,4,中華料理,5
# 辛い
インド料理,1,韓国料理,2,中華料理,3,タイ料理,4,スペイン料理,5
# 優秀だ
宇宙飛行士,1,科学者,2,医師,3,作曲者,4,警察官,5
# 過酷だ
宇宙飛行士,1,医師,2,警察官,3,科学者,4,作曲者,5
# 面白い
となりのトトロ,1,風の谷のナウシカ,2,美女と野獣,3,スター・ウォーズ,4,不思議の国のアリス,5
# 新しい
美女と野獣,1,となりのトトロ,2,不思議の国のアリス,3,風の谷のナウシカ,4,スター・ウォーズ,5
# 必須だ
英語,1,国語,2,数学,3,体育,4,世界史,5
# 簡単だ
国語,1,体育,2,英語,3,世界史,4,数学,5
# 楽しい
BBQ,1,ドライブ,2,読書,3,釣り,4,サーフィン,5,ジョギング,6
# 有意義だ
