# 大きい
ペンギン,1,白鳥,2,ふくろう,3,にわとり,4,すずめ,5
# 可愛い
ペンギン,1,すずめ,2,ふくろう,3,白鳥,4,にわとり,5
# ヘルシーだ
もやし,1,ほうれん草,2,きゅうり,3,玉ねぎ,4,白菜,5,ナス,6,かぼちゃ,7
# 美味しい
ほうれん草,1,ナス,2,白菜,3,玉ねぎ,4,かぼちゃ,5,もやし,6,きゅうり,7
# 甘い
メロン,1,柿,2,ぶどう,3,イチゴ,4,みかん,5,りんご,6,さくらんぼ,7
# 大きい
メロン,1,りんご,2,柿,3,みかん,4,ぶどう,5,イチゴ,6,さくらんぼ,7
# かしこい
犬,1,クジラ,2,ライオン,3,熊,4,ネズミ,5
# 大きい
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ
サファイア,1,ガーネット,2,パール,3,オパール,4,ターコイズ,5
# 珍しい
サファイア,1,ガーネット,2,ターコイズ,3,オパール,4,パール,5
# 優雅だ
ヴァイオリン,1,ハープ,2,チェロ,3,フルート,4,クラリネット,5
# 心地よい
フルート,1,ハープ,2,ヴァイオリン,3,クラリネット,4,チェロ,5
# 綺麗だ
サクラ,1,桔梗,2,すずらん,3,ひまわり,4,たんぽぽ,5
# 好きだ
サクラ,1,ひまわり,2,たんぽぽ,3,すずらん,4,桔梗,5
# 美味しい
タリーズ,1,コメダ,2,ドトール,3,ルノアール,4,サンマルク,5
# 高い
ルノアール,1,タリーズ,2,コメダ,3,サンマルク,4,ドトール,5
# 好調だ
キャノン,1,日立製作所,2,パナソニック,3,富士通,4,ソニー,5,エプソン,6,東芝,7
# 新しい
キャノン,1,エプソン,2,ソニー,3,パナソニック,4,東芝,5,富士通,6,日立製作所,7
# 裕福だ
アメリカ,1,イギリス,2,スペイン,3,中国,4,ロシア,5,タイ,6,インド,7
# 広大だ
ロシア,1,アメリカ,2,中国,3,インド,4,スペイン,5,イギリス,6,タイ,7
# 暖かい
インド,1,タイ,2,スペイン,3,中国,4,アメリカ,5,イギリス,6,ロシア,7
# 好調だ
トヨタ,1,ホンダ,2,マツダ,3,ダイハツ,4,ヤマハ,5
# 有名だ
トヨタ,1,ホンダ,2,ヤマハ,3,マツダ,4,ダイハツ,5
# 美味しい
チューハイ,1,ビール,2,ハイボール,3,日本酒,4,ウイスキー,5
# 高価だ
ウイスキー,1,日本酒,2,ハイボール,3,ビール,4,チューハイ,5
# 好きだ
ラーメン,1,ピザ,2,チャーハン,3,カレー,4,ハンバーガー,5
# 脂っこい
ラーメン,1,チャーハン,2,ピザ,3,ハンバーガー,4,カレー,5
# 高価だ
洗濯機,1,エアコン,2,カーナビ,3,カメラ,4,プリンタ,5
# うるさい
洗濯機,1,プリンタ,2,エアコン,3,カーナビ,4,カメラ,5
# 好きだ
晴天,1,霧,2,霜,3,強風,4,雪,5,雨,6,雷,7
# 珍しい
霜,1,雪,2,霧,3,雷,4,強風,5,雨,6,晴天,7
# 好きだ
牛肉,1,鶏肉,2,豚肉,3,ラム肉,4,馬肉,5
# 高価だ
牛肉,1,馬肉,2,ラム肉,3,豚肉,4,鶏肉,5
# 有名だ
銀閣寺,1,善光寺,2,薬師寺,3,東寺,4,中尊寺,5,増上寺,6
# 立派だ
銀閣寺,1,善光寺,2,中尊寺,3,薬師寺,4,東寺,5,増上寺,6
# メジャーだ
サッカー,1,テニス,2,野球,3,バスケ,4,バレー,5,卓球,6,相撲,7
# 得意だ
バスケ,1,テニス,2,野球,3,卓球,4,サッカー,5,バレー,6,相撲,7
# 快適だ
新幹線,1,飛行機,2,タクシー,3,電車,4,バス,5
# 速い
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,5
# 安全だ
新幹線,1,飛行機,2,電車,3,バス,4,タクシー,5
# 可愛い
北乃きい,1,吹石一恵,2,優香,3,南明奈,4,釈由美子,5,友近,6,梨花,7
# 面白い
友近,1,優香,2,南明奈,3,梨花,4,北乃きい,5,釈由美子,6,吹石一恵,7
# 甘い
チョコレートケーキ,1,ショートケーキ,2,ロールケーキ,3,シフォンケーキ,4,チーズケーキ,5
# 好きだ
ショートケーキ,1,チーズケーキ,2,チョコレートケーキ,3,シフォンケーキ,4,ロールケーキ,5
# 美味しい
カステラ,1,マフィン,2,ベーグル,3,マカロン,4,スコーン,5
# おしゃれだ
マカロン,1,スコーン,2,マフィン,3,ベーグル,4,カステラ,5
# 美味しい
緑茶,1,紅茶,2,ココア,3,オレンジジュース,4,抹茶,5
# 好きだ
お好み焼き,1,カツカレー,2,串かつ,3,牛タン,4,讃岐うどん,5
# 高価だ
牛タン,1,カツカレー,2,お好み焼き,3,讃岐うどん,4,串かつ,5
# 暖かい
沖縄,1,大阪,2,福岡,3,神戸,4,名古屋,5,東京,6,札幌,7
# 遠い
沖縄,1,札幌,2,福岡,3,東京,4,名古屋,5,神戸,6,大阪,7
# ヘルシーだ
タイ料理,1,スペイン料理,2,インド料理,3,韓国料理,4,中華料理,5
# 辛い
インド料理,1,韓国料理,2,タイ料理,3,中華料理,4,スペイン料理,5
# 優秀だ
宇宙飛行士,1,医師,2,科学者,3,作曲者,4,警察官,5
# 過酷だ
宇宙飛行士,1,医師,2,警察官,3,科学者,4,作曲者,5
# 面白い
スター・ウォーズ,1,風の谷のナウシカ,2,となりのトトロ,3,不思議の国のアリス,4,美女と野獣,5
# 新しい
美女と野獣,1,となりのトトロ,2,スター・ウォーズ,3,不思議の国のアリス,4,風の谷のナウシカ,5
# 必須だ
英語,1,数学,2,国語,3,世界史,4,体育,5
# 簡単だ
体育,1,国語,2,世界史,3,数学,4,英語,5
# 楽しい
BBQ,1,ドライブ,2,釣り,3,読書,4,サーフィン,5,ジョギング,6
# 有意義だ
読書,1,ジョギング,2,釣り,3,BBQ,4,ドライブ,5,サーフィン,6
# 手軽だ
読書,1,ジョギング,2,ドライブ,3,釣り,4,BBQ,5,サーフィン,6
# 面白い
Youtube,1,Twitter,2,ニコ動,3,インスタグラム,4,Facebook,5
# 便利だ
Youtube,1,Twitter,2,Facebook,3,インスタグラム,4,ニコ動,5
# 面白い
ドラゴンボール,1,エヴァ,2,ジョジョ,3,GTO,4,セーラームーン,5,プリキュア,6
# 若い
安倍晋三,1,鳩山由紀夫,2,麻生太郎,3,小泉純一郎,4,田中角栄,5
# 好きだ
小泉純一郎,1,田中角栄,2,麻生太郎,3,安倍晋三,4,鳩山由紀夫,5
# 好調だ
グーグル,1,アップル,2,マイクロソフト,3,ヤフー,4,サムスン,5
# 不可欠だ
グーグル,1,マイクロソフト,2,ヤフー,3,アップル,4,サムスン,5
# 偉大だ
エジソン,1,ニュートン,2,坂本龍馬,3,聖徳太子,4,宮沢賢治,5
# 好きだ
坂本龍馬,1,ニュートン,2,エジソン,3,宮沢賢治,4,聖徳太子,5
# 面白い
明石家さんま,1,ビートたけし,2,島田紳助,3,タモリ,4,所ジョージ,5
# 若い
島田紳助,1,明石家さんま,2,所ジョージ,3,ビートたけし,4,タモリ,5
# 貴重だ
琵琶湖,1,出雲大社,2,皇居,3,大阪城,4,通天閣,5
# 新しい
江戸時代,1,鎌倉時代,2,平安時代,3,奈良時代,4,弥生時代,5
# 長い
弥生時代,1,江戸時代,2,平安時代,3,鎌倉時代,4,奈良時代,5
# 重要だ
優しさ,1,話し方,2,ルックス,3,服装,4,髪型,5
# 若い
羽生結弦,1,錦織圭,2,ダルビッシュ,3,内村航平,4,イチロー,5
# 素晴らしい
イチロー,1,錦織圭,2,内村航平,3,羽生結弦,4,ダルビッシュ,5
