query3: 23, r = Nan
query3: 47, r = Nan
query4: 20, r = Nan
query4: 44, r = Nan
query9: 3, r = Nan
query9: 41, r = Nan
query11: 0, r = Nan
query11: 3, r = Nan
query12: 3, r = Nan
query13: 44, r = Nan
query13: 48, r = Nan
query13: 49, r = Nan
query14: 49, r = Nan
query17: 48, r = Nan
query17: 49, r = Nan
query20: 49, r = Nan
query23: 4, r = Nan
query23: 47, r = Nan
query26: 14, r = Nan
query26: 47, r = Nan
query26: 49, r = Nan
query32: 11, r = Nan
query35: 49, r = Nan
query36: 49, r = Nan
query40: 48, r = Nan
query50: 4, r = Nan
query54: 4, r = Nan
query54: 47, r = Nan
query54: 48, r = Nan
query55: 48, r = Nan
query56: 48, r = Nan
query58: 4, r = Nan
query58: 20, r = Nan
query58: 48, r = Nan
query59: 20, r = Nan
query61: 47, r = Nan
query65: 40, r = Nan
query67: 6, r = Nan
query67: 11, r = Nan
query67: 47, r = Nan
query68: 49, r = Nan
query70: 48, r = Nan
query71: 43, r = Nan
query71: 49, r = Nan
query77: 49, r = Nan
query78: 49, r = Nan
query80: 14, r = Nan
query80: 30, r = Nan
query80: 47, r = Nan
query80: 49, r = Nan
