# 大きい,小さい
# 白鳥 > にわとり > ペンギン > ふくろう >> すずめ
白鳥,1,にわとり,2,ペンギン,3,ふくろう,4,すずめ,5
# 可愛い,可愛くない
# ペンギン > すずめ >> ふくろう > 白鳥 > にわとり
ペンギン,1,すずめ,2,ふくろう,3,白鳥,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# もやし > きゅうり > 白菜 > 玉ねぎ > ほうれん草 > ナス > かぼちゃ
もやし,1,きゅうり,2,白菜,3,玉ねぎ,4,ほうれん草,5,ナス,6,かぼちゃ,7
# 美味しい,不味い
# かぼちゃ > もやし > きゅうり > ナス > ほうれん草 > 白菜 > 玉ねぎ
かぼちゃ,1,もやし,2,きゅうり,3,ナス,4,ほうれん草,5,白菜,6,玉ねぎ,7
# 甘い,甘くない
# メロン > 柿 > りんご > さくらんぼ > ぶどう > イチゴ > みかん
メロン,1,柿,2,りんご,3,さくらんぼ,4,ぶどう,5,イチゴ,6,みかん,7
# 大きい,小さい
# メロン > りんご > みかん = 柿 > ぶどう > イチゴ > さくらんぼ
メロン,1,りんご,2,みかん,3,柿,3,ぶどう,5,イチゴ,6,さくらんぼ,7
# かしこい,ばかだ
# クジラ > ライオン > 犬 > 熊 >> ネズミ
クジラ,1,ライオン,2,犬,3,熊,4,ネズミ,5
# 大きい,小さい
# ライオン > クジラ > 熊 >> 犬 >> ネズミ
ライオン,1,クジラ,2,熊,3,犬,4,ネズミ,5
# 上品だ,下品だ
# パール > ガーネット > サファイア > オパール > ターコイズ
パール,1,ガーネット,2,サファイア,3,オパール,4,ターコイズ,5
# 珍しい,珍しくない
# オパール > サファイア > ガーネット > パール > ターコイズ
オパール,1,サファイア,2,ガーネット,3,パール,4,ターコイズ,5
# 優雅だ,優雅でない
# ハープ > フルート > チェロ > ヴァイオリン > クラリネット
ハープ,1,フルート,2,チェロ,3,ヴァイオリン,4,クラリネット,5
# 心地よい,不快だ
# フルート > ハープ > チェロ > ヴァイオリン > クラリネット
フルート,1,ハープ,2,チェロ,3,ヴァイオリン,4,クラリネット,5
# 綺麗だ,醜い
# サクラ > ひまわり > すずらん > たんぽぽ > 桔梗
サクラ,1,ひまわり,2,すずらん,3,たんぽぽ,4,桔梗,5
# 好きだ,嫌いだ
# ひまわり > サクラ > たんぽぽ > すずらん > 桔梗
ひまわり,1,サクラ,2,たんぽぽ,3,すずらん,4,桔梗,5
# 美味しい,不味い
# サンマルク > ドトール > タリーズ > コメダ > ルノアール
サンマルク,1,ドトール,2,タリーズ,3,コメダ,4,ルノアール,5
# 高い,安い
# タリーズ > サンマルク > ドトール > ルノアール > コメダ
タリーズ,1,サンマルク,2,ドトール,3,ルノアール,4,コメダ,5
# 好調だ,不調だ
# パナソニック >> キャノン > 富士通 > ソニー > 日立製作所 > エプソン > 東芝
パナソニック,1,キャノン,2,富士通,3,ソニー,4,日立製作所,5,エプソン,6,東芝,7
# 新しい,古い
# エプソン > キャノン > 富士通 > ソニー > 日立製作所 > パナソニック > 東芝
エプソン,1,キャノン,2,富士通,3,ソニー,4,日立製作所,5,パナソニック,6,東芝,7
# 裕福だ,貧乏だ
# スペイン > イギリス > アメリカ > 中国 > インド > タイ > ロシア
スペイン,1,イギリス,2,アメリカ,3,中国,4,インド,5,タイ,6,ロシア,7
# 広大だ,せまい
# ロシア > 中国 > アメリカ > イギリス > タイ > スペイン > インド
ロシア,1,中国,2,アメリカ,3,イギリス,4,タイ,5,スペイン,6,インド,7
# 暖かい,寒い
# タイ > インド > スペイン > アメリカ > イギリス > 中国 >> ロシア
タイ,1,インド,2,スペイン,3,アメリカ,4,イギリス,5,中国,6,ロシア,7
# 好調だ,不調だ
# ダイハツ > ホンダ > トヨタ > マツダ > ヤマハ
ダイハツ,1,ホンダ,2,トヨタ,3,マツダ,4,ヤマハ,5
# 有名だ,無名だ
# ダイハツ > ホンダ > トヨタ > マツダ > ヤマハ
ダイハツ,1,ホンダ,2,トヨタ,3,マツダ,4,ヤマハ,5
# 美味しい,不味い
# ハイボール > チューハイ > ビール > ウイスキー > 日本酒
ハイボール,1,チューハイ,2,ビール,3,ウイスキー,4,日本酒,5
# 高価だ,安価だ
# 日本酒 > ウイスキー > ビール > ハイボール > チューハイ
日本酒,1,ウイスキー,2,ビール,3,ハイボール,4,チューハイ,5
# 好きだ,嫌いだ
