# 大きい,小さい
# 白鳥 > ペンギン > ふくろう > にわとり > すずめ
白鳥,1,ペンギン,2,ふくろう,3,にわとり,4,すずめ,5
# 可愛い,可愛くない
# ペンギン > ふくろう > すずめ > 白鳥 > にわとり
ペンギン,1,ふくろう,2,すずめ,3,白鳥,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# ほうれん草 > もやし > きゅうり > 白菜 > 玉ねぎ = ナス > かぼちゃ
ほうれん草,1,もやし,2,きゅうり,3,白菜,4,玉ねぎ,5,ナス,5,かぼちゃ,7
# 美味しい,不味い
# 白菜 > ナス > かぼちゃ > きゅうり > ほうれん草 > もやし > 玉ねぎ
白菜,1,ナス,2,かぼちゃ,3,きゅうり,4,ほうれん草,5,もやし,6,玉ねぎ,7
# 甘い,甘くない
# メロン > ぶどう > イチゴ > 柿 > みかん > りんご > さくらんぼ
メロン,1,ぶどう,2,イチゴ,3,柿,4,みかん,5,りんご,6,さくらんぼ,7
# 大きい,小さい
# メロン > りんご > 柿 > みかん > イチゴ > ぶどう > さくらんぼ
メロン,1,りんご,2,柿,3,みかん,4,イチゴ,5,ぶどう,6,さくらんぼ,7
# かしこい,ばかだ
# 犬 > 熊 = ライオン > ネズミ > クジラ
犬,1,熊,2,ライオン,2,ネズミ,4,クジラ,5
# 大きい,小さい
# クジラ >> 熊 > ライオン > 犬 >> ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# パール > オパール > サファイア > ガーネット > ターコイズ
パール,1,オパール,2,サファイア,3,ガーネット,4,ターコイズ,5
# 珍しい,珍しくない
# オパール > サファイア > パール > ガーネット > ターコイズ
オパール,1,サファイア,2,パール,3,ガーネット,4,ターコイズ,5
# 優雅だ,優雅でない
# ハープ > フルート > クラリネット > ヴァイオリン > チェロ
ハープ,1,フルート,2,クラリネット,3,ヴァイオリン,4,チェロ,5
# 心地よい,不快だ
# ヴァイオリン > ハープ > フルート > クラリネット > チェロ
ヴァイオリン,1,ハープ,2,フルート,3,クラリネット,4,チェロ,5
# 綺麗だ,醜い
# サクラ > 桔梗 > すずらん > ひまわり > たんぽぽ
サクラ,1,桔梗,2,すずらん,3,ひまわり,4,たんぽぽ,5
# 好きだ,嫌いだ
# サクラ > ひまわり > すずらん > たんぽぽ > 桔梗
サクラ,1,ひまわり,2,すずらん,3,たんぽぽ,4,桔梗,5
# 美味しい,不味い
# コメダ > ドトール = サンマルク > ルノアール > タリーズ
コメダ,1,ドトール,2,サンマルク,2,ルノアール,4,タリーズ,5
# 高い,安い
# タリーズ > ルノアール > コメダ > ドトール > サンマルク
タリーズ,1,ルノアール,2,コメダ,3,ドトール,4,サンマルク,5
# 好調だ,不調だ
# キャノン > 日立製作所 > エプソン > 富士通 > ソニー = パナソニック >> 東芝
キャノン,1,日立製作所,2,エプソン,3,富士通,4,ソニー,5,パナソニック,5,東芝,7
# 新しい,古い
# エプソン > キャノン > ソニー > 富士通 > パナソニック > 東芝 > 日立製作所
エプソン,1,キャノン,2,ソニー,3,富士通,4,パナソニック,5,東芝,6,日立製作所,7
# 裕福だ,貧乏だ
# アメリカ > イギリス > 中国 > スペイン > ロシア > インド > タイ
アメリカ,1,イギリス,2,中国,3,スペイン,4,ロシア,5,インド,6,タイ,7
# 広大だ,せまい
# ロシア > 中国 > アメリカ > インド > スペイン > タイ > イギリス
ロシア,1,中国,2,アメリカ,3,インド,4,スペイン,5,タイ,6,イギリス,7
# 暖かい,寒い
# インド > タイ > スペイン > 中国 > アメリカ > イギリス >> ロシア
インド,1,タイ,2,スペイン,3,中国,4,アメリカ,5,イギリス,6,ロシア,7
# 好調だ,不調だ
# トヨタ > ホンダ > マツダ > ダイハツ > ヤマハ
トヨタ,1,ホンダ,2,マツダ,3,ダイハツ,4,ヤマハ,5
# 有名だ,無名だ
# トヨタ > ホンダ > マツダ > ヤマハ > ダイハツ
トヨタ,1,ホンダ,2,マツダ,3,ヤマハ,4,ダイハツ,5
# 美味しい,不味い
# チューハイ > ハイボール > ビール > 日本酒 > ウイスキー
チューハイ,1,ハイボール,2,ビール,3,日本酒,4,ウイスキー,5
# 高価だ,安価だ
# ウイスキー > 日本酒 > ビール > ハイボール > チューハイ
ウイスキー,1,日本酒,2,ビール,3,ハイボール,4,チューハイ,5
# 好きだ,嫌いだ
# ラーメン > カレー > チャーハン > ハンバーガー > ピザ
ラーメン,1,カレー,2,チャーハン,3,ハンバーガー,4,ピザ,5
# 脂っこい,脂っこくない
# ラーメン > ハンバーガー > ピザ > チャーハン > カレー
ラーメン,1,ハンバーガー,2,ピザ,3,チャーハン,4,カレー,5
# 高価だ,安価だ
# エアコン > カメラ > 洗濯機 > プリンタ > カーナビ
エアコン,1,カメラ,2,洗濯機,3,プリンタ,4,カーナビ,5
# うるさい,静かだ
# プリンタ > 洗濯機 > エアコン > カーナビ > カメラ
プリンタ,1,洗濯機,2,エアコン,3,カーナビ,4,カメラ,5
# 好きだ,嫌いだ
# 晴天 > 雪 > 霜 > 雨 > 強風 > 霧 >> 雷
晴天,1,雪,2,霜,3,雨,4,強風,5,霧,6,雷,7
# 珍しい,珍しくない
# 霧 > 霜 > 雪 > 強風 > 雷 > 雨 > 晴天
霧,1,霜,2,雪,3,強風,4,雷,5,雨,6,晴天,7
# 好きだ,嫌いだ
# 豚肉 > 鶏肉 > 牛肉 >> ラム肉 > 馬肉
豚肉,1,鶏肉,2,牛肉,3,ラム肉,4,馬肉,5
# 高価だ,安価だ
# 牛肉 > 馬肉 > ラム肉 > 豚肉 > 鶏肉
牛肉,1,馬肉,2,ラム肉,3,豚肉,4,鶏肉,5
# 有名だ,無名だ
# 銀閣寺 > 東寺 > 善光寺 > 薬師寺 > 増上寺 > 中尊寺
銀閣寺,1,東寺,2,善光寺,3,薬師寺,4,増上寺,5,中尊寺,6
# 立派だ,立派でない
# 善光寺 > 銀閣寺 > 東寺 > 薬師寺 > 増上寺 > 中尊寺
善光寺,1,銀閣寺,2,東寺,3,薬師寺,4,増上寺,5,中尊寺,6
# メジャーだ,マイナーだ
# サッカー > 野球 > 相撲 > テニス > バレー > バスケ > 卓球
