# 大きい,小さい
# 白鳥 > ペンギン > にわとり > ふくろう > すずめ
白鳥,1,ペンギン,2,にわとり,3,ふくろう,4,すずめ,5
# 可愛い,可愛くない
# ペンギン = すずめ > 白鳥 > ふくろう >> にわとり
ペンギン,1,すずめ,1,白鳥,3,ふくろう,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# ほうれん草 = きゅうり = もやし = 玉ねぎ = 白菜 = ナス > かぼちゃ
ほうれん草,1,きゅうり,1,もやし,1,玉ねぎ,1,白菜,1,ナス,1,かぼちゃ,7
# 美味しい,不味い
# ほうれん草 > きゅうり > 白菜 > 玉ねぎ > ナス > かぼちゃ > もやし
ほうれん草,1,きゅうり,2,白菜,3,玉ねぎ,4,ナス,5,かぼちゃ,6,もやし,7
# 甘い,甘くない
# イチゴ > みかん > メロン > さくらんぼ > ぶどう > りんご > 柿
イチゴ,1,みかん,2,メロン,3,さくらんぼ,4,ぶどう,5,りんご,6,柿,7
# 大きい,小さい
# メロン > ぶどう > りんご = 柿 > みかん > イチゴ > さくらんぼ
メロン,1,ぶどう,2,りんご,3,柿,3,みかん,5,イチゴ,6,さくらんぼ,7
# かしこい,ばかだ
# 犬 > クジラ > ネズミ > 熊 > ライオン
犬,1,クジラ,2,ネズミ,3,熊,4,ライオン,5
# 大きい,小さい
# クジラ >> 熊 > ライオン > 犬 > ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# オパール > パール > サファイア > ガーネット > ターコイズ
オパール,1,パール,2,サファイア,3,ガーネット,4,ターコイズ,5
# 珍しい,珍しくない
# オパール = ガーネット > サファイア > ターコイズ > パール
オパール,1,ガーネット,1,サファイア,3,ターコイズ,4,パール,5
# 優雅だ,優雅でない
# ハープ > ヴァイオリン = フルート = チェロ > クラリネット
ハープ,1,ヴァイオリン,2,フルート,2,チェロ,2,クラリネット,5
# 心地よい,不快だ
# チェロ = フルート = ハープ > クラリネット = ヴァイオリン
チェロ,1,フルート,1,ハープ,1,クラリネット,4,ヴァイオリン,4
# 綺麗だ,醜い
# サクラ > ひまわり > 桔梗 > すずらん > たんぽぽ
サクラ,1,ひまわり,2,桔梗,3,すずらん,4,たんぽぽ,5
# 好きだ,嫌いだ
# サクラ = ひまわり > すずらん > たんぽぽ > 桔梗
サクラ,1,ひまわり,1,すずらん,3,たんぽぽ,4,桔梗,5
# 美味しい,不味い
# ドトール = タリーズ > ルノアール = サンマルク > コメダ
ドトール,1,タリーズ,1,ルノアール,3,サンマルク,3,コメダ,5
# 高い,安い
# コメダ > ルノアール > タリーズ > ドトール > サンマルク
コメダ,1,ルノアール,2,タリーズ,3,ドトール,4,サンマルク,5
# 好調だ,不調だ
# ソニー = パナソニック = 東芝 = キャノン > 日立製作所 = 富士通 = エプソン
