# 大きい,小さい
# ペンギン > 白鳥 > にわとり > ふくろう > すずめ
ペンギン,1,白鳥,2,にわとり,3,ふくろう,4,すずめ,5
# 可愛い,可愛くない
# ペンギン = 白鳥 = ふくろう > にわとり = すずめ
ペンギン,1,白鳥,1,ふくろう,1,にわとり,4,すずめ,4
# ヘルシーだ,ヘルシーでない
# ほうれん草 = きゅうり = もやし = 玉ねぎ = 白菜 = ナス = かぼちゃ
ほうれん草,1,きゅうり,1,もやし,1,玉ねぎ,1,白菜,1,ナス,1,かぼちゃ,1
# 美味しい,不味い
# かぼちゃ > ほうれん草 = きゅうり = もやし = 玉ねぎ = 白菜 = ナス
かぼちゃ,1,ほうれん草,2,きゅうり,2,もやし,2,玉ねぎ,2,白菜,2,ナス,2
# 甘い,甘くない
# メロン > イチゴ > さくらんぼ > みかん = りんご = 柿 = ぶどう
メロン,1,イチゴ,2,さくらんぼ,3,みかん,4,りんご,4,柿,4,ぶどう,4
# 大きい,小さい
# メロン > りんご > 柿 > みかん > イチゴ = ぶどう > さくらんぼ
メロン,1,りんご,2,柿,3,みかん,4,イチゴ,5,ぶどう,5,さくらんぼ,7
# かしこい,ばかだ
# 犬 > クジラ > ネズミ > 熊 > ライオン
犬,1,クジラ,2,ネズミ,3,熊,4,ライオン,5
# 大きい,小さい
# クジラ >> 熊 = ライオン > 犬 >> ネズミ
クジラ,1,熊,2,ライオン,2,犬,4,ネズミ,5
# 上品だ,下品だ
# パール > オパール > サファイア > ガーネット > ターコイズ
パール,1,オパール,2,サファイア,3,ガーネット,4,ターコイズ,5
# 珍しい,珍しくない
# サファイア > ガーネット = パール = ターコイズ = オパール
サファイア,1,ガーネット,2,パール,2,ターコイズ,2,オパール,2
# 優雅だ,優雅でない
# ハープ = フルート > ヴァイオリン > チェロ > クラリネット
ハープ,1,フルート,1,ヴァイオリン,3,チェロ,4,クラリネット,5
# 心地よい,不快だ
# フルート = ヴァイオリン = チェロ = クラリネット >> ハープ
フルート,1,ヴァイオリン,1,チェロ,1,クラリネット,1,ハープ,5
# 綺麗だ,醜い
# サクラ > 桔梗 > すずらん > ひまわり > たんぽぽ
サクラ,1,桔梗,2,すずらん,3,ひまわり,4,たんぽぽ,5
# 好きだ,嫌いだ
# サクラ > 桔梗 > すずらん > ひまわり > たんぽぽ
サクラ,1,桔梗,2,すずらん,3,ひまわり,4,たんぽぽ,5
# 美味しい,不味い
# サンマルク > ドトール = タリーズ = コメダ = ルノアール
サンマルク,1,ドトール,2,タリーズ,2,コメダ,2,ルノアール,2
# 高い,安い
# ルノアール = サンマルク = タリーズ = コメダ >> ドトール
ルノアール,1,サンマルク,1,タリーズ,1,コメダ,1,ドトール,5
# 好調だ,不調だ
# ソニー = パナソニック = キャノン = エプソン = 富士通 = 日立製作所 >> 東芝
ソニー,1,パナソニック,1,キャノン,1,エプソン,1,富士通,1,日立製作所,1,東芝,7
# 新しい,古い
# エプソン > キャノン > パナソニック > ソニー > 富士通 > 東芝 > 日立製作所
エプソン,1,キャノン,2,パナソニック,3,ソニー,4,富士通,5,東芝,6,日立製作所,7
# 裕福だ,貧乏だ
# 中国 > アメリカ > タイ > インド > イギリス > スペイン > ロシア
中国,1,アメリカ,2,タイ,3,インド,4,イギリス,5,スペイン,6,ロシア,7
# 広大だ,せまい
# アメリカ > ロシア > 中国 > タイ > インド > イギリス > スペイン
アメリカ,1,ロシア,2,中国,3,タイ,4,インド,5,イギリス,6,スペイン,7
# 暖かい,寒い
# インド > タイ > スペイン >> アメリカ > イギリス > 中国 > ロシア
インド,1,タイ,2,スペイン,3,アメリカ,4,イギリス,5,中国,6,ロシア,7
# 好調だ,不調だ
# トヨタ > ダイハツ = ホンダ = マツダ > ヤマハ
トヨタ,1,ダイハツ,2,ホンダ,2,マツダ,2,ヤマハ,5
# 有名だ,無名だ
# トヨタ = ホンダ = ヤマハ = マツダ = ダイハツ
トヨタ,1,ホンダ,1,ヤマハ,1,マツダ,1,ダイハツ,1
# 美味しい,不味い
# ウイスキー > チューハイ > 日本酒 >> ハイボール > ビール
ウイスキー,1,チューハイ,2,日本酒,3,ハイボール,4,ビール,5
# 高価だ,安価だ
# ウイスキー > 日本酒 > ビール > ハイボール >> チューハイ
ウイスキー,1,日本酒,2,ビール,3,ハイボール,4,チューハイ,5
# 好きだ,嫌いだ
# ハンバーガー = ラーメン = チャーハン = カレー = ピザ
ハンバーガー,1,ラーメン,1,チャーハン,1,カレー,1,ピザ,1
# 脂っこい,脂っこくない
# ラーメン > ハンバーガー > チャーハン > ピザ > カレー
ラーメン,1,ハンバーガー,2,チャーハン,3,ピザ,4,カレー,5
# 高価だ,安価だ
# カメラ > カーナビ > 洗濯機 > エアコン > プリンタ
カメラ,1,カーナビ,2,洗濯機,3,エアコン,4,プリンタ,5
# うるさい,静かだ
# カーナビ > 洗濯機 > エアコン > カメラ > プリンタ
カーナビ,1,洗濯機,2,エアコン,3,カメラ,4,プリンタ,5
# 好きだ,嫌いだ
# 晴天 > 雷 > 雨 > 霧 >> 霜 = 雪 = 強風
晴天,1,雷,2,雨,3,霧,4,霜,5,雪,5,強風,5
# 珍しい,珍しくない
# 霧 > 雷 > 強風 > 霜 > 雪 > 雨 = 晴天
霧,1,雷,2,強風,3,霜,4,雪,5,雨,6,晴天,6
# 好きだ,嫌いだ
# 馬肉 > 牛肉 > 豚肉 > 鶏肉 >> ラム肉
馬肉,1,牛肉,2,豚肉,3,鶏肉,4,ラム肉,5
# 高価だ,安価だ
# 牛肉 > 馬肉 > 豚肉 > 鶏肉 > ラム肉
牛肉,1,馬肉,2,豚肉,3,鶏肉,4,ラム肉,5
# 有名だ,無名だ
# 銀閣寺 > 薬師寺 > 善光寺 > 中尊寺 > 増上寺 > 東寺
銀閣寺,1,薬師寺,2,善光寺,3,中尊寺,4,増上寺,5,東寺,6
# 立派だ,立派でない
# 中尊寺 > 銀閣寺 > 薬師寺 > 善光寺 > 増上寺 > 東寺
中尊寺,1,銀閣寺,2,薬師寺,3,善光寺,4,増上寺,5,東寺,6
# メジャーだ,マイナーだ
# 野球 = サッカー > バスケ > テニス > 相撲 = バレー > 卓球
野球,1,サッカー,1,バスケ,3,テニス,4,相撲,5,バレー,5,卓球,7
# 得意だ,苦手だ
# 卓球 > バスケ > バレー > サッカー > 野球 > テニス = 相撲
卓球,1,バスケ,2,バレー,3,サッカー,4,野球,5,テニス,6,相撲,6
# 快適だ,不快だ
# 新幹線 > 飛行機 >> タクシー > 電車 > バス
新幹線,1,飛行機,2,タクシー,3,電車,4,バス,5
# 速い,遅い
# 飛行機 >> 新幹線 > 電車 > タクシー > バス
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,5
# 安全だ,危険だ
# 新幹線 > 飛行機 >> タクシー > バス > 電車
新幹線,1,飛行機,2,タクシー,3,バス,4,電車,5
# 可愛い,可愛くない
# 優香 = 吹石一恵 > 北乃きい >> 友近 = 梨花 = 釈由美子 = 南明奈
優香,1,吹石一恵,1,北乃きい,3,友近,4,梨花,4,釈由美子,4,南明奈,4
# 面白い,つまらない
# 優香 >> 北乃きい = 友近 = 梨花 = 釈由美子 = 吹石一恵 > 南明奈
優香,1,北乃きい,2,友近,2,梨花,2,釈由美子,2,吹石一恵,2,南明奈,7
# 甘い,甘くない
# チョコレートケーキ > ロールケーキ > ショートケーキ > チーズケーキ > シフォンケーキ
チョコレートケーキ,1,ロールケーキ,2,ショートケーキ,3,チーズケーキ,4,シフォンケーキ,5
# 好きだ,嫌いだ
# ショートケーキ = チーズケーキ = チョコレートケーキ = シフォンケーキ >> ロールケーキ
ショートケーキ,1,チーズケーキ,1,チョコレートケーキ,1,シフォンケーキ,1,ロールケーキ,5
# 美味しい,不味い
# スコーン > マフィン > カステラ > ベーグル > マカロン
スコーン,1,マフィン,2,カステラ,3,ベーグル,4,マカロン,5
# おしゃれだ,おしゃれでない
# ベーグル > マカロン > スコーン > マフィン > カステラ
ベーグル,1,マカロン,2,スコーン,3,マフィン,4,カステラ,5
# 美味しい,不味い
# 紅茶 > 緑茶 > 抹茶 > オレンジジュース = ココア
紅茶,1,緑茶,2,抹茶,3,オレンジジュース,4,ココア,4
# 好きだ,嫌いだ
# 牛タン >> 串かつ > 讃岐うどん > お好み焼き > カツカレー
牛タン,1,串かつ,2,讃岐うどん,3,お好み焼き,4,カツカレー,5
# 高価だ,安価だ
# 牛タン > 串かつ > カツカレー > お好み焼き > 讃岐うどん
牛タン,1,串かつ,2,カツカレー,3,お好み焼き,4,讃岐うどん,5
# 暖かい,寒い
# 沖縄 >> 福岡 > 名古屋 > 大阪 > 神戸 > 東京 >> 札幌
沖縄,1,福岡,2,名古屋,3,大阪,4,神戸,5,東京,6,札幌,7
# 遠い,近い
# 沖縄 > 大阪 > 福岡 > 名古屋 > 神戸 > 東京 > 札幌
沖縄,1,大阪,2,福岡,3,名古屋,4,神戸,5,東京,6,札幌,7
# ヘルシーだ,ヘルシーでない
# スペイン料理 > タイ料理 > インド料理 > 中華料理 > 韓国料理
スペイン料理,1,タイ料理,2,インド料理,3,中華料理,4,韓国料理,5
# 辛い,辛くない
# 韓国料理 > インド料理 > 中華料理 > タイ料理 > スペイン料理
韓国料理,1,インド料理,2,中華料理,3,タイ料理,4,スペイン料理,5
# 優秀だ,優秀でない
# 警察官 = 医師 = 科学者 = 宇宙飛行士 = 作曲者
警察官,1,医師,1,科学者,1,宇宙飛行士,1,作曲者,1
# 過酷だ,過酷でない
# 宇宙飛行士 > 医師 > 警察官 > 作曲者 > 科学者
宇宙飛行士,1,医師,2,警察官,3,作曲者,4,科学者,5
# 面白い,つまらない
# 風の谷のナウシカ >> 美女と野獣 > 不思議の国のアリス > となりのトトロ >> スター・ウォーズ
風の谷のナウシカ,1,美女と野獣,2,不思議の国のアリス,3,となりのトトロ,4,スター・ウォーズ,5
# 新しい,古い
# 美女と野獣 > となりのトトロ > 風の谷のナウシカ > スター・ウォーズ >> 不思議の国のアリス
美女と野獣,1,となりのトトロ,2,風の谷のナウシカ,3,スター・ウォーズ,4,不思議の国のアリス,5
# 必須だ,無駄だ
# 国語 > 英語 > 数学 = 体育 > 世界史
国語,1,英語,2,数学,3,体育,3,世界史,5
# 簡単だ,難しい
# 国語 > 英語 > 数学 > 世界史 > 体育
国語,1,英語,2,数学,3,世界史,4,体育,5
# 楽しい,楽しくない
# 読書 > BBQ > ドライブ > ジョギング > 釣り > サーフィン
読書,1,BBQ,2,ドライブ,3,ジョギング,4,釣り,5,サーフィン,6
# 有意義だ,有意義でない
# 読書 = 釣り = ジョギング = サーフィン = BBQ = ドライブ
読書,1,釣り,1,ジョギング,1,サーフィン,1,BBQ,1,ドライブ,1
# 手軽だ,手軽でない
# 読書 = ドライブ > BBQ = ジョギング >> 釣り = サーフィン
読書,1,ドライブ,1,BBQ,3,ジョギング,3,釣り,5,サーフィン,5
# 面白い,つまらない
# Twitter > インスタグラム > Youtube > Facebook >> ニコ動
Twitter,1,インスタグラム,2,Youtube,3,Facebook,4,ニコ動,5
# 便利だ,便利でない
# Twitter > インスタグラム > Facebook > Youtube >> ニコ動
Twitter,1,インスタグラム,2,Facebook,3,Youtube,4,ニコ動,5
# 面白い,つまらない
# ドラゴンボール > プリキュア > セーラームーン = ジョジョ = エヴァ > GTO
ドラゴンボール,1,プリキュア,2,セーラームーン,3,ジョジョ,3,エヴァ,3,GTO,6
# 若い,若くない
# 小泉純一郎 > 麻生太郎 > 鳩山由紀夫 > 安倍晋三 >> 田中角栄
小泉純一郎,1,麻生太郎,2,鳩山由紀夫,3,安倍晋三,4,田中角栄,5
# 好きだ,嫌いだ
# 小泉純一郎 = 安倍晋三 = 麻生太郎 = 鳩山由紀夫 = 田中角栄
小泉純一郎,1,安倍晋三,1,麻生太郎,1,鳩山由紀夫,1,田中角栄,1
# 好調だ,不調だ
# アップル = グーグル = ヤフー = マイクロソフト >> サムスン
アップル,1,グーグル,1,ヤフー,1,マイクロソフト,1,サムスン,5
# 不可欠だ,不要だ
# アップル > グーグル > ヤフー > マイクロソフト >> サムスン
アップル,1,グーグル,2,ヤフー,3,マイクロソフト,4,サムスン,5
# 偉大だ,偉大でない
# エジソン = ニュートン = 宮沢賢治 > 聖徳太子 = 坂本龍馬
エジソン,1,ニュートン,1,宮沢賢治,1,聖徳太子,4,坂本龍馬,4
# 好きだ,嫌いだ
# 宮沢賢治 > エジソン = 聖徳太子 = 坂本龍馬 = ニュートン
宮沢賢治,1,エジソン,2,聖徳太子,2,坂本龍馬,2,ニュートン,2
# 面白い,つまらない
# ビートたけし = 明石家さんま > タモリ = 所ジョージ >> 島田紳助
ビートたけし,1,明石家さんま,1,タモリ,3,所ジョージ,3,島田紳助,5
# 若い,若くない
# 明石家さんま > 所ジョージ > ビートたけし > 島田紳助 >> タモリ
明石家さんま,1,所ジョージ,2,ビートたけし,3,島田紳助,4,タモリ,5
# 貴重だ,貴重でない
# 出雲大社 > 皇居 > 琵琶湖 > 大阪城 >> 通天閣
出雲大社,1,皇居,2,琵琶湖,3,大阪城,4,通天閣,5
# 新しい,古い
# 江戸時代 >> 鎌倉時代 > 平安時代 > 奈良時代 >> 弥生時代
江戸時代,1,鎌倉時代,2,平安時代,3,奈良時代,4,弥生時代,5
# 長い,短い
# 弥生時代 > 平安時代 > 江戸時代 > 鎌倉時代 >> 奈良時代
弥生時代,1,平安時代,2,江戸時代,3,鎌倉時代,4,奈良時代,5
# 重要だ,重要でない
# 優しさ > 話し方 > 髪型 > 服装 > ルックス
