# 大きい,小さい
# 白鳥 > ペンギン > にわとり > ふくろう >> すずめ
白鳥,1,ペンギン,2,にわとり,3,ふくろう,4,すずめ,5
# 可愛い,可愛くない
# ペンギン >> すずめ > 白鳥 > にわとり > ふくろう
ペンギン,1,すずめ,2,白鳥,3,にわとり,4,ふくろう,5
# ヘルシーだ,ヘルシーでない
# もやし > きゅうり > ほうれん草 = 白菜 = ナス = かぼちゃ = 玉ねぎ
もやし,1,きゅうり,2,ほうれん草,3,白菜,3,ナス,3,かぼちゃ,3,玉ねぎ,3
# 美味しい,不味い
# かぼちゃ > ほうれん草 > きゅうり > 玉ねぎ > ナス > 白菜 > もやし
かぼちゃ,1,ほうれん草,2,きゅうり,3,玉ねぎ,4,ナス,5,白菜,6,もやし,7
# 甘い,甘くない
# メロン > 柿 > ぶどう > さくらんぼ > イチゴ > みかん > りんご
メロン,1,柿,2,ぶどう,3,さくらんぼ,4,イチゴ,5,みかん,6,りんご,7
# 大きい,小さい
# メロン > ぶどう > りんご > 柿 > みかん > イチゴ > さくらんぼ
メロン,1,ぶどう,2,りんご,3,柿,4,みかん,5,イチゴ,6,さくらんぼ,7
# かしこい,ばかだ
# クジラ > 犬 > ライオン > 熊 > ネズミ
クジラ,1,犬,2,ライオン,3,熊,4,ネズミ,5
# 大きい,小さい
# クジラ >> ライオン > 熊 > 犬 >> ネズミ
クジラ,1,ライオン,2,熊,3,犬,4,ネズミ,5
# 上品だ,下品だ
# オパール > パール > サファイア > ガーネット > ターコイズ
オパール,1,パール,2,サファイア,3,ガーネット,4,ターコイズ,5
# 珍しい,珍しくない
# サファイア > ガーネット > オパール > パール > ターコイズ
サファイア,1,ガーネット,2,オパール,3,パール,4,ターコイズ,5
# 優雅だ,優雅でない
# ハープ > ヴァイオリン > チェロ > フルート > クラリネット
ハープ,1,ヴァイオリン,2,チェロ,3,フルート,4,クラリネット,5
# 心地よい,不快だ
# ヴァイオリン > クラリネット = ハープ = チェロ = フルート
ヴァイオリン,1,クラリネット,2,ハープ,2,チェロ,2,フルート,2
# 綺麗だ,醜い
# サクラ > ひまわり = 桔梗 = すずらん = たんぽぽ
サクラ,1,ひまわり,2,桔梗,2,すずらん,2,たんぽぽ,2
# 好きだ,嫌いだ
# サクラ >> たんぽぽ > すずらん > ひまわり > 桔梗
サクラ,1,たんぽぽ,2,すずらん,3,ひまわり,4,桔梗,5
# 美味しい,不味い
# タリーズ >> コメダ > ルノアール > ドトール = サンマルク
タリーズ,1,コメダ,2,ルノアール,3,ドトール,4,サンマルク,4
# 高い,安い
# ルノアール > タリーズ = コメダ > サンマルク = ドトール
ルノアール,1,タリーズ,2,コメダ,2,サンマルク,4,ドトール,4
# 好調だ,不調だ
# パナソニック > キャノン > 日立製作所 > エプソン > ソニー > 富士通 > 東芝
パナソニック,1,キャノン,2,日立製作所,3,エプソン,4,ソニー,5,富士通,6,東芝,7
# 新しい,古い
# エプソン > キャノン > 富士通 > 東芝 > ソニー > 日立製作所 > パナソニック
エプソン,1,キャノン,2,富士通,3,東芝,4,ソニー,5,日立製作所,6,パナソニック,7
# 裕福だ,貧乏だ
# アメリカ >> イギリス > インド > スペイン > 中国 > ロシア > タイ
アメリカ,1,イギリス,2,インド,3,スペイン,4,中国,5,ロシア,6,タイ,7
# 広大だ,せまい
# ロシア > アメリカ > 中国 > インド > スペイン > タイ > イギリス
ロシア,1,アメリカ,2,中国,3,インド,4,スペイン,5,タイ,6,イギリス,7
# 暖かい,寒い
# インド > タイ > スペイン > 中国 > アメリカ > イギリス > ロシア
インド,1,タイ,2,スペイン,3,中国,4,アメリカ,5,イギリス,6,ロシア,7
# 好調だ,不調だ
# トヨタ > ホンダ > マツダ > ダイハツ > ヤマハ
トヨタ,1,ホンダ,2,マツダ,3,ダイハツ,4,ヤマハ,5
# 有名だ,無名だ
# トヨタ >> ホンダ > マツダ > ダイハツ > ヤマハ
トヨタ,1,ホンダ,2,マツダ,3,ダイハツ,4,ヤマハ,5
# 美味しい,不味い
# ビール >> チューハイ > 日本酒 > ウイスキー > ハイボール
ビール,1,チューハイ,2,日本酒,3,ウイスキー,4,ハイボール,5
# 高価だ,安価だ
# ウイスキー > 日本酒 >> チューハイ = ビール = ハイボール
ウイスキー,1,日本酒,2,チューハイ,3,ビール,3,ハイボール,3
# 好きだ,嫌いだ
# カレー >> ハンバーガー > ラーメン > ピザ > チャーハン
カレー,1,ハンバーガー,2,ラーメン,3,ピザ,4,チャーハン,5
# 脂っこい,脂っこくない
# ラーメン > ピザ >> ハンバーガー > チャーハン > カレー
ラーメン,1,ピザ,2,ハンバーガー,3,チャーハン,4,カレー,5
# 高価だ,安価だ
# エアコン > 洗濯機 > カメラ > カーナビ > プリンタ
エアコン,1,洗濯機,2,カメラ,3,カーナビ,4,プリンタ,5
# うるさい,静かだ
# 洗濯機 > プリンタ > エアコン > カーナビ > カメラ
洗濯機,1,プリンタ,2,エアコン,3,カーナビ,4,カメラ,5
# 好きだ,嫌いだ
# 晴天 >> 雪 > 雨 > 霜 > 霧 > 強風 > 雷
晴天,1,雪,2,雨,3,霜,4,霧,5,強風,6,雷,7
# 珍しい,珍しくない
# 雪 > 雷 > 霧 > 霜 > 強風 >> 雨 > 晴天
雪,1,雷,2,霧,3,霜,4,強風,5,雨,6,晴天,7
# 好きだ,嫌いだ
# 牛肉 > 豚肉 > 鶏肉 > 馬肉 > ラム肉
牛肉,1,豚肉,2,鶏肉,3,馬肉,4,ラム肉,5
# 高価だ,安価だ
# 牛肉 > 馬肉 > 豚肉 > ラム肉 > 鶏肉
牛肉,1,馬肉,2,豚肉,3,ラム肉,4,鶏肉,5
# 有名だ,無名だ
# 銀閣寺 > 東寺 > 善光寺 > 薬師寺 > 中尊寺 > 増上寺
銀閣寺,1,東寺,2,善光寺,3,薬師寺,4,中尊寺,5,増上寺,6
# 立派だ,立派でない
# 東寺 > 増上寺 > 銀閣寺 > 善光寺 > 中尊寺 > 薬師寺
東寺,1,増上寺,2,銀閣寺,3,善光寺,4,中尊寺,5,薬師寺,6
# メジャーだ,マイナーだ
# 野球 >> サッカー >> 相撲 > バレー > テニス > 卓球 > バスケ
野球,1,サッカー,2,相撲,3,バレー,4,テニス,5,卓球,6,バスケ,7
# 得意だ,苦手だ
# テニス > サッカー > 卓球 > バスケ > バレー > 野球 > 相撲
テニス,1,サッカー,2,卓球,3,バスケ,4,バレー,5,野球,6,相撲,7
# 快適だ,不快だ
# 新幹線 > 電車 > バス > 飛行機 >> タクシー
新幹線,1,電車,2,バス,3,飛行機,4,タクシー,5
# 速い,遅い
# 飛行機 >> 新幹線 > 電車 >> タクシー > バス
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,5
# 安全だ,危険だ
# 新幹線 > 電車 = タクシー = バス > 飛行機
新幹線,1,電車,2,タクシー,2,バス,2,飛行機,5
# 可愛い,可愛くない
# 吹石一恵 >> 梨花 > 北乃きい > 優香 > 釈由美子 > 南明奈 > 友近
吹石一恵,1,梨花,2,北乃きい,3,優香,4,釈由美子,5,南明奈,6,友近,7
# 面白い,つまらない
# 友近 >> 優香 > 北乃きい > 吹石一恵 > 梨花 > 釈由美子 > 南明奈
友近,1,優香,2,北乃きい,3,吹石一恵,4,梨花,5,釈由美子,6,南明奈,7
# 甘い,甘くない
# チョコレートケーキ > ショートケーキ > ロールケーキ > チーズケーキ > シフォンケーキ
チョコレートケーキ,1,ショートケーキ,2,ロールケーキ,3,チーズケーキ,4,シフォンケーキ,5
# 好きだ,嫌いだ
# チョコレートケーキ > ショートケーキ > チーズケーキ > ロールケーキ > シフォンケーキ
チョコレートケーキ,1,ショートケーキ,2,チーズケーキ,3,ロールケーキ,4,シフォンケーキ,5
# 美味しい,不味い
# スコーン > マカロン > カステラ > マフィン > ベーグル
スコーン,1,マカロン,2,カステラ,3,マフィン,4,ベーグル,5
# おしゃれだ,おしゃれでない
# マカロン > スコーン > マフィン > ベーグル > カステラ
マカロン,1,スコーン,2,マフィン,3,ベーグル,4,カステラ,5
# 美味しい,不味い
# 緑茶 >> 抹茶 > 紅茶 > ココア > オレンジジュース
緑茶,1,抹茶,2,紅茶,3,ココア,4,オレンジジュース,5
# 好きだ,嫌いだ
# 讃岐うどん >> お好み焼き > 串かつ > カツカレー > 牛タン
讃岐うどん,1,お好み焼き,2,串かつ,3,カツカレー,4,牛タン,5
# 高価だ,安価だ
# 牛タン > お好み焼き > 串かつ > カツカレー > 讃岐うどん
牛タン,1,お好み焼き,2,串かつ,3,カツカレー,4,讃岐うどん,5
# 暖かい,寒い
# 沖縄 > 神戸 > 大阪 > 福岡 > 名古屋 > 東京 > 札幌
沖縄,1,神戸,2,大阪,3,福岡,4,名古屋,5,東京,6,札幌,7
# 遠い,近い
# 沖縄 = 札幌 > 福岡 > 神戸 > 大阪 > 名古屋 > 東京
沖縄,1,札幌,1,福岡,3,神戸,4,大阪,5,名古屋,6,東京,7
# ヘルシーだ,ヘルシーでない
# タイ料理 > 韓国料理 > インド料理 > 中華料理 > スペイン料理
タイ料理,1,韓国料理,2,インド料理,3,中華料理,4,スペイン料理,5
# 辛い,辛くない
# 中華料理 > タイ料理 > 韓国料理 > インド料理 > スペイン料理
中華料理,1,タイ料理,2,韓国料理,3,インド料理,4,スペイン料理,5
# 優秀だ,優秀でない
# 医師 = 宇宙飛行士 > 科学者 > 作曲者 > 警察官
医師,1,宇宙飛行士,1,科学者,3,作曲者,4,警察官,5
# 過酷だ,過酷でない
# 医師 > 警察官 > 宇宙飛行士 > 科学者 > 作曲者
