# 大きい,小さい
# ペンギン > 白鳥 > ふくろう > にわとり > すずめ
ペンギン,1,白鳥,2,ふくろう,3,にわとり,4,すずめ,5
# 可愛い,可愛くない
# すずめ > ふくろう = ペンギン > 白鳥 >> にわとり
すずめ,1,ふくろう,2,ペンギン,2,白鳥,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# もやし > 白菜 > きゅうり > 玉ねぎ > ほうれん草 > ナス > かぼちゃ
もやし,1,白菜,2,きゅうり,3,玉ねぎ,4,ほうれん草,5,ナス,6,かぼちゃ,7
# 美味しい,不味い
# かぼちゃ > ナス > 玉ねぎ > 白菜 > ほうれん草 > きゅうり > もやし
かぼちゃ,1,ナス,2,玉ねぎ,3,白菜,4,ほうれん草,5,きゅうり,6,もやし,7
# 甘い,甘くない
# メロン > イチゴ > ぶどう > さくらんぼ > りんご > みかん > 柿
メロン,1,イチゴ,2,ぶどう,3,さくらんぼ,4,りんご,5,みかん,6,柿,7
# 大きい,小さい
# メロン > りんご > 柿 = みかん > イチゴ > さくらんぼ = ぶどう
メロン,1,りんご,2,柿,3,みかん,3,イチゴ,5,さくらんぼ,6,ぶどう,6
# かしこい,ばかだ
# 犬 > 熊 = ライオン > クジラ > ネズミ
犬,1,熊,2,ライオン,2,クジラ,4,ネズミ,5
# 大きい,小さい
# クジラ > 熊 > ライオン > 犬 > ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# パール > サファイア = オパール = ガーネット = ターコイズ
パール,1,サファイア,2,オパール,2,ガーネット,2,ターコイズ,2
# 珍しい,珍しくない
# ターコイズ > オパール > ガーネット > サファイア > パール
ターコイズ,1,オパール,2,ガーネット,3,サファイア,4,パール,5
# 優雅だ,優雅でない
# ハープ > ヴァイオリン > チェロ > フルート > クラリネット
ハープ,1,ヴァイオリン,2,チェロ,3,フルート,4,クラリネット,5
# 心地よい,不快だ
# チェロ = フルート = クラリネット > ハープ > ヴァイオリン
チェロ,1,フルート,1,クラリネット,1,ハープ,4,ヴァイオリン,5
# 綺麗だ,醜い
# サクラ > ひまわり > 桔梗 = すずらん > たんぽぽ
サクラ,1,ひまわり,2,桔梗,3,すずらん,3,たんぽぽ,5
# 好きだ,嫌いだ
# サクラ > ひまわり > すずらん = たんぽぽ = 桔梗
サクラ,1,ひまわり,2,すずらん,3,たんぽぽ,3,桔梗,3
# 美味しい,不味い
# ドトール = サンマルク = タリーズ = コメダ = ルノアール
ドトール,1,サンマルク,1,タリーズ,1,コメダ,1,ルノアール,1
# 高い,安い
# ルノアール > コメダ > タリーズ > サンマルク > ドトール
ルノアール,1,コメダ,2,タリーズ,3,サンマルク,4,ドトール,5
# 好調だ,不調だ
# ソニー = パナソニック = 富士通 = キャノン = エプソン = 日立製作所 >> 東芝
ソニー,1,パナソニック,1,富士通,1,キャノン,1,エプソン,1,日立製作所,1,東芝,7
# 新しい,古い
# 日立製作所 > 東芝 > 富士通 > ソニー > パナソニック > エプソン > キャノン
日立製作所,1,東芝,2,富士通,3,ソニー,4,パナソニック,5,エプソン,6,キャノン,7
# 裕福だ,貧乏だ
# アメリカ > イギリス > スペイン > ロシア > 中国 > インド > タイ
アメリカ,1,イギリス,2,スペイン,3,ロシア,4,中国,5,インド,6,タイ,7
# 広大だ,せまい
# アメリカ > 中国 > ロシア > インド > タイ > スペイン > イギリス
アメリカ,1,中国,2,ロシア,3,インド,4,タイ,5,スペイン,6,イギリス,7
# 暖かい,寒い
# タイ = インド > スペイン = 中国 > アメリカ = イギリス > ロシア
タイ,1,インド,1,スペイン,3,中国,3,アメリカ,5,イギリス,5,ロシア,7
# 好調だ,不調だ
# トヨタ > ホンダ > マツダ > ヤマハ > ダイハツ
トヨタ,1,ホンダ,2,マツダ,3,ヤマハ,4,ダイハツ,5
# 有名だ,無名だ
# トヨタ > ホンダ > マツダ > ダイハツ > ヤマハ
トヨタ,1,ホンダ,2,マツダ,3,ダイハツ,4,ヤマハ,5
# 美味しい,不味い
# ビール > チューハイ > 日本酒 >> ハイボール > ウイスキー
ビール,1,チューハイ,2,日本酒,3,ハイボール,4,ウイスキー,5
# 高価だ,安価だ
# ウイスキー > 日本酒 > ビール > ハイボール > チューハイ
ウイスキー,1,日本酒,2,ビール,3,ハイボール,4,チューハイ,5
# 好きだ,嫌いだ
# ピザ > ハンバーガー > カレー > チャーハン > ラーメン
ピザ,1,ハンバーガー,2,カレー,3,チャーハン,4,ラーメン,5
# 脂っこい,脂っこくない
# ピザ > ハンバーガー > チャーハン > ラーメン > カレー
ピザ,1,ハンバーガー,2,チャーハン,3,ラーメン,4,カレー,5
# 高価だ,安価だ
# 洗濯機 > エアコン > カメラ > カーナビ > プリンタ
洗濯機,1,エアコン,2,カメラ,3,カーナビ,4,プリンタ,5
# うるさい,静かだ
# 洗濯機 > プリンタ > カーナビ > エアコン > カメラ
洗濯機,1,プリンタ,2,カーナビ,3,エアコン,4,カメラ,5
# 好きだ,嫌いだ
# 晴天 > 雪 > 霧 > 強風 > 雷 > 霜 > 雨
晴天,1,雪,2,霧,3,強風,4,雷,5,霜,6,雨,7
# 珍しい,珍しくない
# 雪 > 霧 > 霜 > 雷 > 雨 > 強風 > 晴天
雪,1,霧,2,霜,3,雷,4,雨,5,強風,6,晴天,7
# 好きだ,嫌いだ
# 牛肉 > 豚肉 > 鶏肉 > 馬肉 = ラム肉
牛肉,1,豚肉,2,鶏肉,3,馬肉,4,ラム肉,4
# 高価だ,安価だ
# 牛肉 > 馬肉 > ラム肉 > 豚肉 > 鶏肉
牛肉,1,馬肉,2,ラム肉,3,豚肉,4,鶏肉,5
# 有名だ,無名だ
# 銀閣寺 > 善光寺 > 中尊寺 > 薬師寺 > 増上寺 > 東寺
銀閣寺,1,善光寺,2,中尊寺,3,薬師寺,4,増上寺,5,東寺,6
# 立派だ,立派でない
# 東寺 > 善光寺 > 薬師寺 > 中尊寺 > 銀閣寺 > 増上寺
東寺,1,善光寺,2,薬師寺,3,中尊寺,4,銀閣寺,5,増上寺,6
# メジャーだ,マイナーだ
# サッカー > 野球 > テニス > 相撲 > 卓球 > バレー > バスケ
サッカー,1,野球,2,テニス,3,相撲,4,卓球,5,バレー,6,バスケ,7
# 得意だ,苦手だ
# 野球 > 卓球 > サッカー > バスケ > テニス > バレー > 相撲
野球,1,卓球,2,サッカー,3,バスケ,4,テニス,5,バレー,6,相撲,7
# 快適だ,不快だ
# タクシー > 新幹線 > 飛行機 > 電車 > バス
タクシー,1,新幹線,2,飛行機,3,電車,4,バス,5
# 速い,遅い
# 飛行機 > 新幹線 > 電車 > タクシー > バス
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,5
