# 大きい,小さい
# 白鳥 >> ペンギン > ふくろう > にわとり >> すずめ
白鳥,1,ペンギン,2,ふくろう,3,にわとり,4,すずめ,5
# 可愛い,可愛くない
# すずめ > ペンギン = ふくろう > にわとり = 白鳥
すずめ,1,ペンギン,2,ふくろう,2,にわとり,4,白鳥,4
# ヘルシーだ,ヘルシーでない
# ほうれん草 = きゅうり = もやし = 玉ねぎ = 白菜 = ナス = かぼちゃ
ほうれん草,1,きゅうり,1,もやし,1,玉ねぎ,1,白菜,1,ナス,1,かぼちゃ,1
# 美味しい,不味い
# ナス = かぼちゃ > ほうれん草 = きゅうり = もやし = 玉ねぎ = 白菜
ナス,1,かぼちゃ,1,ほうれん草,3,きゅうり,3,もやし,3,玉ねぎ,3,白菜,3
# 甘い,甘くない
# メロン >> ぶどう > りんご > みかん > イチゴ >> さくらんぼ = 柿
メロン,1,ぶどう,2,りんご,3,みかん,4,イチゴ,5,さくらんぼ,6,柿,6
# 大きい,小さい
# メロン > ぶどう > りんご > 柿 > みかん > イチゴ > さくらんぼ
メロン,1,ぶどう,2,りんご,3,柿,4,みかん,5,イチゴ,6,さくらんぼ,7
# かしこい,ばかだ
# 犬 = 熊 > ライオン >> クジラ = ネズミ
犬,1,熊,1,ライオン,3,クジラ,4,ネズミ,4
# 大きい,小さい
# クジラ >> 熊 > ライオン > 犬 >> ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# パール >> ターコイズ > サファイア = オパール = ガーネット
パール,1,ターコイズ,2,サファイア,3,オパール,3,ガーネット,3
# 珍しい,珍しくない
# サファイア = オパール = ガーネット >> ターコイズ > パール
サファイア,1,オパール,1,ガーネット,1,ターコイズ,4,パール,5
# 優雅だ,優雅でない
# ハープ = フルート > チェロ = ヴァイオリン > クラリネット
ハープ,1,フルート,1,チェロ,3,ヴァイオリン,3,クラリネット,5
# 心地よい,不快だ
# ハープ = フルート = チェロ > ヴァイオリン > クラリネット
ハープ,1,フルート,1,チェロ,1,ヴァイオリン,4,クラリネット,5
# 綺麗だ,醜い
# サクラ >> すずらん = たんぽぽ = 桔梗 > ひまわり
サクラ,1,すずらん,2,たんぽぽ,2,桔梗,2,ひまわり,5
# 好きだ,嫌いだ
# サクラ >> すずらん > ひまわり = 桔梗 = たんぽぽ
サクラ,1,すずらん,2,ひまわり,3,桔梗,3,たんぽぽ,3
# 美味しい,不味い
# タリーズ > ドトール = サンマルク = コメダ = ルノアール
タリーズ,1,ドトール,2,サンマルク,2,コメダ,2,ルノアール,2
# 高い,安い
# タリーズ = ルノアール > サンマルク > ドトール = コメダ
タリーズ,1,ルノアール,1,サンマルク,3,ドトール,4,コメダ,4
# 好調だ,不調だ
# パナソニック = 日立製作所 > ソニー > 富士通 = キャノン = エプソン > 東芝
パナソニック,1,日立製作所,1,ソニー,3,富士通,4,キャノン,4,エプソン,4,東芝,7
# 新しい,古い
# キャノン = エプソン >> ソニー = パナソニック > 日立製作所 > 東芝 = 富士通
キャノン,1,エプソン,1,ソニー,3,パナソニック,3,日立製作所,5,東芝,6,富士通,6
# 裕福だ,貧乏だ
