# 大きい,小さい
# ペンギン > ふくろう >> 白鳥 > にわとり >> すずめ
ペンギン,1,ふくろう,2,白鳥,3,にわとり,4,すずめ,5
# 可愛い,可愛くない
# ペンギン > すずめ >> ふくろう > 白鳥 > にわとり
ペンギン,1,すずめ,2,ふくろう,3,白鳥,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# もやし > きゅうり >> 白菜 > 玉ねぎ > ほうれん草 > ナス >> かぼちゃ
もやし,1,きゅうり,2,白菜,3,玉ねぎ,4,ほうれん草,5,ナス,6,かぼちゃ,7
# 美味しい,不味い
# かぼちゃ >> 玉ねぎ > ナス > もやし > 白菜 > ほうれん草 >> きゅうり
かぼちゃ,1,玉ねぎ,2,ナス,3,もやし,4,白菜,5,ほうれん草,6,きゅうり,7
# 甘い,甘くない
# さくらんぼ > 柿 > メロン > イチゴ > りんご > みかん > ぶどう
さくらんぼ,1,柿,2,メロン,3,イチゴ,4,りんご,5,みかん,6,ぶどう,7
# 大きい,小さい
# メロン >> ぶどう > りんご > 柿 >> みかん >> イチゴ > さくらんぼ
メロン,1,ぶどう,2,りんご,3,柿,4,みかん,5,イチゴ,6,さくらんぼ,7
# かしこい,ばかだ
# 犬 > 熊 >> クジラ > ライオン > ネズミ
犬,1,熊,2,クジラ,3,ライオン,4,ネズミ,5
# 大きい,小さい
# クジラ >> ライオン > 熊 >> 犬 >> ネズミ
クジラ,1,ライオン,2,熊,3,犬,4,ネズミ,5
# 上品だ,下品だ
# パール > サファイア >> ターコイズ > オパール > ガーネット
パール,1,サファイア,2,ターコイズ,3,オパール,4,ガーネット,5
# 珍しい,珍しくない
# パール > サファイア >> ターコイズ > ガーネット > オパール
パール,1,サファイア,2,ターコイズ,3,ガーネット,4,オパール,5
# 優雅だ,優雅でない
# ハープ > フルート > クラリネット >> ヴァイオリン > チェロ
ハープ,1,フルート,2,クラリネット,3,ヴァイオリン,4,チェロ,5
# 心地よい,不快だ
# クラリネット = フルート > ハープ > ヴァイオリン > チェロ
クラリネット,1,フルート,1,ハープ,3,ヴァイオリン,4,チェロ,5
# 綺麗だ,醜い
# サクラ >> ひまわり > たんぽぽ > すずらん > 桔梗
サクラ,1,ひまわり,2,たんぽぽ,3,すずらん,4,桔梗,5
# 好きだ,嫌いだ
# サクラ = ひまわり > たんぽぽ >> すずらん > 桔梗
サクラ,1,ひまわり,1,たんぽぽ,3,すずらん,4,桔梗,5
# 美味しい,不味い
# タリーズ > サンマルク = ドトール > コメダ > ルノアール
タリーズ,1,サンマルク,2,ドトール,2,コメダ,4,ルノアール,5
# 高い,安い
# サンマルク > ルノアール > コメダ >> タリーズ > ドトール
サンマルク,1,ルノアール,2,コメダ,3,タリーズ,4,ドトール,5
# 好調だ,不調だ
# ソニー > パナソニック > キャノン > エプソン > 富士通 > 日立製作所 >> 東芝
ソニー,1,パナソニック,2,キャノン,3,エプソン,4,富士通,5,日立製作所,6,東芝,7
# 新しい,古い
# ソニー > パナソニック > キャノン > エプソン >> 東芝 > 富士通 > 日立製作所
ソニー,1,パナソニック,2,キャノン,3,エプソン,4,東芝,5,富士通,6,日立製作所,7
# 裕福だ,貧乏だ
# 中国 > アメリカ >> イギリス > ロシア > スペイン >> インド > タイ
中国,1,アメリカ,2,イギリス,3,ロシア,4,スペイン,5,インド,6,タイ,7
# 広大だ,せまい
# ロシア >> インド > アメリカ > 中国 >> イギリス > スペイン >> タイ
ロシア,1,インド,2,アメリカ,3,中国,4,イギリス,5,スペイン,6,タイ,7
# 暖かい,寒い
# スペイン > インド >> アメリカ > タイ >> イギリス > 中国 >> ロシア
スペイン,1,インド,2,アメリカ,3,タイ,4,イギリス,5,中国,6,ロシア,7
# 好調だ,不調だ
# ホンダ > トヨタ >> ヤマハ >> マツダ > ダイハツ
ホンダ,1,トヨタ,2,ヤマハ,3,マツダ,4,ダイハツ,5
# 有名だ,無名だ
# ホンダ > トヨタ >> ヤマハ >> マツダ = ダイハツ
ホンダ,1,トヨタ,2,ヤマハ,3,マツダ,4,ダイハツ,4
# 美味しい,不味い
# チューハイ >> ウイスキー > 日本酒 > ハイボール >> ビール
チューハイ,1,ウイスキー,2,日本酒,3,ハイボール,4,ビール,5
# 高価だ,安価だ
# ウイスキー > 日本酒 >> ビール >> ハイボール > チューハイ
