# 大きい,小さい
# 白鳥 > ペンギン > にわとり > ふくろう > すずめ
白鳥,1,ペンギン,2,にわとり,3,ふくろう,4,すずめ,5
# 可愛い,可愛くない
# ペンギン > ふくろう > 白鳥 > すずめ > にわとり
ペンギン,1,ふくろう,2,白鳥,3,すずめ,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# ほうれん草 > 白菜 > かぼちゃ > 玉ねぎ > ナス > もやし > きゅうり
ほうれん草,1,白菜,2,かぼちゃ,3,玉ねぎ,4,ナス,5,もやし,6,きゅうり,7
# 美味しい,不味い
# かぼちゃ > 玉ねぎ > 白菜 > ほうれん草 > もやし > きゅうり > ナス
かぼちゃ,1,玉ねぎ,2,白菜,3,ほうれん草,4,もやし,5,きゅうり,6,ナス,7
# 甘い,甘くない
# メロン > ぶどう > イチゴ > りんご > さくらんぼ > みかん > 柿
メロン,1,ぶどう,2,イチゴ,3,りんご,4,さくらんぼ,5,みかん,6,柿,7
# 大きい,小さい
# メロン > ぶどう > りんご > 柿 > みかん > イチゴ > さくらんぼ
メロン,1,ぶどう,2,りんご,3,柿,4,みかん,5,イチゴ,6,さくらんぼ,7
# かしこい,ばかだ
# クジラ > 犬 > ライオン > 熊 > ネズミ
クジラ,1,犬,2,ライオン,3,熊,4,ネズミ,5
# 大きい,小さい
# クジラ >> 熊 > ライオン > 犬 >> ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# ガーネット > サファイア > オパール > ターコイズ > パール
ガーネット,1,サファイア,2,オパール,3,ターコイズ,4,パール,5
# 珍しい,珍しくない
# オパール > ガーネット > サファイア > ターコイズ > パール
オパール,1,ガーネット,2,サファイア,3,ターコイズ,4,パール,5
# 優雅だ,優雅でない
# ヴァイオリン > チェロ > ハープ > フルート > クラリネット
ヴァイオリン,1,チェロ,2,ハープ,3,フルート,4,クラリネット,5
# 心地よい,不快だ
# ハープ > フルート > ヴァイオリン > チェロ > クラリネット
ハープ,1,フルート,2,ヴァイオリン,3,チェロ,4,クラリネット,5
# 綺麗だ,醜い
# サクラ > すずらん > 桔梗 > ひまわり > たんぽぽ
サクラ,1,すずらん,2,桔梗,3,ひまわり,4,たんぽぽ,5
# 好きだ,嫌いだ
# ひまわり > すずらん > サクラ > たんぽぽ > 桔梗
ひまわり,1,すずらん,2,サクラ,3,たんぽぽ,4,桔梗,5
# 美味しい,不味い
# ドトール > コメダ > ルノアール > タリーズ > サンマルク
ドトール,1,コメダ,2,ルノアール,3,タリーズ,4,サンマルク,5
# 高い,安い
# コメダ > ルノアール > ドトール > サンマルク > タリーズ
コメダ,1,ルノアール,2,ドトール,3,サンマルク,4,タリーズ,5
# 好調だ,不調だ
# 日立製作所 > キャノン > エプソン > 富士通 > 東芝 > パナソニック > ソニー
日立製作所,1,キャノン,2,エプソン,3,富士通,4,東芝,5,パナソニック,6,ソニー,7
# 新しい,古い
# エプソン > キャノン > パナソニック > ソニー > 富士通 > 日立製作所 > 東芝
エプソン,1,キャノン,2,パナソニック,3,ソニー,4,富士通,5,日立製作所,6,東芝,7
# 裕福だ,貧乏だ
# アメリカ > ロシア > 中国 > イギリス > スペイン > インド > タイ
アメリカ,1,ロシア,2,中国,3,イギリス,4,スペイン,5,インド,6,タイ,7
# 広大だ,せまい
# ロシア > アメリカ > 中国 > インド > スペイン > タイ > イギリス
ロシア,1,アメリカ,2,中国,3,インド,4,スペイン,5,タイ,6,イギリス,7
# 暖かい,寒い
# インド > タイ > スペイン > アメリカ > 中国 > イギリス > ロシア
インド,1,タイ,2,スペイン,3,アメリカ,4,中国,5,イギリス,6,ロシア,7
# 好調だ,不調だ
# トヨタ > マツダ > ダイハツ > ホンダ > ヤマハ
トヨタ,1,マツダ,2,ダイハツ,3,ホンダ,4,ヤマハ,5
# 有名だ,無名だ
# トヨタ > ホンダ > マツダ > ダイハツ > ヤマハ
トヨタ,1,ホンダ,2,マツダ,3,ダイハツ,4,ヤマハ,5
# 美味しい,不味い
# ビール > 日本酒 > ハイボール > チューハイ > ウイスキー
ビール,1,日本酒,2,ハイボール,3,チューハイ,4,ウイスキー,5
# 高価だ,安価だ
# ウイスキー > 日本酒 > ハイボール > チューハイ > ビール
ウイスキー,1,日本酒,2,ハイボール,3,チューハイ,4,ビール,5
# 好きだ,嫌いだ
# ピザ > ラーメン > ハンバーガー > チャーハン > カレー
ピザ,1,ラーメン,2,ハンバーガー,3,チャーハン,4,カレー,5
# 脂っこい,脂っこくない
# ピザ > チャーハン > ラーメン > ハンバーガー > カレー
ピザ,1,チャーハン,2,ラーメン,3,ハンバーガー,4,カレー,5
# 高価だ,安価だ
# エアコン > カメラ > 洗濯機 > カーナビ > プリンタ
エアコン,1,カメラ,2,洗濯機,3,カーナビ,4,プリンタ,5
# うるさい,静かだ
# プリンタ > 洗濯機 > カーナビ > エアコン > カメラ
プリンタ,1,洗濯機,2,カーナビ,3,エアコン,4,カメラ,5
# 好きだ,嫌いだ
# 晴天 > 霧 > 霜 > 強風 > 雨 > 雪 > 雷
晴天,1,霧,2,霜,3,強風,4,雨,5,雪,6,雷,7
# 珍しい,珍しくない
# 雪 > 霜 > 霧 > 雷 > 雨 > 強風 > 晴天
雪,1,霜,2,霧,3,雷,4,雨,5,強風,6,晴天,7
# 好きだ,嫌いだ
# 豚肉 > 鶏肉 > 牛肉 > ラム肉 > 馬肉
豚肉,1,鶏肉,2,牛肉,3,ラム肉,4,馬肉,5
# 高価だ,安価だ
# 牛肉 > 豚肉 > ラム肉 > 鶏肉 > 馬肉
牛肉,1,豚肉,2,ラム肉,3,鶏肉,4,馬肉,5
# 有名だ,無名だ
# 銀閣寺 > 東寺 > 中尊寺 > 善光寺 > 増上寺 > 薬師寺
銀閣寺,1,東寺,2,中尊寺,3,善光寺,4,増上寺,5,薬師寺,6
# 立派だ,立派でない
# 中尊寺 > 善光寺 > 銀閣寺 > 薬師寺 > 東寺 > 増上寺
中尊寺,1,善光寺,2,銀閣寺,3,薬師寺,4,東寺,5,増上寺,6
# メジャーだ,マイナーだ
# テニス > サッカー > バスケ > 卓球 > 野球 > バレー > 相撲
テニス,1,サッカー,2,バスケ,3,卓球,4,野球,5,バレー,6,相撲,7
# 得意だ,苦手だ
# バスケ >> サッカー > バレー > 卓球 > テニス = 野球 = 相撲
