# 大きい,小さい
# 白鳥 > にわとり > ペンギン > ふくろう > すずめ
白鳥,1,にわとり,2,ペンギン,3,ふくろう,4,すずめ,5
# 可愛い,可愛くない
# ペンギン > 白鳥 >> ふくろう > すずめ > にわとり
ペンギン,1,白鳥,2,ふくろう,3,すずめ,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# ほうれん草 > きゅうり > もやし > 玉ねぎ > 白菜 > ナス > かぼちゃ
ほうれん草,1,きゅうり,2,もやし,3,玉ねぎ,4,白菜,5,ナス,6,かぼちゃ,7
# 美味しい,不味い
# かぼちゃ > ほうれん草 > 玉ねぎ > きゅうり > もやし > 白菜 > ナス
かぼちゃ,1,ほうれん草,2,玉ねぎ,3,きゅうり,4,もやし,5,白菜,6,ナス,7
# 甘い,甘くない
# イチゴ > メロン > みかん > りんご > ぶどう > さくらんぼ > 柿
イチゴ,1,メロン,2,みかん,3,りんご,4,ぶどう,5,さくらんぼ,6,柿,7
# 大きい,小さい
# メロン > りんご > 柿 > ぶどう > みかん > イチゴ > さくらんぼ
メロン,1,りんご,2,柿,3,ぶどう,4,みかん,5,イチゴ,6,さくらんぼ,7
# かしこい,ばかだ
# 犬 > クジラ > ライオン = 熊 >> ネズミ
犬,1,クジラ,2,ライオン,3,熊,3,ネズミ,5
# 大きい,小さい
# クジラ > 熊 > ライオン >> 犬 >> ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# パール > ガーネット > ターコイズ > サファイア > オパール
パール,1,ガーネット,2,ターコイズ,3,サファイア,4,オパール,5
# 珍しい,珍しくない
# サファイア > パール > ガーネット > ターコイズ > オパール
サファイア,1,パール,2,ガーネット,3,ターコイズ,4,オパール,5
# 優雅だ,優雅でない
# フルート > チェロ > ハープ > ヴァイオリン > クラリネット
フルート,1,チェロ,2,ハープ,3,ヴァイオリン,4,クラリネット,5
# 心地よい,不快だ
# チェロ > フルート > ヴァイオリン > ハープ > クラリネット
チェロ,1,フルート,2,ヴァイオリン,3,ハープ,4,クラリネット,5
# 綺麗だ,醜い
# サクラ > すずらん > たんぽぽ > ひまわり > 桔梗
サクラ,1,すずらん,2,たんぽぽ,3,ひまわり,4,桔梗,5
# 好きだ,嫌いだ
# サクラ > ひまわり > たんぽぽ > すずらん > 桔梗
サクラ,1,ひまわり,2,たんぽぽ,3,すずらん,4,桔梗,5
# 美味しい,不味い
# タリーズ > ドトール > ルノアール > コメダ > サンマルク
タリーズ,1,ドトール,2,ルノアール,3,コメダ,4,サンマルク,5
# 高い,安い
# タリーズ > ルノアール > ドトール > コメダ > サンマルク
タリーズ,1,ルノアール,2,ドトール,3,コメダ,4,サンマルク,5
# 好調だ,不調だ
# キャノン > ソニー > エプソン > 富士通 > 日立製作所 > パナソニック > 東芝
キャノン,1,ソニー,2,エプソン,3,富士通,4,日立製作所,5,パナソニック,6,東芝,7
# 新しい,古い
# キャノン > エプソン > 富士通 > 日立製作所 > 東芝 > パナソニック > ソニー
