# 大きい,小さい
# ペンギン >> にわとり > 白鳥 > ふくろう > すずめ
ペンギン,1,にわとり,2,白鳥,3,ふくろう,4,すずめ,5
# 可愛い,可愛くない
# すずめ > ペンギン > 白鳥 > にわとり > ふくろう
すずめ,1,ペンギン,2,白鳥,3,にわとり,4,ふくろう,5
# ヘルシーだ,ヘルシーでない
# ほうれん草 > きゅうり > 玉ねぎ > かぼちゃ > 白菜 > ナス > もやし
ほうれん草,1,きゅうり,2,玉ねぎ,3,かぼちゃ,4,白菜,5,ナス,6,もやし,7
# 美味しい,不味い
# きゅうり > かぼちゃ > ほうれん草 > ナス > 白菜 > 玉ねぎ > もやし
きゅうり,1,かぼちゃ,2,ほうれん草,3,ナス,4,白菜,5,玉ねぎ,6,もやし,7
# 甘い,甘くない
# メロン > さくらんぼ > イチゴ > りんご > ぶどう > みかん > 柿
メロン,1,さくらんぼ,2,イチゴ,3,りんご,4,ぶどう,5,みかん,6,柿,7
# 大きい,小さい
# メロン > りんご > みかん > 柿 > ぶどう > イチゴ > さくらんぼ
メロン,1,りんご,2,みかん,3,柿,4,ぶどう,5,イチゴ,6,さくらんぼ,7
# かしこい,ばかだ
# クジラ > 犬 >> 熊 = ライオン = ネズミ
クジラ,1,犬,2,熊,3,ライオン,3,ネズミ,3
# 大きい,小さい
# クジラ >> 熊 >> ライオン >> 犬 >> ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# サファイア > オパール > ガーネット > ターコイズ > パール
サファイア,1,オパール,2,ガーネット,3,ターコイズ,4,パール,5
# 珍しい,珍しくない
# ガーネット > サファイア > ターコイズ > オパール > パール
ガーネット,1,サファイア,2,ターコイズ,3,オパール,4,パール,5
# 優雅だ,優雅でない
# フルート > チェロ > ハープ > ヴァイオリン > クラリネット
フルート,1,チェロ,2,ハープ,3,ヴァイオリン,4,クラリネット,5
# 心地よい,不快だ
# フルート > ヴァイオリン = チェロ = ハープ > クラリネット
フルート,1,ヴァイオリン,2,チェロ,2,ハープ,2,クラリネット,5
# 綺麗だ,醜い
# サクラ > ひまわり > すずらん > たんぽぽ > 桔梗
サクラ,1,ひまわり,2,すずらん,3,たんぽぽ,4,桔梗,5
# 好きだ,嫌いだ
# サクラ > ひまわり > たんぽぽ > すずらん > 桔梗
サクラ,1,ひまわり,2,たんぽぽ,3,すずらん,4,桔梗,5
# 美味しい,不味い
# コメダ > ルノアール > タリーズ > ドトール > サンマルク
コメダ,1,ルノアール,2,タリーズ,3,ドトール,4,サンマルク,5
# 高い,安い
# コメダ > タリーズ > ルノアール > ドトール > サンマルク
コメダ,1,タリーズ,2,ルノアール,3,ドトール,4,サンマルク,5
# 好調だ,不調だ
# パナソニック > エプソン > 富士通 > ソニー > 日立製作所 > キャノン >> 東芝
パナソニック,1,エプソン,2,富士通,3,ソニー,4,日立製作所,5,キャノン,6,東芝,7
# 新しい,古い
# パナソニック > キャノン > エプソン > 富士通 > ソニー > 東芝 > 日立製作所
パナソニック,1,キャノン,2,エプソン,3,富士通,4,ソニー,5,東芝,6,日立製作所,7
# 裕福だ,貧乏だ
# アメリカ > イギリス > スペイン > ロシア > 中国 > インド > タイ
アメリカ,1,イギリス,2,スペイン,3,ロシア,4,中国,5,インド,6,タイ,7
# 広大だ,せまい
# ロシア >> アメリカ > 中国 >> スペイン > イギリス > インド = タイ
ロシア,1,アメリカ,2,中国,3,スペイン,4,イギリス,5,インド,6,タイ,6
# 暖かい,寒い
# インド > タイ >> スペイン > 中国 > イギリス > アメリカ >> ロシア
インド,1,タイ,2,スペイン,3,中国,4,イギリス,5,アメリカ,6,ロシア,7
# 好調だ,不調だ
# トヨタ > ホンダ > マツダ > ヤマハ > ダイハツ
トヨタ,1,ホンダ,2,マツダ,3,ヤマハ,4,ダイハツ,5
# 有名だ,無名だ
# トヨタ > ホンダ > マツダ > ダイハツ > ヤマハ
トヨタ,1,ホンダ,2,マツダ,3,ダイハツ,4,ヤマハ,5
# 美味しい,不味い
# ウイスキー > チューハイ > ハイボール > ビール > 日本酒
ウイスキー,1,チューハイ,2,ハイボール,3,ビール,4,日本酒,5
# 高価だ,安価だ
# ウイスキー > 日本酒 > ビール > ハイボール > チューハイ
ウイスキー,1,日本酒,2,ビール,3,ハイボール,4,チューハイ,5
# 好きだ,嫌いだ
# カレー > ピザ > ラーメン > ハンバーガー > チャーハン
カレー,1,ピザ,2,ラーメン,3,ハンバーガー,4,チャーハン,5
# 脂っこい,脂っこくない
# ピザ > ラーメン > ハンバーガー > チャーハン > カレー
ピザ,1,ラーメン,2,ハンバーガー,3,チャーハン,4,カレー,5
# 高価だ,安価だ
# カメラ > カーナビ > エアコン > プリンタ > 洗濯機
カメラ,1,カーナビ,2,エアコン,3,プリンタ,4,洗濯機,5
# うるさい,静かだ
# 洗濯機 > プリンタ > エアコン > カーナビ > カメラ
洗濯機,1,プリンタ,2,エアコン,3,カーナビ,4,カメラ,5
# 好きだ,嫌いだ
# 晴天 >> 強風 >> 雨 > 雪 >> 霧 > 霜 > 雷
晴天,1,強風,2,雨,3,雪,4,霧,5,霜,6,雷,7
# 珍しい,珍しくない
# 霜 > 霧 > 雷 > 雪 > 雨 > 強風 > 晴天
霜,1,霧,2,雷,3,雪,4,雨,5,強風,6,晴天,7
# 好きだ,嫌いだ
# 馬肉 > 鶏肉 > 牛肉 > 豚肉 > ラム肉
馬肉,1,鶏肉,2,牛肉,3,豚肉,4,ラム肉,5
# 高価だ,安価だ
# 馬肉 > 牛肉 > 豚肉 > 鶏肉 > ラム肉
馬肉,1,牛肉,2,豚肉,3,鶏肉,4,ラム肉,5
# 有名だ,無名だ
# 銀閣寺 > 善光寺 > 薬師寺 > 中尊寺 > 増上寺 > 東寺
銀閣寺,1,善光寺,2,薬師寺,3,中尊寺,4,増上寺,5,東寺,6
# 立派だ,立派でない
# 銀閣寺 > 善光寺 > 薬師寺 > 中尊寺 > 増上寺 > 東寺
銀閣寺,1,善光寺,2,薬師寺,3,中尊寺,4,増上寺,5,東寺,6
# メジャーだ,マイナーだ
# サッカー > 野球 > テニス = バレー > バスケ > 卓球 > 相撲
サッカー,1,野球,2,テニス,3,バレー,3,バスケ,5,卓球,6,相撲,7
# 得意だ,苦手だ
# バレー >> 卓球 = テニス > サッカー > 野球 > バスケ >> 相撲
バレー,1,卓球,2,テニス,2,サッカー,4,野球,5,バスケ,6,相撲,7
# 快適だ,不快だ
# 飛行機 > 新幹線 > 電車 > タクシー > バス
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,5
# 速い,遅い
# 飛行機 >> 新幹線 >> 電車 > タクシー > バス
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,5
# 安全だ,危険だ
# 飛行機 > 新幹線 > 電車 > バス > タクシー
飛行機,1,新幹線,2,電車,3,バス,4,タクシー,5
# 可愛い,可愛くない
# 吹石一恵 > 北乃きい > 釈由美子 > 南明奈 > 梨花 > 優香 > 友近
吹石一恵,1,北乃きい,2,釈由美子,3,南明奈,4,梨花,5,優香,6,友近,7
# 面白い,つまらない
# 友近 > 優香 > 北乃きい > 釈由美子 > 吹石一恵 > 南明奈 > 梨花
友近,1,優香,2,北乃きい,3,釈由美子,4,吹石一恵,5,南明奈,6,梨花,7
# 甘い,甘くない
# ショートケーキ > シフォンケーキ > ロールケーキ > チョコレートケーキ > チーズケーキ
ショートケーキ,1,シフォンケーキ,2,ロールケーキ,3,チョコレートケーキ,4,チーズケーキ,5
# 好きだ,嫌いだ
# チーズケーキ > シフォンケーキ > ロールケーキ > チョコレートケーキ > ショートケーキ
チーズケーキ,1,シフォンケーキ,2,ロールケーキ,3,チョコレートケーキ,4,ショートケーキ,5
# 美味しい,不味い
# マカロン > スコーン > ベーグル > マフィン > カステラ
マカロン,1,スコーン,2,ベーグル,3,マフィン,4,カステラ,5
# おしゃれだ,おしゃれでない
# マカロン > ベーグル > マフィン > スコーン > カステラ
マカロン,1,ベーグル,2,マフィン,3,スコーン,4,カステラ,5
# 美味しい,不味い
# 紅茶 > オレンジジュース > 抹茶 > 緑茶 > ココア
紅茶,1,オレンジジュース,2,抹茶,3,緑茶,4,ココア,5
# 好きだ,嫌いだ
# お好み焼き > 讃岐うどん > カツカレー > 牛タン > 串かつ
お好み焼き,1,讃岐うどん,2,カツカレー,3,牛タン,4,串かつ,5
# 高価だ,安価だ
# 牛タン > 串かつ > カツカレー > お好み焼き > 讃岐うどん
牛タン,1,串かつ,2,カツカレー,3,お好み焼き,4,讃岐うどん,5
# 暖かい,寒い
# 沖縄 >> 福岡 > 名古屋 > 大阪 = 神戸 > 東京 >> 札幌
沖縄,1,福岡,2,名古屋,3,大阪,4,神戸,4,東京,6,札幌,7
# 遠い,近い
# 札幌 > 沖縄 > 福岡 > 神戸 > 大阪 > 名古屋 >> 東京
札幌,1,沖縄,2,福岡,3,神戸,4,大阪,5,名古屋,6,東京,7
# ヘルシーだ,ヘルシーでない
# インド料理 > スペイン料理 > タイ料理 > 中華料理 > 韓国料理
インド料理,1,スペイン料理,2,タイ料理,3,中華料理,4,韓国料理,5
# 辛い,辛くない
# タイ料理 > インド料理 > 韓国料理 > 中華料理 > スペイン料理
タイ料理,1,インド料理,2,韓国料理,3,中華料理,4,スペイン料理,5
# 優秀だ,優秀でない
# 医師 > 科学者 > 宇宙飛行士 > 作曲者 > 警察官
医師,1,科学者,2,宇宙飛行士,3,作曲者,4,警察官,5
# 過酷だ,過酷でない
# 宇宙飛行士 > 医師 > 作曲者 > 警察官 > 科学者
宇宙飛行士,1,医師,2,作曲者,3,警察官,4,科学者,5
# 面白い,つまらない
# となりのトトロ > 不思議の国のアリス > 風の谷のナウシカ > スター・ウォーズ > 美女と野獣
となりのトトロ,1,不思議の国のアリス,2,風の谷のナウシカ,3,スター・ウォーズ,4,美女と野獣,5
# 新しい,古い
# 不思議の国のアリス > スター・ウォーズ > 風の谷のナウシカ > 美女と野獣 > となりのトトロ
不思議の国のアリス,1,スター・ウォーズ,2,風の谷のナウシカ,3,美女と野獣,4,となりのトトロ,5
# 必須だ,無駄だ
# 国語 > 英語 > 体育 > 世界史 > 数学
国語,1,英語,2,体育,3,世界史,4,数学,5
# 簡単だ,難しい
# 国語 > 世界史 > 英語 > 数学 > 体育
国語,1,世界史,2,英語,3,数学,4,体育,5
# 楽しい,楽しくない
# ドライブ > 読書 > BBQ > ジョギング > 釣り > サーフィン
ドライブ,1,読書,2,BBQ,3,ジョギング,4,釣り,5,サーフィン,6
# 有意義だ,有意義でない
# 読書 > ジョギング > ドライブ > BBQ > 釣り > サーフィン
読書,1,ジョギング,2,ドライブ,3,BBQ,4,釣り,5,サーフィン,6
# 手軽だ,手軽でない
# 読書 > ジョギング > ドライブ > BBQ > 釣り > サーフィン
読書,1,ジョギング,2,ドライブ,3,BBQ,4,釣り,5,サーフィン,6
# 面白い,つまらない
# Twitter > インスタグラム > Youtube > Facebook > ニコ動
Twitter,1,インスタグラム,2,Youtube,3,Facebook,4,ニコ動,5
# 便利だ,便利でない
# Twitter > Youtube > Facebook > インスタグラム > ニコ動
Twitter,1,Youtube,2,Facebook,3,インスタグラム,4,ニコ動,5
# 面白い,つまらない
# ドラゴンボール > セーラームーン > エヴァ > GTO > プリキュア > ジョジョ
ドラゴンボール,1,セーラームーン,2,エヴァ,3,GTO,4,プリキュア,5,ジョジョ,6
# 若い,若くない
# 安倍晋三 > 鳩山由紀夫 > 小泉純一郎 > 麻生太郎 > 田中角栄
安倍晋三,1,鳩山由紀夫,2,小泉純一郎,3,麻生太郎,4,田中角栄,5
# 好きだ,嫌いだ
# 安倍晋三 > 麻生太郎 > 田中角栄 > 小泉純一郎 > 鳩山由紀夫
安倍晋三,1,麻生太郎,2,田中角栄,3,小泉純一郎,4,鳩山由紀夫,5
# 好調だ,不調だ
# マイクロソフト > グーグル > アップル > ヤフー >> サムスン
マイクロソフト,1,グーグル,2,アップル,3,ヤフー,4,サムスン,5
# 不可欠だ,不要だ
# マイクロソフト = グーグル = ヤフー > アップル >> サムスン
マイクロソフト,1,グーグル,1,ヤフー,1,アップル,4,サムスン,5
# 偉大だ,偉大でない
# ニュートン > エジソン > 宮沢賢治 > 聖徳太子 > 坂本龍馬
ニュートン,1,エジソン,2,宮沢賢治,3,聖徳太子,4,坂本龍馬,5
# 好きだ,嫌いだ
# ニュートン > エジソン > 宮沢賢治 > 聖徳太子 > 坂本龍馬
ニュートン,1,エジソン,2,宮沢賢治,3,聖徳太子,4,坂本龍馬,5
# 面白い,つまらない
# タモリ >> 所ジョージ >> ビートたけし = 明石家さんま = 島田紳助
タモリ,1,所ジョージ,2,ビートたけし,3,明石家さんま,3,島田紳助,3
# 若い,若くない
# 明石家さんま > 所ジョージ > 島田紳助 > ビートたけし > タモリ
明石家さんま,1,所ジョージ,2,島田紳助,3,ビートたけし,4,タモリ,5
# 貴重だ,貴重でない
# 皇居 > 琵琶湖 > 大阪城 > 通天閣 > 出雲大社
皇居,1,琵琶湖,2,大阪城,3,通天閣,4,出雲大社,5
# 新しい,古い
# 江戸時代 > 鎌倉時代 > 平安時代 > 奈良時代 > 弥生時代
江戸時代,1,鎌倉時代,2,平安時代,3,奈良時代,4,弥生時代,5
# 長い,短い
# 江戸時代 > 弥生時代 > 鎌倉時代 > 平安時代 > 奈良時代
江戸時代,1,弥生時代,2,鎌倉時代,3,平安時代,4,奈良時代,5
# 重要だ,重要でない
# 優しさ > 話し方 > 服装 > ルックス > 髪型
優しさ,1,話し方,2,服装,3,ルックス,4,髪型,5
# 若い,若くない
# 羽生結弦 >> 錦織圭 = 内村航平 > ダルビッシュ > イチロー
羽生結弦,1,錦織圭,2,内村航平,2,ダルビッシュ,4,イチロー,5
# 素晴らしい,素晴らしくない
# イチロー > 内村航平 > 羽生結弦 > 錦織圭 > ダルビッシュ
イチロー,1,内村航平,2,羽生結弦,3,錦織圭,4,ダルビッシュ,5
