# 大きい,小さい
# 白鳥 > ふくろう > ペンギン > にわとり > すずめ
白鳥,1,ふくろう,2,ペンギン,3,にわとり,4,すずめ,5
# 可愛い,可愛くない
# ペンギン > すずめ >> ふくろう > 白鳥 >> にわとり
ペンギン,1,すずめ,2,ふくろう,3,白鳥,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# もやし > 白菜 > きゅうり > ほうれん草 > 玉ねぎ > ナス > かぼちゃ
もやし,1,白菜,2,きゅうり,3,ほうれん草,4,玉ねぎ,5,ナス,6,かぼちゃ,7
# 美味しい,不味い
# もやし > 白菜 > ナス > ほうれん草 > きゅうり > 玉ねぎ > かぼちゃ
もやし,1,白菜,2,ナス,3,ほうれん草,4,きゅうり,5,玉ねぎ,6,かぼちゃ,7
# 甘い,甘くない
# メロン > イチゴ > みかん > りんご > ぶどう > さくらんぼ > 柿
メロン,1,イチゴ,2,みかん,3,りんご,4,ぶどう,5,さくらんぼ,6,柿,7
# 大きい,小さい
# メロン >> ぶどう > りんご >> 柿 > みかん >> イチゴ > さくらんぼ
メロン,1,ぶどう,2,りんご,3,柿,4,みかん,5,イチゴ,6,さくらんぼ,7
# かしこい,ばかだ
# クジラ > 犬 > ライオン > 熊 > ネズミ
クジラ,1,犬,2,ライオン,3,熊,4,ネズミ,5
# 大きい,小さい
# クジラ >> 熊 > ライオン >> 犬 >> ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# サファイア > パール > オパール > ターコイズ > ガーネット
サファイア,1,パール,2,オパール,3,ターコイズ,4,ガーネット,5
# 珍しい,珍しくない
# サファイア > オパール > パール > ターコイズ > ガーネット
サファイア,1,オパール,2,パール,3,ターコイズ,4,ガーネット,5
# 優雅だ,優雅でない
# ハープ > フルート > チェロ > クラリネット > ヴァイオリン
ハープ,1,フルート,2,チェロ,3,クラリネット,4,ヴァイオリン,5
# 心地よい,不快だ
# ハープ > クラリネット > フルート > チェロ > ヴァイオリン
ハープ,1,クラリネット,2,フルート,3,チェロ,4,ヴァイオリン,5
# 綺麗だ,醜い
# サクラ > 桔梗 > すずらん > たんぽぽ > ひまわり
サクラ,1,桔梗,2,すずらん,3,たんぽぽ,4,ひまわり,5
# 好きだ,嫌いだ
# サクラ > 桔梗 > すずらん > たんぽぽ > ひまわり
サクラ,1,桔梗,2,すずらん,3,たんぽぽ,4,ひまわり,5
# 美味しい,不味い
# コメダ > ドトール > サンマルク > タリーズ > ルノアール
コメダ,1,ドトール,2,サンマルク,3,タリーズ,4,ルノアール,5
# 高い,安い
# コメダ > ルノアール > タリーズ > サンマルク > ドトール
コメダ,1,ルノアール,2,タリーズ,3,サンマルク,4,ドトール,5
# 好調だ,不調だ
# 日立製作所 > ソニー > パナソニック > キャノン = エプソン = 富士通 >> 東芝
日立製作所,1,ソニー,2,パナソニック,3,キャノン,4,エプソン,4,富士通,4,東芝,7
# 新しい,古い
# エプソン > キャノン > ソニー = パナソニック = 東芝 = 富士通 = 日立製作所
エプソン,1,キャノン,2,ソニー,3,パナソニック,3,東芝,3,富士通,3,日立製作所,3
# 裕福だ,貧乏だ
# アメリカ >> 中国 >> イギリス > タイ > ロシア > インド > スペイン
アメリカ,1,中国,2,イギリス,3,タイ,4,ロシア,5,インド,6,スペイン,7
# 広大だ,せまい
# ロシア >> アメリカ > 中国 >> インド > スペイン > タイ > イギリス
ロシア,1,アメリカ,2,中国,3,インド,4,スペイン,5,タイ,6,イギリス,7
# 暖かい,寒い
# インド >> タイ >> スペイン >> アメリカ >> 中国 >> イギリス >> ロシア
インド,1,タイ,2,スペイン,3,アメリカ,4,中国,5,イギリス,6,ロシア,7
# 好調だ,不調だ
# トヨタ > ホンダ >> ヤマハ = マツダ = ダイハツ
トヨタ,1,ホンダ,2,ヤマハ,3,マツダ,3,ダイハツ,3
# 有名だ,無名だ
# トヨタ >> ホンダ >> ヤマハ >> マツダ = ダイハツ
トヨタ,1,ホンダ,2,ヤマハ,3,マツダ,4,ダイハツ,4
# 美味しい,不味い
# 日本酒 >> ハイボール >> ウイスキー >> チューハイ > ビール
日本酒,1,ハイボール,2,ウイスキー,3,チューハイ,4,ビール,5
# 高価だ,安価だ
# ウイスキー > 日本酒 >> ビール > ハイボール > チューハイ
