# 大きい,小さい
# 白鳥 >> ふくろう > ペンギン >> にわとり >> すずめ
白鳥,1,ふくろう,2,ペンギン,3,にわとり,4,すずめ,5
# 可愛い,可愛くない
# ペンギン >> 白鳥 = ふくろう > すずめ > にわとり
ペンギン,1,白鳥,2,ふくろう,2,すずめ,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# もやし >> 玉ねぎ = 白菜 = きゅうり > ほうれん草 = ナス >> かぼちゃ
もやし,1,玉ねぎ,2,白菜,2,きゅうり,2,ほうれん草,5,ナス,5,かぼちゃ,7
# 美味しい,不味い
# かぼちゃ = ナス > 白菜 >> ほうれん草 = もやし > きゅうり = 玉ねぎ
かぼちゃ,1,ナス,1,白菜,3,ほうれん草,4,もやし,4,きゅうり,6,玉ねぎ,6
# 甘い,甘くない
# メロン >> ぶどう = イチゴ >> みかん = 柿 >> さくらんぼ >> りんご
メロン,1,ぶどう,2,イチゴ,2,みかん,4,柿,4,さくらんぼ,6,りんご,7
# 大きい,小さい
# メロン >> ぶどう > りんご > 柿 >> みかん >> イチゴ >> さくらんぼ
メロン,1,ぶどう,2,りんご,3,柿,4,みかん,5,イチゴ,6,さくらんぼ,7
# かしこい,ばかだ
# クジラ >> ライオン = 熊 >> ネズミ > 犬
クジラ,1,ライオン,2,熊,2,ネズミ,4,犬,5
# 大きい,小さい
# クジラ >> ライオン > 熊 >> 犬 >> ネズミ
クジラ,1,ライオン,2,熊,3,犬,4,ネズミ,5
# 上品だ,下品だ
# パール >> ガーネット >> サファイア = オパール >> ターコイズ
パール,1,ガーネット,2,サファイア,3,オパール,3,ターコイズ,5
# 珍しい,珍しくない
# ガーネット > オパール = サファイア > パール = ターコイズ
ガーネット,1,オパール,2,サファイア,2,パール,4,ターコイズ,4
# 優雅だ,優雅でない
# ハープ = チェロ > フルート >> ヴァイオリン > クラリネット
ハープ,1,チェロ,1,フルート,3,ヴァイオリン,4,クラリネット,5
# 心地よい,不快だ
# ハープ > フルート > クラリネット = チェロ > ヴァイオリン
ハープ,1,フルート,2,クラリネット,3,チェロ,3,ヴァイオリン,5
# 綺麗だ,醜い
# サクラ > 桔梗 >> ひまわり >> すずらん >> たんぽぽ
サクラ,1,桔梗,2,ひまわり,3,すずらん,4,たんぽぽ,5
# 好きだ,嫌いだ
# サクラ > 桔梗 > ひまわり > たんぽぽ > すずらん
サクラ,1,桔梗,2,ひまわり,3,たんぽぽ,4,すずらん,5
# 美味しい,不味い
# コメダ > タリーズ > ルノアール >> サンマルク > ドトール
コメダ,1,タリーズ,2,ルノアール,3,サンマルク,4,ドトール,5
# 高い,安い
# コメダ > ルノアール >> タリーズ >> サンマルク >> ドトール
コメダ,1,ルノアール,2,タリーズ,3,サンマルク,4,ドトール,5
# 好調だ,不調だ
# パナソニック = 日立製作所 = エプソン > キャノン = 富士通 >> ソニー >> 東芝
パナソニック,1,日立製作所,1,エプソン,1,キャノン,4,富士通,4,ソニー,6,東芝,7
# 新しい,古い
# ソニー = パナソニック = 東芝 = 富士通 = キャノン = エプソン = 日立製作所
