# 大きい,小さい
# ペンギン > 白鳥 > ふくろう > にわとり >> すずめ
ペンギン,1,白鳥,2,ふくろう,3,にわとり,4,すずめ,5
# 可愛い,可愛くない
# ペンギン > 白鳥 > すずめ > ふくろう >> にわとり
ペンギン,1,白鳥,2,すずめ,3,ふくろう,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# きゅうり > もやし > 白菜 > ほうれん草 > ナス > 玉ねぎ > かぼちゃ
きゅうり,1,もやし,2,白菜,3,ほうれん草,4,ナス,5,玉ねぎ,6,かぼちゃ,7
# 美味しい,不味い
# ナス > ほうれん草 > 玉ねぎ > 白菜 > もやし > かぼちゃ > きゅうり
ナス,1,ほうれん草,2,玉ねぎ,3,白菜,4,もやし,5,かぼちゃ,6,きゅうり,7
# 甘い,甘くない
# メロン > 柿 > さくらんぼ > りんご > みかん > ぶどう > イチゴ
メロン,1,柿,2,さくらんぼ,3,りんご,4,みかん,5,ぶどう,6,イチゴ,7
# 大きい,小さい
# メロン > りんご > 柿 > みかん > イチゴ > さくらんぼ > ぶどう
メロン,1,りんご,2,柿,3,みかん,4,イチゴ,5,さくらんぼ,6,ぶどう,7
# かしこい,ばかだ
# 熊 > 犬 > クジラ > ライオン > ネズミ
熊,1,犬,2,クジラ,3,ライオン,4,ネズミ,5
# 大きい,小さい
# クジラ > 熊 > ライオン > 犬 > ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# パール >> サファイア = オパール = ガーネット > ターコイズ
パール,1,サファイア,2,オパール,2,ガーネット,2,ターコイズ,5
# 珍しい,珍しくない
# オパール > ガーネット = サファイア > パール >> ターコイズ
オパール,1,ガーネット,2,サファイア,2,パール,4,ターコイズ,5
# 優雅だ,優雅でない
# ハープ >> ヴァイオリン > クラリネット > チェロ > フルート
ハープ,1,ヴァイオリン,2,クラリネット,3,チェロ,4,フルート,5
# 心地よい,不快だ
# ハープ >> チェロ > クラリネット > ヴァイオリン > フルート
