# 大きい,小さい
# ペンギン > 白鳥 > にわとり > ふくろう > すずめ
ペンギン,1,白鳥,2,にわとり,3,ふくろう,4,すずめ,5
# 可愛い,可愛くない
# ふくろう > ペンギン > すずめ > 白鳥 > にわとり
ふくろう,1,ペンギン,2,すずめ,3,白鳥,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# もやし > きゅうり > 白菜 > ほうれん草 > ナス = 玉ねぎ > かぼちゃ
もやし,1,きゅうり,2,白菜,3,ほうれん草,4,ナス,5,玉ねぎ,5,かぼちゃ,7
# 美味しい,不味い
# かぼちゃ > きゅうり > ほうれん草 > 玉ねぎ > ナス > 白菜 > もやし
かぼちゃ,1,きゅうり,2,ほうれん草,3,玉ねぎ,4,ナス,5,白菜,6,もやし,7
# 甘い,甘くない
# メロン > 柿 > イチゴ > ぶどう > さくらんぼ > りんご > みかん
メロン,1,柿,2,イチゴ,3,ぶどう,4,さくらんぼ,5,りんご,6,みかん,7
# 大きい,小さい
# メロン > りんご > 柿 > みかん > イチゴ > ぶどう > さくらんぼ
メロン,1,りんご,2,柿,3,みかん,4,イチゴ,5,ぶどう,6,さくらんぼ,7
# かしこい,ばかだ
# 犬 > クジラ > ネズミ > ライオン > 熊
犬,1,クジラ,2,ネズミ,3,ライオン,4,熊,5
# 大きい,小さい
# クジラ >> 熊 > ライオン > 犬 > ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# パール > オパール > サファイア > ガーネット > ターコイズ
パール,1,オパール,2,サファイア,3,ガーネット,4,ターコイズ,5
# 珍しい,珍しくない
# オパール > パール > ターコイズ > サファイア > ガーネット
オパール,1,パール,2,ターコイズ,3,サファイア,4,ガーネット,5
# 優雅だ,優雅でない
# ハープ > チェロ > フルート > ヴァイオリン > クラリネット
ハープ,1,チェロ,2,フルート,3,ヴァイオリン,4,クラリネット,5
# 心地よい,不快だ
# ハープ > チェロ > ヴァイオリン > クラリネット > フルート
ハープ,1,チェロ,2,ヴァイオリン,3,クラリネット,4,フルート,5
# 綺麗だ,醜い
# サクラ > すずらん > 桔梗 > ひまわり > たんぽぽ
サクラ,1,すずらん,2,桔梗,3,ひまわり,4,たんぽぽ,5
# 好きだ,嫌いだ
# 桔梗 > すずらん > サクラ > ひまわり > たんぽぽ
桔梗,1,すずらん,2,サクラ,3,ひまわり,4,たんぽぽ,5
# 美味しい,不味い
# コメダ > サンマルク > タリーズ > ドトール > ルノアール
コメダ,1,サンマルク,2,タリーズ,3,ドトール,4,ルノアール,5
# 高い,安い
# ルノアール > コメダ > サンマルク > タリーズ > ドトール
ルノアール,1,コメダ,2,サンマルク,3,タリーズ,4,ドトール,5
# 好調だ,不調だ
# パナソニック > 富士通 > 日立製作所 > キャノン > エプソン > ソニー > 東芝
パナソニック,1,富士通,2,日立製作所,3,キャノン,4,エプソン,5,ソニー,6,東芝,7
# 新しい,古い
# ソニー > キャノン > エプソン > 富士通 > パナソニック > 東芝 > 日立製作所
ソニー,1,キャノン,2,エプソン,3,富士通,4,パナソニック,5,東芝,6,日立製作所,7
# 裕福だ,貧乏だ
# イギリス > スペイン > タイ > アメリカ > インド > 中国 > ロシア
イギリス,1,スペイン,2,タイ,3,アメリカ,4,インド,5,中国,6,ロシア,7
# 広大だ,せまい
# ロシア > 中国 > アメリカ > インド > イギリス > スペイン > タイ
ロシア,1,中国,2,アメリカ,3,インド,4,イギリス,5,スペイン,6,タイ,7
# 暖かい,寒い
# インド > タイ > スペイン > アメリカ > イギリス > 中国 > ロシア
インド,1,タイ,2,スペイン,3,アメリカ,4,イギリス,5,中国,6,ロシア,7
# 好調だ,不調だ
# ダイハツ > マツダ > トヨタ > ホンダ > ヤマハ
ダイハツ,1,マツダ,2,トヨタ,3,ホンダ,4,ヤマハ,5
# 有名だ,無名だ
# トヨタ > ホンダ > ヤマハ > マツダ > ダイハツ
トヨタ,1,ホンダ,2,ヤマハ,3,マツダ,4,ダイハツ,5
# 美味しい,不味い
# 日本酒 > ウイスキー > チューハイ > ハイボール > ビール
日本酒,1,ウイスキー,2,チューハイ,3,ハイボール,4,ビール,5
# 高価だ,安価だ
# ウイスキー > 日本酒 > ビール > ハイボール > チューハイ
ウイスキー,1,日本酒,2,ビール,3,ハイボール,4,チューハイ,5
# 好きだ,嫌いだ
# ピザ > ハンバーガー > ラーメン > カレー > チャーハン
ピザ,1,ハンバーガー,2,ラーメン,3,カレー,4,チャーハン,5
# 脂っこい,脂っこくない
# ラーメン > カレー > ピザ > ハンバーガー > チャーハン
ラーメン,1,カレー,2,ピザ,3,ハンバーガー,4,チャーハン,5
# 高価だ,安価だ
# エアコン > カメラ > カーナビ > 洗濯機 > プリンタ
エアコン,1,カメラ,2,カーナビ,3,洗濯機,4,プリンタ,5
# うるさい,静かだ
# 洗濯機 > プリンタ > カーナビ > カメラ > エアコン
洗濯機,1,プリンタ,2,カーナビ,3,カメラ,4,エアコン,5
# 好きだ,嫌いだ
# 雪 > 雨 > 晴天 > 霧 > 霜 > 強風 > 雷
雪,1,雨,2,晴天,3,霧,4,霜,5,強風,6,雷,7
# 珍しい,珍しくない
# 雪 > 霜 > 霧 > 雷 > 強風 > 雨 = 晴天
雪,1,霜,2,霧,3,雷,4,強風,5,雨,6,晴天,6
