# 大きい,小さい
# 白鳥 > ペンギン > にわとり > ふくろう > すずめ
白鳥,1,ペンギン,2,にわとり,3,ふくろう,4,すずめ,5
# 可愛い,可愛くない
# ペンギン > ふくろう >> すずめ = 白鳥 > にわとり
ペンギン,1,ふくろう,2,すずめ,3,白鳥,3,にわとり,5
# ヘルシーだ,ヘルシーでない
# きゅうり = もやし > 玉ねぎ = 白菜 > ほうれん草 > ナス > かぼちゃ
きゅうり,1,もやし,1,玉ねぎ,3,白菜,3,ほうれん草,5,ナス,6,かぼちゃ,7
# 美味しい,不味い
# ナス = かぼちゃ > きゅうり = もやし > 玉ねぎ > ほうれん草 > 白菜
ナス,1,かぼちゃ,1,きゅうり,3,もやし,3,玉ねぎ,5,ほうれん草,6,白菜,7
# 甘い,甘くない
# イチゴ > メロン > みかん = りんご = ぶどう > さくらんぼ > 柿
イチゴ,1,メロン,2,みかん,3,りんご,3,ぶどう,3,さくらんぼ,6,柿,7
# 大きい,小さい
# メロン >> りんご > みかん = 柿 > イチゴ = ぶどう > さくらんぼ
メロン,1,りんご,2,みかん,3,柿,3,イチゴ,5,ぶどう,5,さくらんぼ,7
# かしこい,ばかだ
# クジラ > 犬 > 熊 = ライオン > ネズミ
クジラ,1,犬,2,熊,3,ライオン,3,ネズミ,5
# 大きい,小さい
# クジラ >> 熊 > ライオン > 犬 > ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# パール > オパール > サファイア > ガーネット > ターコイズ
パール,1,オパール,2,サファイア,3,ガーネット,4,ターコイズ,5
# 珍しい,珍しくない
# オパール > サファイア > パール > ガーネット = ターコイズ
オパール,1,サファイア,2,パール,3,ガーネット,4,ターコイズ,4
# 優雅だ,優雅でない
# ハープ > フルート > チェロ = ヴァイオリン > クラリネット
ハープ,1,フルート,2,チェロ,3,ヴァイオリン,3,クラリネット,5
# 心地よい,不快だ
# ハープ > フルート > ヴァイオリン > チェロ = クラリネット
ハープ,1,フルート,2,ヴァイオリン,3,チェロ,4,クラリネット,4
# 綺麗だ,醜い
# サクラ > 桔梗 = すずらん > たんぽぽ > ひまわり
サクラ,1,桔梗,2,すずらん,2,たんぽぽ,4,ひまわり,5
# 好きだ,嫌いだ
# ひまわり > たんぽぽ > サクラ > 桔梗 = すずらん
ひまわり,1,たんぽぽ,2,サクラ,3,桔梗,4,すずらん,4
# 美味しい,不味い
# ルノアール > コメダ > タリーズ > ドトール = サンマルク
ルノアール,1,コメダ,2,タリーズ,3,ドトール,4,サンマルク,4
# 高い,安い
# ルノアール > コメダ > タリーズ > ドトール = サンマルク
ルノアール,1,コメダ,2,タリーズ,3,ドトール,4,サンマルク,4
# 好調だ,不調だ
# ソニー > 日立製作所 > パナソニック > キャノン = エプソン > 富士通 = 東芝
ソニー,1,日立製作所,2,パナソニック,3,キャノン,4,エプソン,4,富士通,6,東芝,6
# 新しい,古い
# エプソン > キャノン > パナソニック > ソニー > 富士通 > 東芝 > 日立製作所
エプソン,1,キャノン,2,パナソニック,3,ソニー,4,富士通,5,東芝,6,日立製作所,7
# 裕福だ,貧乏だ
# アメリカ > 中国 > スペイン > イギリス > ロシア > タイ = インド
アメリカ,1,中国,2,スペイン,3,イギリス,4,ロシア,5,タイ,6,インド,6
# 広大だ,せまい
# 中国 > ロシア > アメリカ > インド > タイ > イギリス = スペイン
中国,1,ロシア,2,アメリカ,3,インド,4,タイ,5,イギリス,6,スペイン,6
# 暖かい,寒い
# タイ > インド > アメリカ > 中国 > スペイン > イギリス > ロシア
タイ,1,インド,2,アメリカ,3,中国,4,スペイン,5,イギリス,6,ロシア,7
# 好調だ,不調だ
# トヨタ > ホンダ > ダイハツ > ヤマハ = マツダ
トヨタ,1,ホンダ,2,ダイハツ,3,ヤマハ,4,マツダ,4
# 有名だ,無名だ
# トヨタ > ホンダ > ダイハツ > ヤマハ > マツダ
トヨタ,1,ホンダ,2,ダイハツ,3,ヤマハ,4,マツダ,5
# 美味しい,不味い
# チューハイ > ハイボール > ビール > ウイスキー > 日本酒
チューハイ,1,ハイボール,2,ビール,3,ウイスキー,4,日本酒,5
# 高価だ,安価だ
# ウイスキー = 日本酒 > ハイボール > ビール > チューハイ
ウイスキー,1,日本酒,1,ハイボール,3,ビール,4,チューハイ,5
# 好きだ,嫌いだ
# カレー > ハンバーガー > チャーハン > ピザ > ラーメン
カレー,1,ハンバーガー,2,チャーハン,3,ピザ,4,ラーメン,5
# 脂っこい,脂っこくない
# ラーメン > ピザ > カレー > ハンバーガー > チャーハン
ラーメン,1,ピザ,2,カレー,3,ハンバーガー,4,チャーハン,5
# 高価だ,安価だ
# エアコン > 洗濯機 > カーナビ > カメラ > プリンタ
エアコン,1,洗濯機,2,カーナビ,3,カメラ,4,プリンタ,5
# うるさい,静かだ
# 洗濯機 > プリンタ > エアコン > カーナビ > カメラ
洗濯機,1,プリンタ,2,エアコン,3,カーナビ,4,カメラ,5
# 好きだ,嫌いだ
# 晴天 > 雪 = 霜 > 雨 > 強風 > 霧 > 雷
晴天,1,雪,2,霜,2,雨,4,強風,5,霧,6,雷,7
# 珍しい,珍しくない
# 霜 > 霧 > 雷 > 雪 > 強風 > 雨 > 晴天
霜,1,霧,2,雷,3,雪,4,強風,5,雨,6,晴天,7
# 好きだ,嫌いだ
# 牛肉 > 鶏肉 > 豚肉 > ラム肉 = 馬肉
牛肉,1,鶏肉,2,豚肉,3,ラム肉,4,馬肉,4
# 高価だ,安価だ
# ラム肉 = 馬肉 > 牛肉 > 豚肉 > 鶏肉
ラム肉,1,馬肉,1,牛肉,3,豚肉,4,鶏肉,5
# 有名だ,無名だ
# 銀閣寺 > 善光寺 > 薬師寺 > 中尊寺 = 増上寺 = 東寺
銀閣寺,1,善光寺,2,薬師寺,3,中尊寺,4,増上寺,4,東寺,4
# 立派だ,立派でない
# 銀閣寺 > 善光寺 > 薬師寺 > 中尊寺 = 増上寺 = 東寺
銀閣寺,1,善光寺,2,薬師寺,3,中尊寺,4,増上寺,4,東寺,4
# メジャーだ,マイナーだ
# 野球 > 相撲 > サッカー > バレー > 卓球 = テニス > バスケ
