# 大きい,小さい
# ペンギン > 白鳥 >> にわとり > ふくろう >> すずめ
ペンギン,1,白鳥,2,にわとり,3,ふくろう,4,すずめ,5
# 可愛い,可愛くない
# ペンギン > ふくろう > すずめ >> にわとり > 白鳥
ペンギン,1,ふくろう,2,すずめ,3,にわとり,4,白鳥,5
# ヘルシーだ,ヘルシーでない
# もやし > きゅうり > ほうれん草 > 白菜 > 玉ねぎ = ナス > かぼちゃ
もやし,1,きゅうり,2,ほうれん草,3,白菜,4,玉ねぎ,5,ナス,5,かぼちゃ,7
# 美味しい,不味い
# ナス = かぼちゃ > 玉ねぎ >> 白菜 > ほうれん草 > きゅうり = もやし
ナス,1,かぼちゃ,1,玉ねぎ,3,白菜,4,ほうれん草,5,きゅうり,6,もやし,6
# 甘い,甘くない
# メロン >> 柿 > さくらんぼ = ぶどう > りんご = イチゴ = みかん
メロン,1,柿,2,さくらんぼ,3,ぶどう,3,りんご,5,イチゴ,5,みかん,5
# 大きい,小さい
# メロン >> りんご > 柿 > みかん >> イチゴ > ぶどう > さくらんぼ
メロン,1,りんご,2,柿,3,みかん,4,イチゴ,5,ぶどう,6,さくらんぼ,7
# かしこい,ばかだ
# 犬 >> クジラ >> ライオン > 熊 >> ネズミ
犬,1,クジラ,2,ライオン,3,熊,4,ネズミ,5
# 大きい,小さい
# クジラ >> 熊 > ライオン >> 犬 >> ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# パール = サファイア = オパール > ガーネット > オパール > ターコイズ
パール,1,サファイア,1,オパール,1,ガーネット,4,オパール,5,ターコイズ,6
# 珍しい,珍しくない
# ガーネット = サファイア > ターコイズ > オパール > パール
ガーネット,1,サファイア,1,ターコイズ,3,オパール,4,パール,5
# 優雅だ,優雅でない
# ヴァイオリン > フルート = クラリネット = ハープ > チェロ
ヴァイオリン,1,フルート,2,クラリネット,2,ハープ,2,チェロ,5
# 心地よい,不快だ
# フルート = クラリネット > ハープ > チェロ = ヴァイオリン
フルート,1,クラリネット,1,ハープ,3,チェロ,4,ヴァイオリン,4
# 綺麗だ,醜い
# サクラ > ひまわり = たんぽぽ > 桔梗 = すずらん
サクラ,1,ひまわり,2,たんぽぽ,2,桔梗,4,すずらん,4
# 好きだ,嫌いだ
# サクラ > ひまわり > たんぽぽ > 桔梗 = すずらん
サクラ,1,ひまわり,2,たんぽぽ,3,桔梗,4,すずらん,4
# 美味しい,不味い
# コメダ = ルノアール > タリーズ > ドトール = サンマルク
コメダ,1,ルノアール,1,タリーズ,3,ドトール,4,サンマルク,4
# 高い,安い
# コメダ = ルノアール > タリーズ > ドトール = サンマルク
コメダ,1,ルノアール,1,タリーズ,3,ドトール,4,サンマルク,4
# 好調だ,不調だ
# パナソニック = 東芝 > 富士通 = キャノン > エプソン > 日立製作所 >> ソニー
パナソニック,1,東芝,1,富士通,3,キャノン,3,エプソン,5,日立製作所,6,ソニー,7
# 新しい,古い
# キャノン = エプソン > ソニー = パナソニック = 東芝 = 日立製作所 > 富士通
キャノン,1,エプソン,1,ソニー,3,パナソニック,3,東芝,3,日立製作所,3,富士通,7
# 裕福だ,貧乏だ
# アメリカ > ロシア > イギリス = スペイン >> タイ > インド = 中国
アメリカ,1,ロシア,2,イギリス,3,スペイン,3,タイ,5,インド,6,中国,6
# 広大だ,せまい
# ロシア > アメリカ = 中国 >> タイ = インド = イギリス = スペイン
ロシア,1,アメリカ,2,中国,2,タイ,4,インド,4,イギリス,4,スペイン,4
# 暖かい,寒い
# タイ = インド >> スペイン = アメリカ > 中国 > イギリス >> ロシア
タイ,1,インド,1,スペイン,3,アメリカ,3,中国,5,イギリス,6,ロシア,7
# 好調だ,不調だ
# トヨタ = ダイハツ >> ホンダ > マツダ > ヤマハ
トヨタ,1,ダイハツ,1,ホンダ,3,マツダ,4,ヤマハ,5
# 有名だ,無名だ
# トヨタ = ホンダ = ダイハツ >> マツダ > ヤマハ
トヨタ,1,ホンダ,1,ダイハツ,1,マツダ,4,ヤマハ,5
# 美味しい,不味い
# ハイボール = ウイスキー > ビール = チューハイ > 日本酒
ハイボール,1,ウイスキー,1,ビール,3,チューハイ,3,日本酒,5
# 高価だ,安価だ
# ハイボール = ウイスキー > 日本酒 >> ビール = チューハイ
ハイボール,1,ウイスキー,1,日本酒,3,ビール,4,チューハイ,4
# 好きだ,嫌いだ
# カレー = ピザ > ハンバーガー = ラーメン >> チャーハン
カレー,1,ピザ,1,ハンバーガー,3,ラーメン,3,チャーハン,5
# 脂っこい,脂っこくない
# ラーメン > ピザ >> チャーハン > カレー > ハンバーガー
ラーメン,1,ピザ,2,チャーハン,3,カレー,4,ハンバーガー,5
# 高価だ,安価だ
# エアコン > カーナビ = 洗濯機 > カメラ > プリンタ
エアコン,1,カーナビ,2,洗濯機,2,カメラ,4,プリンタ,5
# うるさい,静かだ
# 洗濯機 >> エアコン >> プリンタ > カメラ >> カーナビ
洗濯機,1,エアコン,2,プリンタ,3,カメラ,4,カーナビ,5
# 好きだ,嫌いだ
# 晴天 >> 霜 > 霧 > 強風 > 雪 > 雨 >> 雷
晴天,1,霜,2,霧,3,強風,4,雪,5,雨,6,雷,7
# 珍しい,珍しくない
# 雪 >> 霜 = 霧 >> 雷 >> 強風 > 雨 > 晴天
雪,1,霜,2,霧,2,雷,4,強風,5,雨,6,晴天,7
# 好きだ,嫌いだ
# 鶏肉 > 牛肉 = 豚肉 >> ラム肉 = 馬肉
鶏肉,1,牛肉,2,豚肉,2,ラム肉,4,馬肉,4
# 高価だ,安価だ
# 牛肉 > ラム肉 = 馬肉 > 鶏肉 > 豚肉
牛肉,1,ラム肉,2,馬肉,2,鶏肉,4,豚肉,5
# 有名だ,無名だ
# 銀閣寺 = 善光寺 >> 中尊寺 = 東寺 >> 薬師寺 > 増上寺
銀閣寺,1,善光寺,1,中尊寺,3,東寺,3,薬師寺,5,増上寺,6
# 立派だ,立派でない
# 銀閣寺 = 善光寺 = 中尊寺 > 増上寺 > 東寺 > 薬師寺
銀閣寺,1,善光寺,1,中尊寺,1,増上寺,4,東寺,5,薬師寺,6
# メジャーだ,マイナーだ
# サッカー = 野球 >> テニス > バレー > 卓球 = バスケ > 相撲
サッカー,1,野球,1,テニス,3,バレー,4,卓球,5,バスケ,5,相撲,7
# 得意だ,苦手だ
# テニス > 卓球 = バスケ > バレー > サッカー = 野球 > 相撲
テニス,1,卓球,2,バスケ,2,バレー,4,サッカー,5,野球,5,相撲,7
# 快適だ,不快だ
# 飛行機 > タクシー > 新幹線 >> 電車 >> バス
飛行機,1,タクシー,2,新幹線,3,電車,4,バス,5
# 速い,遅い
# 飛行機 >> 新幹線 >> 電車 >> タクシー > バス
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,5
# 安全だ,危険だ
# 飛行機 > 新幹線 = 電車 >> タクシー = バス
飛行機,1,新幹線,2,電車,2,タクシー,4,バス,4
# 可愛い,可愛くない
# 北乃きい = 釈由美子 > 吹石一恵 >> 優香 = 南明奈 > 友近 = 梨花
北乃きい,1,釈由美子,1,吹石一恵,3,優香,4,南明奈,4,友近,6,梨花,6
# 面白い,つまらない
# 友近 = 南明奈 > 優香 >> 吹石一恵 > 北乃きい = 梨花 = 釈由美子
友近,1,南明奈,1,優香,3,吹石一恵,4,北乃きい,5,梨花,5,釈由美子,5
# 甘い,甘くない
# チョコレートケーキ > ショートケーキ > チーズケーキ > ロールケーキ = シフォンケーキ
チョコレートケーキ,1,ショートケーキ,2,チーズケーキ,3,ロールケーキ,4,シフォンケーキ,4
# 好きだ,嫌いだ
# チーズケーキ > ショートケーキ = シフォンケーキ > ロールケーキ = チョコレートケーキ
チーズケーキ,1,ショートケーキ,2,シフォンケーキ,2,ロールケーキ,4,チョコレートケーキ,4
# 美味しい,不味い
# マカロン = ベーグル > マフィン = カステラ >> スコーン
マカロン,1,ベーグル,1,マフィン,3,カステラ,3,スコーン,5
# おしゃれだ,おしゃれでない
# マカロン > マフィン > ベーグル = カステラ > スコーン
マカロン,1,マフィン,2,ベーグル,3,カステラ,3,スコーン,5
# 美味しい,不味い
# ココア > 抹茶 > 紅茶 > 緑茶 >> オレンジジュース
ココア,1,抹茶,2,紅茶,3,緑茶,4,オレンジジュース,5
# 好きだ,嫌いだ
# カツカレー = 牛タン > お好み焼き = 串かつ > 讃岐うどん
カツカレー,1,牛タン,1,お好み焼き,3,串かつ,3,讃岐うどん,5
# 高価だ,安価だ
# 牛タン >> カツカレー > お好み焼き = 讃岐うどん > 串かつ
牛タン,1,カツカレー,2,お好み焼き,3,讃岐うどん,3,串かつ,5
# 暖かい,寒い
# 沖縄 >> 福岡 > 大阪 = 名古屋 = 神戸 > 東京 >> 札幌
沖縄,1,福岡,2,大阪,3,名古屋,3,神戸,3,東京,6,札幌,7
# 遠い,近い
# 札幌 = 沖縄 >> 東京 >> 福岡 = 名古屋 >> 大阪 > 神戸
札幌,1,沖縄,1,東京,3,福岡,4,名古屋,4,大阪,6,神戸,7
# ヘルシーだ,ヘルシーでない
# タイ料理 > スペイン料理 > 韓国料理 > インド料理 >> 中華料理
タイ料理,1,スペイン料理,2,韓国料理,3,インド料理,4,中華料理,5
# 辛い,辛くない
# 中華料理 > インド料理 > 韓国料理 >> タイ料理 > スペイン料理
中華料理,1,インド料理,2,韓国料理,3,タイ料理,4,スペイン料理,5
# 優秀だ,優秀でない
# 医師 = 宇宙飛行士 > 科学者 > 警察官 > 作曲者
医師,1,宇宙飛行士,1,科学者,3,警察官,4,作曲者,5
# 過酷だ,過酷でない
# 医師 = 宇宙飛行士 >> 科学者 > 警察官 > 作曲者
医師,1,宇宙飛行士,1,科学者,3,警察官,4,作曲者,5
# 面白い,つまらない
# スター・ウォーズ > 風の谷のナウシカ >> となりのトトロ > 不思議の国のアリス = 美女と野獣
スター・ウォーズ,1,風の谷のナウシカ,2,となりのトトロ,3,不思議の国のアリス,4,美女と野獣,4
# 新しい,古い
# 美女と野獣 > 不思議の国のアリス >> となりのトトロ > 風の谷のナウシカ > スター・ウォーズ
美女と野獣,1,不思議の国のアリス,2,となりのトトロ,3,風の谷のナウシカ,4,スター・ウォーズ,5
# 必須だ,無駄だ
# 数学 = 英語 > 国語 >> 世界史 = 体育
数学,1,英語,1,国語,3,世界史,4,体育,4
# 簡単だ,難しい
# 体育 >> 国語 = 世界史 >> 数学 = 英語
体育,1,国語,2,世界史,2,数学,4,英語,4
# 楽しい,楽しくない
# サーフィン = BBQ > ドライブ > 読書 = 釣り >> ジョギング
サーフィン,1,BBQ,1,ドライブ,3,読書,4,釣り,4,ジョギング,6
# 有意義だ,有意義でない
# 読書 > 釣り > ジョギング > BBQ > ドライブ > サーフィン
読書,1,釣り,2,ジョギング,3,BBQ,4,ドライブ,5,サーフィン,6
# 手軽だ,手軽でない
# 読書 > ジョギング > ドライブ > 釣り > BBQ >> サーフィン
読書,1,ジョギング,2,ドライブ,3,釣り,4,BBQ,5,サーフィン,6
# 面白い,つまらない
# Youtube > ニコ動 > インスタグラム = Twitter >> Facebook
Youtube,1,ニコ動,2,インスタグラム,3,Twitter,3,Facebook,5
# 便利だ,便利でない
# Youtube > インスタグラム = Twitter > Facebook >> ニコ動
Youtube,1,インスタグラム,2,Twitter,2,Facebook,4,ニコ動,5
# 面白い,つまらない
# ドラゴンボール > ジョジョ = エヴァ > プリキュア > GTO > セーラームーン
ドラゴンボール,1,ジョジョ,2,エヴァ,2,プリキュア,4,GTO,5,セーラームーン,6
# 若い,若くない
# 安倍晋三 > 鳩山由紀夫 > 小泉純一郎 > 麻生太郎 >> 田中角栄
安倍晋三,1,鳩山由紀夫,2,小泉純一郎,3,麻生太郎,4,田中角栄,5
# 好きだ,嫌いだ
# 小泉純一郎 = 田中角栄 > 安倍晋三 = 麻生太郎 > 鳩山由紀夫
小泉純一郎,1,田中角栄,1,安倍晋三,3,麻生太郎,3,鳩山由紀夫,5
# 好調だ,不調だ
# グーグル > アップル > マイクロソフト > ヤフー >> サムスン
グーグル,1,アップル,2,マイクロソフト,3,ヤフー,4,サムスン,5
# 不可欠だ,不要だ
# マイクロソフト > グーグル > アップル > ヤフー >> サムスン
マイクロソフト,1,グーグル,2,アップル,3,ヤフー,4,サムスン,5
# 偉大だ,偉大でない
# エジソン = ニュートン >> 聖徳太子 = 坂本龍馬 >> 宮沢賢治
エジソン,1,ニュートン,1,聖徳太子,3,坂本龍馬,3,宮沢賢治,5
# 好きだ,嫌いだ
# 坂本龍馬 > 宮沢賢治 > エジソン = ニュートン > 聖徳太子
坂本龍馬,1,宮沢賢治,2,エジソン,3,ニュートン,3,聖徳太子,5
# 面白い,つまらない
# ビートたけし > タモリ = 明石家さんま > 所ジョージ >> 島田紳助
ビートたけし,1,タモリ,2,明石家さんま,2,所ジョージ,4,島田紳助,5
# 若い,若くない
# 島田紳助 > 明石家さんま = 所ジョージ > ビートたけし = タモリ
島田紳助,1,明石家さんま,2,所ジョージ,2,ビートたけし,4,タモリ,4
# 貴重だ,貴重でない
# 皇居 > 琵琶湖 > 出雲大社 > 大阪城 >> 通天閣
皇居,1,琵琶湖,2,出雲大社,3,大阪城,4,通天閣,5
# 新しい,古い
# 江戸時代 >> 鎌倉時代 > 平安時代 > 奈良時代 >> 弥生時代
江戸時代,1,鎌倉時代,2,平安時代,3,奈良時代,4,弥生時代,5
# 長い,短い
# 江戸時代 >> 平安時代 > 鎌倉時代 >> 弥生時代 > 奈良時代
江戸時代,1,平安時代,2,鎌倉時代,3,弥生時代,4,奈良時代,5
# 重要だ,重要でない
# 話し方 >> 髪型 = 服装 > 優しさ > ルックス
話し方,1,髪型,2,服装,2,優しさ,4,ルックス,5
# 若い,若くない
# 羽生結弦 >> ダルビッシュ > 錦織圭 > 内村航平 >> イチロー
羽生結弦,1,ダルビッシュ,2,錦織圭,3,内村航平,4,イチロー,5
# 素晴らしい,素晴らしくない
# イチロー = 羽生結弦 = 内村航平 > 錦織圭 >> ダルビッシュ
イチロー,1,羽生結弦,1,内村航平,1,錦織圭,4,ダルビッシュ,5
