# 大きい,小さい
# 白鳥 > ペンギン > ふくろう > にわとり > すずめ
白鳥,1,ペンギン,2,ふくろう,3,にわとり,4,すずめ,5
# 可愛い,可愛くない
# すずめ > ペンギン > ふくろう > 白鳥 > にわとり
すずめ,1,ペンギン,2,ふくろう,3,白鳥,4,にわとり,5
# ヘルシーだ,ヘルシーでない
# かぼちゃ > ナス > 白菜 > 玉ねぎ > もやし > きゅうり > ほうれん草
かぼちゃ,1,ナス,2,白菜,3,玉ねぎ,4,もやし,5,きゅうり,6,ほうれん草,7
# 美味しい,不味い
# ほうれん草 > かぼちゃ > 白菜 > きゅうり > ナス > もやし > 玉ねぎ
ほうれん草,1,かぼちゃ,2,白菜,3,きゅうり,4,ナス,5,もやし,6,玉ねぎ,7
# 甘い,甘くない
# メロン > イチゴ > みかん > ぶどう > 柿 > さくらんぼ > りんご
メロン,1,イチゴ,2,みかん,3,ぶどう,4,柿,5,さくらんぼ,6,りんご,7
# 大きい,小さい
# メロン > りんご > 柿 > みかん > ぶどう > イチゴ > さくらんぼ
メロン,1,りんご,2,柿,3,みかん,4,ぶどう,5,イチゴ,6,さくらんぼ,7
# かしこい,ばかだ
# クジラ > 犬 > 熊 > ライオン > ネズミ
クジラ,1,犬,2,熊,3,ライオン,4,ネズミ,5
# 大きい,小さい
# クジラ > 熊 > ライオン > 犬 > ネズミ
クジラ,1,熊,2,ライオン,3,犬,4,ネズミ,5
# 上品だ,下品だ
# オパール > ガーネット > ターコイズ > サファイア > パール
オパール,1,ガーネット,2,ターコイズ,3,サファイア,4,パール,5
# 珍しい,珍しくない
# ガーネット > サファイア = ターコイズ > パール > オパール
ガーネット,1,サファイア,2,ターコイズ,2,パール,4,オパール,5
# 優雅だ,優雅でない
# フルート > クラリネット > チェロ > ハープ > ヴァイオリン
フルート,1,クラリネット,2,チェロ,3,ハープ,4,ヴァイオリン,5
# 心地よい,不快だ
# ハープ > チェロ = フルート = クラリネット > ヴァイオリン
ハープ,1,チェロ,2,フルート,2,クラリネット,2,ヴァイオリン,5
# 綺麗だ,醜い
# すずらん > 桔梗 > サクラ > ひまわり > たんぽぽ
すずらん,1,桔梗,2,サクラ,3,ひまわり,4,たんぽぽ,5
# 好きだ,嫌いだ
# サクラ > 桔梗 > たんぽぽ > すずらん > ひまわり
サクラ,1,桔梗,2,たんぽぽ,3,すずらん,4,ひまわり,5
# 美味しい,不味い
# ルノアール > サンマルク > ドトール > タリーズ > コメダ
ルノアール,1,サンマルク,2,ドトール,3,タリーズ,4,コメダ,5
# 高い,安い
# コメダ > タリーズ > ドトール > サンマルク > ルノアール
コメダ,1,タリーズ,2,ドトール,3,サンマルク,4,ルノアール,5
# 好調だ,不調だ
# パナソニック > 富士通 = ソニー = 東芝 > 日立製作所 = エプソン = キャノン
パナソニック,1,富士通,2,ソニー,2,東芝,2,日立製作所,5,エプソン,5,キャノン,5
# 新しい,古い
# ソニー > キャノン > エプソン > 日立製作所 > 富士通 > 東芝 > パナソニック
ソニー,1,キャノン,2,エプソン,3,日立製作所,4,富士通,5,東芝,6,パナソニック,7
# 裕福だ,貧乏だ
# アメリカ > スペイン > イギリス > 中国 > インド > ロシア > タイ
アメリカ,1,スペイン,2,イギリス,3,中国,4,インド,5,ロシア,6,タイ,7
# 広大だ,せまい
# ロシア > 中国 > アメリカ > インド > タイ > イギリス > スペイン
ロシア,1,中国,2,アメリカ,3,インド,4,タイ,5,イギリス,6,スペイン,7
# 暖かい,寒い
# タイ > インド > スペイン > アメリカ > 中国 > イギリス > ロシア
タイ,1,インド,2,スペイン,3,アメリカ,4,中国,5,イギリス,6,ロシア,7
# 好調だ,不調だ
# トヨタ > ダイハツ > ヤマハ > ホンダ > マツダ
トヨタ,1,ダイハツ,2,ヤマハ,3,ホンダ,4,マツダ,5
# 有名だ,無名だ
# トヨタ > ホンダ > マツダ > ヤマハ > ダイハツ
トヨタ,1,ホンダ,2,マツダ,3,ヤマハ,4,ダイハツ,5
# 美味しい,不味い
# 日本酒 > ハイボール > チューハイ > ウイスキー > ビール
日本酒,1,ハイボール,2,チューハイ,3,ウイスキー,4,ビール,5
# 高価だ,安価だ
# 日本酒 > ウイスキー > ビール > ハイボール > チューハイ
日本酒,1,ウイスキー,2,ビール,3,ハイボール,4,チューハイ,5
# 好きだ,嫌いだ
# カレー > チャーハン > ピザ > ハンバーガー > ラーメン
カレー,1,チャーハン,2,ピザ,3,ハンバーガー,4,ラーメン,5
# 脂っこい,脂っこくない
# ラーメン > ピザ > ハンバーガー > チャーハン > カレー
ラーメン,1,ピザ,2,ハンバーガー,3,チャーハン,4,カレー,5
# 高価だ,安価だ
# カメラ > 洗濯機 > エアコン > カーナビ > プリンタ
カメラ,1,洗濯機,2,エアコン,3,カーナビ,4,プリンタ,5
# うるさい,静かだ
# 洗濯機 > エアコン > プリンタ > カーナビ > カメラ
洗濯機,1,エアコン,2,プリンタ,3,カーナビ,4,カメラ,5
# 好きだ,嫌いだ
# 晴天 > 強風 > 雨 > 雷 > 霧 > 雪 > 霜
晴天,1,強風,2,雨,3,雷,4,霧,5,雪,6,霜,7
# 珍しい,珍しくない
# 雪 > 霜 > 霧 > 雷 > 強風 > 雨 > 晴天
雪,1,霜,2,霧,3,雷,4,強風,5,雨,6,晴天,7
# 好きだ,嫌いだ
# 豚肉 > 鶏肉 > 牛肉 > ラム肉 > 馬肉
豚肉,1,鶏肉,2,牛肉,3,ラム肉,4,馬肉,5
# 高価だ,安価だ
# 馬肉 > 牛肉 > ラム肉 > 豚肉 > 鶏肉
馬肉,1,牛肉,2,ラム肉,3,豚肉,4,鶏肉,5
# 有名だ,無名だ
# 銀閣寺 > 中尊寺 > 薬師寺 > 東寺 > 善光寺 > 増上寺
銀閣寺,1,中尊寺,2,薬師寺,3,東寺,4,善光寺,5,増上寺,6
# 立派だ,立派でない
# 善光寺 > 銀閣寺 > 中尊寺 > 東寺 = 増上寺 > 薬師寺
善光寺,1,銀閣寺,2,中尊寺,3,東寺,4,増上寺,4,薬師寺,6
# メジャーだ,マイナーだ
# 野球 > サッカー > テニス > バスケ > バレー > 卓球 > 相撲
野球,1,サッカー,2,テニス,3,バスケ,4,バレー,5,卓球,6,相撲,7
# 得意だ,苦手だ
# 卓球 > 野球 > 相撲 > バレー > テニス > バスケ > サッカー
卓球,1,野球,2,相撲,3,バレー,4,テニス,5,バスケ,6,サッカー,7
# 快適だ,不快だ
# 飛行機 > 新幹線 > タクシー > 電車 > バス
飛行機,1,新幹線,2,タクシー,3,電車,4,バス,5
# 速い,遅い
# 飛行機 > 新幹線 > 電車 > タクシー > バス
飛行機,1,新幹線,2,電車,3,タクシー,4,バス,5
# 安全だ,危険だ
# 新幹線 > 飛行機 > 電車 > バス > タクシー
新幹線,1,飛行機,2,電車,3,バス,4,タクシー,5
# 可愛い,可愛くない
# 北乃きい > 優香 > 南明奈 = 釈由美子 > 吹石一恵 = 友近 = 梨花
