# 大きい,小さい
# 白鳥 > ペンギン > ふくろう > にわとり >> すずめ
白鳥,1,ペンギン,2,ふくろう,3,にわとり,4,すずめ,5
# 可愛い,可愛くない
# ふくろう > ペンギン > すずめ > 白鳥 = にわとり
ふくろう,1,ペンギン,2,すずめ,3,白鳥,4,にわとり,4
# ヘルシーだ,ヘルシーでない
# もやし = きゅうり > ほうれん草 > 玉ねぎ > ナス > 白菜 > かぼちゃ
もやし,1,きゅうり,1,ほうれん草,3,玉ねぎ,4,ナス,5,白菜,6,かぼちゃ,7
# 美味しい,不味い
# かぼちゃ >> ナス = もやし > ほうれん草 > きゅうり > 玉ねぎ > 白菜
かぼちゃ,1,ナス,2,もやし,2,ほうれん草,4,きゅうり,5,玉ねぎ,6,白菜,7
# 甘い,甘くない
# メロン >> ぶどう > りんご = みかん = イチゴ > 柿 > さくらんぼ
メロン,1,ぶどう,2,りんご,3,みかん,3,イチゴ,3,柿,6,さくらんぼ,7
# 大きい,小さい
# メロン >> りんご > ぶどう > みかん = 柿 >> イチゴ > さくらんぼ
メロン,1,りんご,2,ぶどう,3,みかん,4,柿,4,イチゴ,6,さくらんぼ,7
# かしこい,ばかだ
# クジラ > ライオン > 犬 > 熊 > ネズミ
クジラ,1,ライオン,2,犬,3,熊,4,ネズミ,5
# 大きい,小さい
# クジラ >> ライオン > 熊 >> 犬 > ネズミ
クジラ,1,ライオン,2,熊,3,犬,4,ネズミ,5
# 上品だ,下品だ
# パール >> オパール = ガーネット = サファイア >> ターコイズ
パール,1,オパール,2,ガーネット,2,サファイア,2,ターコイズ,5
# 珍しい,珍しくない
# オパール > ガーネット > サファイア >> パール > ターコイズ
オパール,1,ガーネット,2,サファイア,3,パール,4,ターコイズ,5
# 優雅だ,優雅でない
# ハープ > チェロ > ヴァイオリン > フルート > クラリネット
ハープ,1,チェロ,2,ヴァイオリン,3,フルート,4,クラリネット,5
# 心地よい,不快だ
# ハープ >> チェロ = フルート = ヴァイオリン > クラリネット
ハープ,1,チェロ,2,フルート,2,ヴァイオリン,2,クラリネット,5
# 綺麗だ,醜い
# サクラ >> ひまわり > 桔梗 = すずらん = たんぽぽ
サクラ,1,ひまわり,2,桔梗,3,すずらん,3,たんぽぽ,3
# 好きだ,嫌いだ
# サクラ > ひまわり >> たんぽぽ > すずらん = 桔梗
サクラ,1,ひまわり,2,たんぽぽ,3,すずらん,4,桔梗,4
# 美味しい,不味い
# ドトール > タリーズ > サンマルク >> コメダ = ルノアール
ドトール,1,タリーズ,2,サンマルク,3,コメダ,4,ルノアール,4
# 高い,安い
# コメダ > タリーズ > ドトール > サンマルク > ルノアール
コメダ,1,タリーズ,2,ドトール,3,サンマルク,4,ルノアール,5
# 好調だ,不調だ
# パナソニック > ソニー > 東芝 >> 富士通 = キャノン = エプソン >> 日立製作所
パナソニック,1,ソニー,2,東芝,3,富士通,4,キャノン,4,エプソン,4,日立製作所,7
# 新しい,古い
# パナソニック > ソニー > 東芝 > 日立製作所 > キャノン > エプソン > 富士通
パナソニック,1,ソニー,2,東芝,3,日立製作所,4,キャノン,5,エプソン,6,富士通,7
# 裕福だ,貧乏だ
# アメリカ > イギリス > スペイン > ロシア > タイ = インド > 中国
アメリカ,1,イギリス,2,スペイン,3,ロシア,4,タイ,5,インド,5,中国,7
# 広大だ,せまい
# 中国 > アメリカ >> イギリス > ロシア > スペイン > タイ > インド
中国,1,アメリカ,2,イギリス,3,ロシア,4,スペイン,5,タイ,6,インド,7
# 暖かい,寒い
# タイ = インド > スペイン > イギリス > ロシア > アメリカ > 中国
タイ,1,インド,1,スペイン,3,イギリス,4,ロシア,5,アメリカ,6,中国,7
# 好調だ,不調だ
# トヨタ > ホンダ >> マツダ = ダイハツ = ヤマハ
トヨタ,1,ホンダ,2,マツダ,3,ダイハツ,3,ヤマハ,3
# 有名だ,無名だ
# トヨタ > ホンダ >> マツダ > ダイハツ > ヤマハ
トヨタ,1,ホンダ,2,マツダ,3,ダイハツ,4,ヤマハ,5
# 美味しい,不味い
# チューハイ >> ハイボール = ビール = ウイスキー > 日本酒
チューハイ,1,ハイボール,2,ビール,2,ウイスキー,2,日本酒,5
# 高価だ,安価だ
# 日本酒 > ウイスキー >> ビール > チューハイ = ハイボール
日本酒,1,ウイスキー,2,ビール,3,チューハイ,4,ハイボール,4
# 好きだ,嫌いだ
# ハンバーガー > カレー >> ピザ > ラーメン = チャーハン
ハンバーガー,1,カレー,2,ピザ,3,ラーメン,4,チャーハン,4
# 脂っこい,脂っこくない
# ピザ > ラーメン >> ハンバーガー > カレー > チャーハン
ピザ,1,ラーメン,2,ハンバーガー,3,カレー,4,チャーハン,5
# 高価だ,安価だ
# 洗濯機 > エアコン >> カメラ > プリンタ > カーナビ
洗濯機,1,エアコン,2,カメラ,3,プリンタ,4,カーナビ,5
# うるさい,静かだ
# 洗濯機 >> エアコン > カーナビ > カメラ > プリンタ
洗濯機,1,エアコン,2,カーナビ,3,カメラ,4,プリンタ,5
# 好きだ,嫌いだ
# 晴天 >> 雪 > 強風 > 霧 > 雨 > 霜 >> 雷
晴天,1,雪,2,強風,3,霧,4,雨,5,霜,6,雷,7
# 珍しい,珍しくない
# 霜 >> 霧 > 雷 > 雪 > 雨 > 晴天 > 強風
